date,FFIV,FFIV_EPS,PE Ratio
1999-06-04,7.44,,
1999-06-07,7.75,,
1999-06-08,9.84,,
1999-06-09,9.69,,
1999-06-10,8.59,,
1999-06-11,8.0,,
1999-06-14,7.63,,
1999-06-15,7.75,,
1999-06-16,8.34,,
1999-06-17,10.03,,
1999-06-18,9.31,,
1999-06-21,9.75,,
1999-06-22,9.88,,
1999-06-23,9.31,,
1999-06-24,9.0,,
1999-06-25,11.31,,
1999-06-28,13.94,,
1999-06-29,15.75,,
1999-06-30,20.5,,
1999-07-01,19.25,,
1999-07-02,18.5,,
1999-07-06,20.78,,
1999-07-07,19.75,,
1999-07-08,21.97,,
1999-07-09,25.38,,
1999-07-12,27.47,,
1999-07-13,25.34,,
1999-07-14,26.72,,
1999-07-15,35.63,,
1999-07-16,34.56,,
1999-07-19,34.5,,
1999-07-20,31.41,,
1999-07-21,29.34,,
1999-07-22,30.41,,
1999-07-23,29.44,,
1999-07-26,25.75,,
1999-07-27,27.0,,
1999-07-28,28.81,,
1999-07-29,25.38,,
1999-07-30,25.0,,
1999-08-02,22.25,,
1999-08-03,20.56,,
1999-08-04,17.25,,
1999-08-05,17.31,,
1999-08-06,16.06,,
1999-08-09,14.94,,
1999-08-10,18.75,,
1999-08-11,21.44,,
1999-08-12,22.75,,
1999-08-13,27.22,,
1999-08-16,29.5,,
1999-08-17,28.31,,
1999-08-18,26.66,,
1999-08-19,25.81,,
1999-08-20,27.44,,
1999-08-23,30.44,,
1999-08-24,33.31,,
1999-08-25,31.72,,
1999-08-26,30.34,,
1999-08-27,28.63,,
1999-08-30,31.0,,
1999-08-31,33.91,,
1999-09-01,32.25,,
1999-09-02,32.75,,
1999-09-03,34.75,,
1999-09-07,37.66,,
1999-09-08,34.75,,
1999-09-09,35.5,,
1999-09-10,37.31,,
1999-09-13,36.63,,
1999-09-14,34.97,,
1999-09-15,32.39,,
1999-09-16,35.06,,
1999-09-17,34.38,,
1999-09-20,32.91,,
1999-09-21,34.33,,
1999-09-22,34.75,,
1999-09-23,32.88,,
1999-09-24,33.13,,
1999-09-27,34.47,,
1999-09-28,33.5,,
1999-09-29,33.75,,
1999-09-30,34.0,,
1999-10-01,34.03,,
1999-10-04,33.69,,
1999-10-05,36.75,,
1999-10-06,40.13,,
1999-10-07,36.94,,
1999-10-08,39.03,,
1999-10-11,46.0,,
1999-10-12,45.47,,
1999-10-13,40.5,,
1999-10-14,39.91,,
1999-10-15,37.5,,
1999-10-18,36.97,,
1999-10-19,37.38,,
1999-10-20,42.75,,
1999-10-21,44.63,,
1999-10-22,45.38,,
1999-10-25,46.0,,
1999-10-26,49.56,,
1999-10-27,68.5,,
1999-10-28,67.0,,
1999-10-29,69.38,,
1999-11-01,76.31,,
1999-11-02,74.88,,
1999-11-03,74.25,,
1999-11-04,72.34,,
1999-11-05,69.25,,
1999-11-08,65.0,,
1999-11-09,69.63,,
1999-11-10,71.38,,
1999-11-11,68.5,,
1999-11-12,67.56,,
1999-11-15,66.75,,
1999-11-16,75.03,,
1999-11-17,77.19,,
1999-11-18,77.94,,
1999-11-19,72.25,,
1999-11-22,70.69,,
1999-11-23,63.5,,
1999-11-24,63.5,,
1999-11-26,62.94,,
1999-11-29,60.44,,
1999-11-30,56.56,,
1999-12-01,59.56,,
1999-12-02,61.25,,
1999-12-03,59.25,,
1999-12-06,58.0,,
1999-12-07,73.78,,
1999-12-08,65.5,,
1999-12-09,66.06,,
1999-12-10,67.75,,
1999-12-13,65.53,,
1999-12-14,59.25,,
1999-12-15,57.25,,
1999-12-16,57.91,,
1999-12-17,57.5,,
1999-12-20,54.88,,
1999-12-21,55.0,,
1999-12-22,52.5,,
1999-12-23,53.88,,
1999-12-27,60.5,,
1999-12-28,56.06,,
1999-12-29,55.25,,
1999-12-30,54.38,,
1999-12-31,57.0,,
2000-01-03,59.75,,
2000-01-04,58.97,,
2000-01-05,55.41,,
2000-01-06,51.06,,
2000-01-07,49.31,,
2000-01-10,51.03,,
2000-01-11,50.25,,
2000-01-12,47.38,,
2000-01-13,46.47,,
2000-01-14,49.0,,
2000-01-18,56.44,,
2000-01-19,55.28,,
2000-01-20,59.73,,
2000-01-21,64.91,,
2000-01-24,65.0,,
2000-01-25,66.75,,
2000-01-26,57.25,,
2000-01-27,53.75,,
2000-01-28,49.25,,
2000-01-31,47.0,,
2000-02-01,48.13,,
2000-02-02,50.75,,
2000-02-03,48.22,,
2000-02-04,47.13,,
2000-02-07,48.0,,
2000-02-08,47.75,,
2000-02-09,46.06,,
2000-02-10,44.75,,
2000-02-11,49.19,,
2000-02-14,51.0,,
2000-02-15,49.97,,
2000-02-16,48.06,,
2000-02-17,51.75,,
2000-02-18,48.5,,
2000-02-22,47.0,,
2000-02-23,46.28,,
2000-02-24,46.28,,
2000-02-25,47.59,,
2000-02-28,46.75,,
2000-02-29,45.0,,
2000-03-01,45.94,,
2000-03-02,45.13,,
2000-03-03,48.34,,
2000-03-06,53.75,,
2000-03-07,53.63,,
2000-03-08,49.5,,
2000-03-09,54.5,,
2000-03-10,57.88,,
2000-03-13,54.84,,
2000-03-14,50.0,,
2000-03-15,46.38,,
2000-03-16,46.53,,
2000-03-17,47.63,,
2000-03-20,45.03,,
2000-03-21,44.38,,
2000-03-22,44.94,,
2000-03-23,43.72,,
2000-03-24,41.66,,
2000-03-27,43.34,,
2000-03-28,42.0,,
2000-03-29,38.75,,
2000-03-30,35.53,,
2000-03-31,33.88,,
2000-04-03,29.19,,
2000-04-04,33.5,,
2000-04-05,32.06,,
2000-04-06,34.47,,
2000-04-07,36.56,,
2000-04-10,33.13,,
2000-04-11,32.5,,
2000-04-12,28.31,,
2000-04-13,28.22,,
2000-04-14,22.13,,
2000-04-17,24.41,,
2000-04-18,28.38,,
2000-04-19,27.5,,
2000-04-20,26.38,,
2000-04-24,26.06,,
2000-04-25,29.35,,
2000-04-26,22.06,,
2000-04-27,22.5,,
2000-04-28,23.34,,
2000-05-01,21.75,,
2000-05-02,20.69,,
2000-05-03,20.34,,
2000-05-04,19.69,,
2000-05-05,16.97,,
2000-05-08,16.88,,
2000-05-09,15.88,,
2000-05-10,14.63,,
2000-05-11,14.91,,
2000-05-12,15.94,,
2000-05-15,16.53,,
2000-05-16,19.0,,
2000-05-17,20.31,,
2000-05-18,18.25,,
2000-05-19,17.19,,
2000-05-22,17.0,,
2000-05-23,16.09,,
2000-05-24,16.47,,
2000-05-25,15.63,,
2000-05-26,15.5,,
2000-05-30,17.03,,
2000-05-31,16.13,,
2000-06-01,18.38,,
2000-06-02,20.25,,
2000-06-05,22.0,,
2000-06-06,21.03,,
2000-06-07,21.25,,
2000-06-08,23.72,,
2000-06-09,24.38,,
2000-06-12,22.13,,
2000-06-13,23.31,,
2000-06-14,22.53,,
2000-06-15,21.23,,
2000-06-16,21.41,,
2000-06-19,20.91,,
2000-06-20,22.0,,
2000-06-21,23.34,,
2000-06-22,25.0,,
2000-06-23,24.0,,
2000-06-26,24.25,,
2000-06-27,24.97,,
2000-06-28,25.0,,
2000-06-29,26.59,,
2000-06-30,27.28,,
2000-07-03,26.44,,
2000-07-05,24.06,,
2000-07-06,23.69,,
2000-07-07,22.0,,
2000-07-10,22.06,,
2000-07-11,22.75,,
2000-07-12,22.84,,
2000-07-13,27.56,,
2000-07-14,26.0,,
2000-07-17,26.75,,
2000-07-18,26.69,,
2000-07-19,24.56,,
2000-07-20,24.5,,
2000-07-21,23.41,,
2000-07-24,21.28,,
2000-07-25,21.41,,
2000-07-26,23.88,,
2000-07-27,22.47,,
2000-07-28,22.0,,
2000-07-31,22.59,,
2000-08-01,23.25,,
