date,WAB,WAB_EPS,PE Ratio
1995-06-16,7.5,,
1995-06-19,7.19,,
1995-06-20,7.19,,
1995-06-21,7.06,,
1995-06-22,7.31,,
1995-06-23,7.31,,
1995-06-26,7.06,,
1995-06-27,7.0,,
1995-06-28,7.0,,
1995-06-29,7.0,,
1995-06-30,7.13,,
1995-07-03,7.06,,
1995-07-05,7.06,,
1995-07-06,7.06,,
1995-07-07,7.56,,
1995-07-10,7.75,,
1995-07-11,8.5,,
1995-07-12,9.0,,
1995-07-13,8.94,,
1995-07-14,8.94,,
1995-07-17,9.44,,
1995-07-18,9.06,,
1995-07-19,8.88,,
1995-07-20,8.69,,
1995-07-21,8.69,,
1995-07-24,8.56,,
1995-07-25,8.75,,
1995-07-26,9.13,,
1995-07-27,9.31,,
1995-07-28,9.31,,
1995-07-31,9.25,,
1995-08-01,9.06,,
1995-08-02,8.88,,
1995-08-03,8.75,,
1995-08-04,8.63,,
1995-08-07,8.69,,
1995-08-08,8.56,,
1995-08-09,8.19,,
1995-08-10,8.13,,
1995-08-11,8.13,,
1995-08-14,8.0,,
1995-08-15,8.0,,
1995-08-16,8.19,,
1995-08-17,8.25,,
1995-08-18,8.25,,
1995-08-21,8.38,,
1995-08-22,8.44,,
1995-08-23,8.56,,
1995-08-24,8.75,,
1995-08-25,8.56,,
1995-08-28,8.44,,
1995-08-29,8.19,,
1995-08-30,8.19,,
1995-08-31,8.13,,
1995-09-01,8.06,,
1995-09-05,8.0,,
1995-09-06,7.81,,
1995-09-07,7.75,,
1995-09-08,7.94,,
1995-09-11,7.88,,
1995-09-12,8.0,,
1995-09-13,7.81,,
1995-09-14,7.81,,
1995-09-15,7.75,,
1995-09-18,7.5,,
1995-09-19,7.5,,
1995-09-20,7.25,,
1995-09-21,7.38,,
1995-09-22,7.38,,
1995-09-25,7.31,,
1995-09-26,7.31,,
1995-09-27,7.06,,
1995-09-28,7.19,,
1995-09-29,7.19,,
1995-10-02,7.13,,
1995-10-03,6.75,,
1995-10-04,6.56,,
1995-10-05,7.38,,
1995-10-06,7.56,,
1995-10-09,7.31,,
1995-10-10,7.31,,
1995-10-11,7.31,,
1995-10-12,7.38,,
1995-10-13,7.5,,
1995-10-16,7.44,,
1995-10-17,7.31,,
1995-10-18,6.75,,
1995-10-19,6.75,,
1995-10-20,6.5,,
1995-10-23,6.31,,
1995-10-24,6.25,,
1995-10-25,6.38,,
1995-10-26,6.19,,
1995-10-27,6.0,,
1995-10-30,5.13,,
1995-10-31,4.38,,
1995-11-01,4.5,,
1995-11-02,4.69,,
1995-11-03,5.13,,
1995-11-06,4.88,,
1995-11-07,4.88,,
1995-11-08,4.94,,
1995-11-09,4.75,,
1995-11-10,4.56,,
1995-11-13,4.44,,
1995-11-14,4.5,,
1995-11-15,4.5,,
1995-11-16,4.56,,
1995-11-17,4.44,,
1995-11-20,4.56,,
1995-11-21,4.63,,
1995-11-22,4.56,,
1995-11-24,4.56,,
1995-11-27,4.5,,
1995-11-28,4.56,,
1995-11-29,4.63,,
1995-11-30,4.63,,
1995-12-01,4.69,,
1995-12-04,4.69,,
1995-12-05,4.44,,
1995-12-06,4.31,,
1995-12-07,4.5,,
1995-12-08,4.44,,
1995-12-11,4.38,,
1995-12-12,4.44,,
1995-12-13,4.38,,
1995-12-14,4.38,,
1995-12-15,4.38,,
1995-12-18,4.5,,
1995-12-19,4.81,,
1995-12-20,4.75,,
1995-12-21,4.69,,
1995-12-22,4.69,,
1995-12-26,4.69,,
1995-12-27,5.13,,
1995-12-28,5.25,,
1995-12-29,5.31,,
1996-01-02,5.19,,
1996-01-03,5.0,,
1996-01-04,5.0,,
1996-01-05,5.0,,
1996-01-08,4.94,,
1996-01-09,4.81,,
1996-01-10,4.69,,
1996-01-11,4.75,,
1996-01-12,4.69,,
1996-01-15,4.75,,
1996-01-16,4.63,,
1996-01-17,4.63,,
1996-01-18,4.56,,
1996-01-19,4.56,,
1996-01-22,4.63,,
1996-01-23,4.69,,
1996-01-24,4.63,,
1996-01-25,4.56,,
1996-01-26,4.56,,
1996-01-29,4.63,,
1996-01-30,4.75,,
1996-01-31,4.63,,
1996-02-01,4.63,,
1996-02-02,4.63,,
1996-02-05,4.56,,
1996-02-06,4.63,,
1996-02-07,4.88,,
1996-02-08,4.94,,
1996-02-09,4.88,,
1996-02-12,5.06,,
1996-02-13,5.25,,
1996-02-14,5.31,,
1996-02-15,5.25,,
1996-02-16,5.56,,
1996-02-20,5.63,,
1996-02-21,5.63,,
1996-02-22,5.88,,
1996-02-23,5.94,,
1996-02-26,5.75,,
1996-02-27,5.75,,
1996-02-28,5.69,,
1996-02-29,5.75,,
1996-03-01,5.75,,
1996-03-04,5.81,,
1996-03-05,5.81,,
1996-03-06,5.56,,
1996-03-07,5.5,,
1996-03-08,5.19,,
1996-03-11,5.31,,
1996-03-12,5.31,,
1996-03-13,5.44,,
1996-03-14,5.38,,
1996-03-15,5.25,,
1996-03-18,5.5,,
1996-03-19,5.31,,
1996-03-20,5.31,,
1996-03-21,5.31,,
1996-03-22,5.44,,
1996-03-25,5.38,,
1996-03-26,5.44,,
1996-03-27,5.5,,
1996-03-28,5.44,,
1996-03-29,5.38,,
1996-04-01,5.38,,
1996-04-02,5.44,,
1996-04-03,5.44,,
1996-04-04,5.38,,
1996-04-08,5.38,,
1996-04-09,5.44,,
1996-04-10,5.38,,
1996-04-11,5.56,,
1996-04-12,5.81,,
1996-04-15,5.75,,
1996-04-16,5.88,,
1996-04-17,5.75,,
1996-04-18,5.88,,
1996-04-19,6.19,,
1996-04-22,6.44,,
1996-04-23,6.5,,
1996-04-24,6.31,,
1996-04-25,6.5,,
1996-04-26,6.81,,
1996-04-29,6.75,,
1996-04-30,7.06,,
1996-05-01,6.88,,
1996-05-02,6.44,,
1996-05-03,6.56,,
1996-05-06,6.56,,
1996-05-07,6.63,,
1996-05-08,6.56,,
1996-05-09,6.44,,
1996-05-10,6.44,,
1996-05-13,6.44,,
1996-05-14,6.38,,
1996-05-15,6.38,,
1996-05-16,6.31,,
1996-05-17,6.38,,
1996-05-20,6.19,,
1996-05-21,6.25,,
1996-05-22,6.56,,
1996-05-23,6.5,,
1996-05-24,6.56,,
1996-05-28,6.44,,
1996-05-29,6.25,,
1996-05-30,6.25,,
1996-05-31,6.25,,
1996-06-03,6.25,,
1996-06-04,6.19,,
1996-06-05,6.13,,
1996-06-06,5.94,,
1996-06-07,6.0,,
1996-06-10,6.13,,
1996-06-11,6.13,,
1996-06-12,6.19,,
1996-06-13,5.88,,
1996-06-14,5.94,,
1996-06-17,5.88,,
1996-06-18,5.88,,
1996-06-19,5.88,,
1996-06-20,6.13,,
1996-06-21,6.19,,
1996-06-24,6.63,,
1996-06-25,6.56,,
1996-06-26,6.5,,
1996-06-27,6.44,,
1996-06-28,6.56,,
1996-07-01,6.56,,
1996-07-02,6.5,,
1996-07-03,6.5,,
1996-07-05,6.44,,
1996-07-08,6.44,,
1996-07-09,6.44,,
1996-07-10,6.38,,
1996-07-11,6.38,,
1996-07-12,6.31,,
1996-07-15,5.75,,
1996-07-16,5.5,,
1996-07-17,5.44,,
1996-07-18,5.44,,
1996-07-19,5.5,,
1996-07-22,5.44,,
1996-07-23,5.31,,
1996-07-24,5.13,,
1996-07-25,5.25,,
1996-07-26,5.31,,
1996-07-29,5.25,,
1996-07-30,5.38,,
1996-07-31,5.56,,
1996-08-01,5.5,,
1996-08-02,5.56,,
1996-08-05,5.69,,
1996-08-06,5.63,,
1996-08-07,5.75,,
1996-08-08,5.69,,
1996-08-09,5.81,,
1996-08-12,5.88,,
1996-08-13,5.81,,
1996-08-14,5.81,,
1996-08-15,5.88,,
1996-08-16,5.88,,
1996-08-19,5.88,,
1996-08-20,5.81,,
1996-08-21,5.81,,
1996-08-22,5.94,,
1996-08-23,5.81,,
1996-08-26,5.81,,
1996-08-27,5.88,,
1996-08-28,6.0,,
1996-08-29,6.0,,
1996-08-30,6.19,,
1996-09-03,6.06,,
1996-09-04,6.13,,
1996-09-05,5.94,,
1996-09-06,5.94,,
1996-09-09,5.88,,
1996-09-10,6.0,,
1996-09-11,6.0,,
1996-09-12,6.13,,
1996-09-13,6.13,,
1996-09-16,6.13,,
1996-09-17,6.13,,
1996-09-18,6.06,,
1996-09-19,6.06,,
1996-09-20,5.94,,
1996-09-23,5.75,,
1996-09-24,5.75,,
1996-09-25,5.56,,
1996-09-26,5.88,,
1996-09-27,5.81,,
1996-09-30,5.63,,
1996-10-01,5.75,,
1996-10-02,5.81,,
1996-10-03,5.69,,
1996-10-04,5.63,,
1996-10-07,5.69,,
1996-10-08,5.63,,
1996-10-09,5.75,,
1996-10-10,5.75,,
1996-10-11,5.69,,
1996-10-14,5.56,,
1996-10-15,5.5,,
1996-10-16,5.56,,
1996-10-17,5.5,,
1996-10-18,5.5,,
1996-10-21,5.44,,
1996-10-22,5.31,,
1996-10-23,5.44,,
1996-10-24,5.44,,
1996-10-25,5.44,,
1996-10-28,5.44,,
1996-10-29,5.38,,
1996-10-30,5.38,,
1996-10-31,5.44,,
1996-11-01,5.56,,
1996-11-04,5.5,,
1996-11-05,5.56,,
1996-11-06,5.5,,
1996-11-07,5.56,,
1996-11-08,5.56,,
1996-11-11,5.5,,
1996-11-12,5.56,,
1996-11-13,5.5,,
1996-11-14,5.5,,
1996-11-15,5.69,,
1996-11-18,5.69,,
1996-11-19,5.56,,
1996-11-20,5.56,,
1996-11-21,5.5,,
1996-11-22,5.63,,
