date,IR,IR_EPS,PE Ratio
,,0.16,
1989-09-19,6.39,0.16,39.9375
1989-09-20,6.36,0.16,39.75
1989-09-21,6.21,0.16,38.8125
1989-09-22,6.19,0.16,38.6875
1989-09-25,6.06,0.16,37.875
1989-09-26,6.01,0.16,37.5625
1989-09-27,5.99,0.16,37.4375
1989-09-28,6.12,0.16,38.25
1989-09-29,6.21,0.16,38.8125
1989-10-02,6.24,0.16,39.0
1989-10-03,6.29,0.16,39.3125
1989-10-04,6.34,0.16,39.625
1989-10-05,6.47,0.16,40.4375
1989-10-06,6.56,0.16,41.0
1989-10-09,6.56,0.16,41.0
1989-10-10,6.49,0.16,40.5625
1989-10-11,6.49,0.16,40.5625
1989-10-12,6.27,0.16,39.1875
1989-10-13,5.99,0.16,37.4375
1989-10-16,6.14,0.16,38.375
1989-10-17,5.97,0.16,37.3125
1989-10-18,5.96,0.16,37.25
1989-10-19,6.14,0.16,38.375
1989-10-20,6.09,0.16,38.0625
1989-10-23,6.11,0.16,38.1875
1989-10-24,5.89,0.16,36.8125
1989-10-25,5.81,0.16,36.3125
1989-10-26,5.57,0.16,34.8125
1989-10-27,5.47,0.16,34.1875
1989-10-30,5.47,0.16,34.1875
1989-10-31,5.67,0.16,35.4375
1989-11-01,5.69,0.16,35.5625
1989-11-02,5.59,0.16,34.9375
1989-11-03,5.61,0.16,35.0625
1989-11-06,5.62,0.16,35.125
1989-11-07,5.69,0.16,35.5625
1989-11-08,5.84,0.16,36.5
1989-11-09,5.89,0.16,36.8125
1989-11-10,5.91,0.16,36.9375
1989-11-13,5.89,0.16,36.8125
1989-11-14,5.89,0.16,36.8125
1989-11-15,5.97,0.16,37.3125
1989-11-16,6.06,0.16,37.875
1989-11-17,6.07,0.16,37.9375
1989-11-20,6.21,0.16,38.8125
1989-11-21,6.27,0.16,39.1875
1989-11-22,6.29,0.16,39.3125
1989-11-24,6.29,0.16,39.3125
1989-11-27,6.39,0.16,39.9375
1989-11-28,6.42,0.16,40.125
1989-11-29,6.34,0.16,39.625
1989-11-30,6.27,0.16,39.1875
1989-12-01,6.27,0.16,39.1875
1989-12-04,6.24,0.16,39.0
1989-12-05,6.09,0.16,38.0625
1989-12-06,6.04,0.16,37.75
1989-12-07,6.12,0.16,38.25
1989-12-08,6.11,0.16,38.1875
1989-12-11,6.16,0.16,38.5
1989-12-12,6.19,0.16,38.6875
1989-12-13,6.26,0.16,39.125
1989-12-14,6.27,0.16,39.1875
1989-12-15,6.26,0.16,39.125
1989-12-18,6.14,0.16,38.375
1989-12-19,6.17,0.16,38.5625
1989-12-20,6.24,0.16,39.0
1989-12-21,6.22,0.16,38.875
1989-12-22,6.24,0.16,39.0
1989-12-26,6.36,0.16,39.75
1989-12-27,6.46,0.16,40.375
1989-12-28,6.56,0.16,41.0
1989-12-29,6.69,0.16,41.8125
1990-01-02,6.76,0.16,42.25
1990-01-03,6.92,0.16,43.25
1990-01-04,6.89,0.16,43.0625
1990-01-05,6.87,0.16,42.9375
1990-01-08,7.02,0.16,43.87499999999999
1990-01-09,6.96,0.16,43.5
1990-01-10,6.89,0.16,43.0625
1990-01-11,6.86,0.16,42.875
1990-01-12,6.79,0.16,42.4375
1990-01-15,6.69,0.16,41.8125
1990-01-16,6.77,0.16,42.3125
1990-01-17,6.72,0.16,42.0
1990-01-18,6.66,0.16,41.625
1990-01-19,6.62,0.16,41.375
1990-01-22,6.52,0.16,40.75
1990-01-23,6.66,0.16,41.625
1990-01-24,6.59,0.16,41.1875
1990-01-25,6.44,0.16,40.25
1990-01-26,6.37,0.16,39.8125
1990-01-29,6.27,0.16,39.1875
1990-01-30,6.22,0.16,38.875
1990-01-31,6.52,0.16,40.75
1990-02-01,6.57,0.16,41.0625
1990-02-02,6.64,0.16,41.5
1990-02-05,6.66,0.16,41.625
1990-02-06,6.61,0.16,41.3125
1990-02-07,6.71,0.16,41.9375
1990-02-08,6.69,0.16,41.8125
1990-02-09,6.72,0.16,42.0
1990-02-12,6.71,0.16,41.9375
1990-02-13,6.66,0.16,41.625
1990-02-14,6.71,0.16,41.9375
1990-02-15,6.79,0.16,42.4375
1990-02-16,6.77,0.16,42.3125
1990-02-20,6.76,0.16,42.25
1990-02-21,6.81,0.16,42.5625
1990-02-22,6.84,0.16,42.75
1990-02-23,6.84,0.16,42.75
1990-02-26,6.91,0.16,43.1875
1990-02-27,7.21,0.16,45.0625
1990-02-28,7.29,0.16,45.5625
1990-03-01,7.39,0.16,46.1875
1990-03-02,7.39,0.16,46.1875
1990-03-05,7.39,0.16,46.1875
1990-03-06,7.42,0.16,46.375
1990-03-07,7.4,0.16,46.25
1990-03-08,7.42,0.16,46.375
1990-03-09,7.29,0.16,45.5625
1990-03-12,7.24,0.16,45.25
1990-03-13,7.17,0.16,44.8125
1990-03-14,7.14,0.16,44.625
1990-03-15,7.26,0.16,45.375
1990-03-16,7.35,0.16,45.9375
1990-03-19,7.42,0.16,46.375
1990-03-20,7.52,0.16,46.99999999999999
1990-03-21,7.5,0.16,46.875
1990-03-22,7.27,0.16,45.43749999999999
1990-03-23,7.26,0.16,45.375
1990-03-26,7.32,0.16,45.75
1990-03-27,7.42,0.16,46.375
1990-03-28,7.44,0.16,46.5
1990-03-29,7.37,0.16,46.0625
1990-03-30,7.34,0.16,45.875
1990-04-02,7.21,0.16,45.0625
1990-04-03,7.3,0.16,45.625
1990-04-04,7.3,0.16,45.625
1990-04-05,7.34,0.16,45.875
1990-04-06,7.22,0.16,45.125
1990-04-09,7.09,0.16,44.3125
1990-04-10,7.12,0.16,44.5
1990-04-11,7.12,0.16,44.5
1990-04-12,7.22,0.16,45.125
1990-04-16,7.24,0.16,45.25
1990-04-17,7.24,0.16,45.25
1990-04-18,7.19,0.16,44.9375
1990-04-19,7.12,0.16,44.5
1990-04-20,6.92,0.16,43.25
1990-04-23,6.84,0.16,42.75
1990-04-24,6.92,0.16,43.25
1990-04-25,6.97,0.16,43.5625
1990-04-26,6.97,0.16,43.5625
1990-04-27,6.97,0.16,43.5625
1990-04-30,7.01,0.16,43.8125
1990-05-01,7.11,0.16,44.4375
1990-05-02,7.22,0.16,45.125
1990-05-03,7.32,0.16,45.75
1990-05-04,7.32,0.16,45.75
1990-05-07,7.39,0.16,46.1875
1990-05-08,7.49,0.16,46.8125
1990-05-09,7.4,0.16,46.25
1990-05-10,7.4,0.16,46.25
1990-05-11,7.49,0.16,46.8125
1990-05-14,7.75,0.16,48.4375
1990-05-15,7.75,0.16,48.4375
1990-05-16,7.8,0.16,48.75
1990-05-17,7.85,0.16,49.0625
1990-05-18,7.8,0.16,48.75
1990-05-21,7.89,0.16,49.3125
1990-05-22,7.92,0.16,49.5
1990-05-23,7.95,0.16,49.6875
1990-05-24,7.89,0.16,49.3125
1990-05-25,7.8,0.16,48.75
1990-05-29,7.94,0.16,49.625
1990-05-30,7.75,0.16,48.4375
1990-05-31,7.79,0.16,48.6875
1990-06-01,7.82,0.16,48.875
1990-06-04,7.67,0.16,47.9375
1990-06-05,7.62,0.16,47.625
1990-06-06,7.62,0.16,47.625
1990-06-07,7.69,0.16,48.0625
1990-06-08,7.67,0.16,47.9375
1990-06-11,7.7,0.16,48.125
1990-06-12,7.84,0.16,49.0
1990-06-13,7.9,0.16,49.375
1990-06-14,7.87,0.16,49.1875
1990-06-15,7.75,0.16,48.4375
1990-06-18,7.74,0.16,48.375
1990-06-19,7.72,0.16,48.25
1990-06-20,7.74,0.16,48.375
1990-06-21,7.82,0.16,48.875
1990-06-22,7.77,0.16,48.56249999999999
1990-06-25,7.65,0.16,47.8125
1990-06-26,7.39,0.16,46.1875
1990-06-27,7.45,0.16,46.5625
1990-06-28,7.52,0.16,46.99999999999999
1990-06-29,7.62,0.16,47.625
1990-07-02,7.65,0.16,47.8125
1990-07-03,7.75,0.16,48.4375
1990-07-05,7.69,0.16,48.0625
1990-07-06,7.74,0.16,48.375
1990-07-09,7.64,0.16,47.75
1990-07-10,7.54,0.16,47.125
1990-07-11,7.57,0.16,47.3125
1990-07-12,7.55,0.16,47.1875
1990-07-13,7.74,0.16,48.375
1990-07-16,7.94,0.16,49.625
1990-07-17,7.92,0.16,49.5
1990-07-18,7.8,0.16,48.75
1990-07-19,7.77,0.16,48.56249999999999
1990-07-20,7.79,0.16,48.6875
1990-07-23,7.64,0.16,47.75
1990-07-24,7.17,0.16,44.8125
1990-07-25,7.26,0.16,45.375
1990-07-26,7.26,0.16,45.375
1990-07-27,7.09,0.16,44.3125
1990-07-30,7.09,0.16,44.3125
1990-07-31,6.97,0.16,43.5625
1990-08-01,6.94,0.16,43.375
1990-08-02,6.82,0.16,42.625
1990-08-03,6.47,0.16,40.4375
1990-08-06,6.02,0.16,37.625
1990-08-07,6.07,0.16,37.9375
1990-08-08,6.09,0.16,38.0625
1990-08-09,6.29,0.16,39.3125
1990-08-10,6.19,0.16,38.6875
1990-08-13,6.09,0.16,38.0625
1990-08-14,6.07,0.16,37.9375
1990-08-15,6.19,0.16,38.6875
1990-08-16,6.04,0.16,37.75
1990-08-17,5.99,0.16,37.4375
1990-08-20,5.92,0.16,37.0
1990-08-21,5.62,0.16,35.125
1990-08-22,5.51,0.16,34.4375
1990-08-23,5.46,0.16,34.125
1990-08-24,5.62,0.16,35.125
1990-08-27,5.79,0.16,36.1875
1990-08-28,5.72,0.16,35.75
1990-08-29,5.72,0.16,35.75
1990-08-30,5.67,0.16,35.4375
1990-08-31,5.76,0.16,36.0
1990-09-04,5.79,0.16,36.1875
1990-09-05,5.89,0.16,36.8125
