date,BXP,BXP_EPS,PE Ratio
1997-06-18,26.75,,
1997-06-19,26.63,,
1997-06-20,26.38,,
1997-06-23,26.13,,
1997-06-24,26.06,,
1997-06-25,26.44,,
1997-06-26,27.0,,
1997-06-27,26.88,,
1997-06-30,27.25,,
1997-07-01,26.63,,
1997-07-02,26.38,,
1997-07-03,26.63,,
1997-07-07,26.75,,
1997-07-08,26.69,,
1997-07-09,26.56,,
1997-07-10,26.38,,
1997-07-11,26.44,,
1997-07-14,26.75,,
1997-07-15,26.69,,
1997-07-16,26.88,,
1997-07-17,27.06,,
1997-07-18,26.63,,
1997-07-21,26.81,,
1997-07-22,26.81,,
1997-07-23,26.81,,
1997-07-24,27.06,,
1997-07-25,27.31,,
1997-07-28,27.31,,
1997-07-29,27.44,,
1997-07-30,27.56,,
1997-07-31,27.88,,
1997-08-01,27.88,,
1997-08-04,27.88,,
1997-08-05,28.13,,
1997-08-06,29.38,,
1997-08-07,29.25,,
1997-08-08,29.0,,
1997-08-11,28.19,,
1997-08-12,27.94,,
1997-08-13,27.69,,
1997-08-14,27.5,,
1997-08-15,27.63,,
1997-08-18,27.81,,
1997-08-19,28.25,,
1997-08-20,28.69,,
1997-08-21,29.0,,
1997-08-22,29.25,,
1997-08-25,29.31,,
1997-08-26,29.25,,
1997-08-27,29.31,,
1997-08-28,29.56,,
1997-08-29,29.81,,
1997-09-02,29.88,,
1997-09-03,29.94,,
1997-09-04,29.63,,
1997-09-05,30.88,,
1997-09-08,31.19,,
1997-09-09,31.0,,
1997-09-10,30.56,,
1997-09-11,30.13,,
1997-09-12,30.56,,
1997-09-15,31.0,,
1997-09-16,31.81,,
1997-09-17,31.75,,
1997-09-18,32.0,,
1997-09-19,32.0,,
1997-09-22,31.94,,
1997-09-23,31.56,,
1997-09-24,31.88,,
1997-09-25,32.13,,
1997-09-26,32.44,,
1997-09-29,33.25,,
1997-09-30,32.81,,
1997-10-01,33.75,,
1997-10-02,34.0,,
1997-10-03,33.94,,
1997-10-06,33.5,,
1997-10-07,32.81,,
1997-10-08,33.19,,
1997-10-09,32.81,,
1997-10-10,32.5,,
1997-10-13,32.75,,
1997-10-14,33.25,,
1997-10-15,33.31,,
1997-10-16,32.38,,
1997-10-17,32.0,,
1997-10-20,31.94,,
1997-10-21,31.5,,
1997-10-22,31.75,,
1997-10-23,31.19,,
1997-10-24,31.88,,
1997-10-27,30.88,,
1997-10-28,30.0,,
1997-10-29,30.81,,
1997-10-30,30.06,,
1997-10-31,32.0,,
1997-11-03,33.75,,
1997-11-04,34.06,,
1997-11-05,33.5,,
1997-11-06,33.75,,
1997-11-07,33.63,,
1997-11-10,33.06,,
1997-11-11,32.63,,
1997-11-12,32.44,,
1997-11-13,31.94,,
1997-11-14,33.25,,
1997-11-17,34.0,,
1997-11-18,34.0,,
1997-11-19,34.19,,
1997-11-20,34.38,,
1997-11-21,34.31,,
1997-11-24,34.0,,
1997-11-25,33.94,,
1997-11-26,32.75,,
1997-11-28,32.63,,
1997-12-01,33.25,,
1997-12-02,33.88,,
1997-12-03,34.38,,
1997-12-04,34.38,,
1997-12-05,33.94,,
