date,NVDA,NVDA_EPS,PE Ratio
1999-01-22,1.64,,
1999-01-25,1.81,,
1999-01-26,1.67,,
1999-01-27,1.67,,
1999-01-28,1.66,,
1999-01-29,1.58,,
1999-02-01,1.61,,
1999-02-02,1.49,,
1999-02-03,1.52,,
1999-02-04,1.6,,
1999-02-05,1.65,,
1999-02-08,1.59,,
1999-02-09,1.53,,
1999-02-10,1.52,,
1999-02-11,1.65,,
1999-02-12,1.74,,
1999-02-16,1.75,,
1999-02-17,1.66,,
1999-02-18,1.68,,
1999-02-19,1.74,,
1999-02-22,1.75,,
1999-02-23,1.83,,
1999-02-24,1.98,,
1999-02-25,1.92,,
1999-02-26,1.83,,
1999-03-01,1.84,,
1999-03-02,1.82,,
1999-03-03,1.7,,
1999-03-04,1.66,,
1999-03-05,1.76,,
1999-03-08,1.78,,
1999-03-09,1.84,,
1999-03-10,1.81,,
1999-03-11,1.73,,
1999-03-12,1.7,,
1999-03-15,1.77,,
1999-03-16,1.71,,
1999-03-17,1.72,,
1999-03-18,1.74,,
1999-03-19,1.75,,
1999-03-22,1.7,,
1999-03-23,1.59,,
1999-03-24,1.58,,
1999-03-25,1.6,,
1999-03-26,1.74,,
1999-03-29,1.8,,
1999-03-30,1.65,,
1999-03-31,1.76,,
1999-04-01,1.71,,
1999-04-05,1.66,,
1999-04-06,1.61,,
1999-04-07,1.75,,
1999-04-08,1.78,,
1999-04-09,1.75,,
1999-04-12,1.68,,
1999-04-13,1.61,,
1999-04-14,1.56,,
1999-04-15,1.6,,
1999-04-16,1.66,,
1999-04-19,1.58,,
1999-04-20,1.55,,
1999-04-21,1.58,,
1999-04-22,1.51,,
1999-04-23,1.44,,
1999-04-26,1.36,,
1999-04-27,1.51,,
1999-04-28,1.5,,
1999-04-29,1.5,,
1999-04-30,1.52,,
1999-05-03,1.53,,
1999-05-04,1.45,,
1999-05-05,1.48,,
1999-05-06,1.45,,
1999-05-07,1.46,,
1999-05-10,1.46,,
1999-05-11,1.54,,
1999-05-12,1.58,,
1999-05-13,1.58,,
1999-05-14,1.5,,
1999-05-17,1.57,,
1999-05-18,1.65,,
1999-05-19,1.57,,
1999-05-20,1.45,,
1999-05-21,1.42,,
1999-05-24,1.41,,
1999-05-25,1.42,,
1999-05-26,1.42,,
1999-05-27,1.41,,
1999-05-28,1.42,,
1999-06-01,1.43,,
1999-06-02,1.38,,
1999-06-03,1.41,,
1999-06-04,1.42,,
1999-06-07,1.44,,
1999-06-08,1.47,,
1999-06-09,1.5,,
1999-06-10,1.51,,
1999-06-11,1.47,,
1999-06-14,1.42,,
1999-06-15,1.42,,
