date,BKR,BKR_EPS,PE Ratio
,,0.0,
1987-04-06,18.63,0.0,inf
1987-04-07,18.0,0.0,inf
1987-04-08,18.75,0.0,inf
1987-04-09,17.88,0.0,inf
1987-04-10,18.13,0.0,inf
1987-04-13,17.63,0.0,inf
1987-04-14,16.13,0.0,inf
1987-04-15,17.5,0.0,inf
1987-04-16,18.0,0.0,inf
1987-04-20,17.75,0.0,inf
1987-04-21,17.63,0.0,inf
1987-04-22,17.25,0.0,inf
1987-04-23,17.38,0.0,inf
1987-04-24,16.88,0.0,inf
1987-04-27,16.5,0.0,inf
1987-04-28,17.13,0.0,inf
1987-04-29,17.25,0.0,inf
1987-04-30,18.0,0.0,inf
1987-05-01,18.0,0.0,inf
1987-05-04,18.5,0.0,inf
1987-05-05,19.38,0.0,inf
1987-05-06,20.75,0.0,inf
1987-05-07,22.25,0.0,inf
1987-05-08,21.88,0.0,inf
1987-05-11,22.5,0.0,inf
1987-05-12,22.5,0.0,inf
1987-05-13,21.88,0.0,inf
1987-05-14,21.75,0.0,inf
1987-05-15,21.38,0.0,inf
1987-05-18,21.0,0.0,inf
1987-05-19,20.75,0.0,inf
1987-05-20,20.13,0.0,inf
1987-05-21,20.38,0.0,inf
1987-05-22,20.75,0.0,inf
1987-05-26,21.75,0.0,inf
1987-05-27,21.63,0.0,inf
1987-05-28,21.5,0.0,inf
1987-05-29,21.88,0.0,inf
1987-06-01,21.88,0.0,inf
1987-06-02,21.63,0.0,inf
1987-06-03,21.75,0.0,inf
1987-06-04,22.0,0.0,inf
1987-06-05,21.88,0.0,inf
1987-06-08,22.25,0.0,inf
1987-06-09,22.0,0.0,inf
1987-06-10,22.0,0.0,inf
1987-06-11,21.75,0.0,inf
1987-06-12,21.25,0.0,inf
1987-06-15,21.75,0.0,inf
1987-06-16,21.88,0.0,inf
1987-06-17,21.75,0.0,inf
1987-06-18,21.38,0.0,inf
1987-06-19,21.88,0.0,inf
1987-06-22,22.0,0.0,inf
1987-06-23,22.0,0.0,inf
1987-06-24,21.75,0.0,inf
1987-06-25,21.88,0.0,inf
1987-06-26,21.5,0.0,inf
1987-06-29,22.38,0.0,inf
1987-06-30,22.75,0.0,inf
1987-07-01,24.13,0.0,inf
1987-07-02,24.63,0.0,inf
1987-07-06,25.25,0.0,inf
1987-07-07,26.25,0.0,inf
1987-07-08,25.75,0.0,inf
1987-07-09,26.75,0.0,inf
1987-07-10,26.25,0.0,inf
1987-07-13,26.0,0.0,inf
1987-07-14,26.13,0.0,inf
1987-07-15,26.38,0.0,inf
1987-07-16,26.88,0.0,inf
1987-07-17,27.25,0.0,inf
1987-07-20,27.0,0.0,inf
1987-07-21,26.13,0.0,inf
1987-07-22,25.38,0.0,inf
1987-07-23,24.25,0.0,inf
1987-07-24,24.38,0.0,inf
1987-07-27,25.75,0.0,inf
1987-07-28,26.25,0.0,inf
1987-07-29,26.75,0.0,inf
1987-07-30,26.63,0.0,inf
1987-07-31,26.25,0.0,inf
1987-08-03,26.75,0.0,inf
1987-08-04,26.63,0.0,inf
1987-08-05,25.75,0.0,inf
1987-08-06,26.0,0.0,inf
1987-08-07,26.13,0.0,inf
1987-08-10,26.38,0.0,inf
1987-08-11,26.5,0.0,inf
1987-08-12,25.88,0.0,inf
1987-08-13,25.88,0.0,inf
1987-08-14,25.63,0.0,inf
1987-08-17,25.0,0.0,inf
1987-08-18,24.0,0.0,inf
1987-08-19,24.0,0.0,inf
1987-08-20,24.25,0.0,inf
1987-08-21,24.38,0.0,inf
1987-08-24,23.5,0.0,inf
1987-08-25,23.13,0.0,inf
1987-08-26,23.38,0.0,inf
1987-08-27,24.63,0.0,inf
1987-08-28,24.25,0.0,inf
1987-08-31,25.25,0.0,inf
1987-09-01,24.63,0.0,inf
1987-09-02,24.63,0.0,inf
1987-09-03,24.38,0.0,inf
1987-09-04,24.0,0.0,inf
1987-09-08,24.38,0.0,inf
1987-09-09,24.0,0.0,inf
1987-09-10,24.5,0.0,inf
1987-09-11,25.5,0.0,inf
1987-09-14,25.13,0.0,inf
1987-09-15,25.13,0.0,inf
1987-09-16,24.63,0.0,inf
1987-09-17,24.63,0.0,inf
1987-09-18,24.88,0.0,inf
1987-09-21,24.63,0.0,inf
1987-09-22,25.38,0.0,inf
1987-09-23,25.0,0.0,inf
1987-09-24,24.63,0.0,inf
1987-09-25,24.88,0.0,inf
1987-09-28,25.38,0.0,inf
1987-09-29,25.0,0.0,inf
1987-09-30,24.63,0.0,inf
1987-10-01,25.0,0.0,inf
1987-10-02,25.75,0.0,inf
1987-10-05,26.0,0.0,inf
1987-10-06,24.75,0.0,inf
1987-10-07,24.25,0.0,inf
1987-10-08,23.5,0.0,inf
1987-10-09,23.38,0.0,inf
1987-10-12,23.0,0.0,inf
1987-10-13,22.63,0.0,inf
1987-10-14,22.25,0.0,inf
1987-10-15,22.75,0.0,inf
1987-10-16,20.88,0.0,inf
1987-10-19,13.25,0.0,inf
1987-10-20,13.25,0.0,inf
1987-10-21,17.0,0.0,inf
1987-10-22,16.5,0.0,inf
1987-10-23,15.5,0.0,inf
1987-10-26,12.75,0.0,inf
1987-10-27,14.25,0.0,inf
1987-10-28,13.5,0.0,inf
1987-10-29,15.38,0.0,inf
1987-10-30,16.88,0.0,inf
1987-11-02,17.13,0.0,inf
1987-11-03,16.63,0.0,inf
1987-11-04,15.0,0.0,inf
1987-11-05,15.38,0.0,inf
1987-11-06,15.25,0.0,inf
1987-11-09,14.63,0.0,inf
1987-11-10,13.5,0.0,inf
1987-11-11,13.88,0.0,inf
1987-11-12,14.38,0.0,inf
1987-11-13,14.25,0.0,inf
1987-11-16,14.5,0.0,inf
1987-11-17,14.25,0.0,inf
1987-11-18,14.0,0.0,inf
1987-11-19,13.0,0.0,inf
1987-11-20,12.5,0.0,inf
1987-11-23,13.13,0.0,inf
1987-11-24,13.0,0.0,inf
1987-11-25,13.0,0.0,inf
1987-11-27,12.63,0.0,inf
1987-11-30,11.63,0.0,inf
1987-12-01,11.75,0.0,inf
1987-12-02,12.38,0.0,inf
1987-12-03,12.13,0.0,inf
1987-12-04,12.25,0.0,inf
1987-12-07,12.38,0.0,inf
1987-12-08,13.0,0.0,inf
1987-12-09,13.38,0.0,inf
1987-12-10,13.0,0.0,inf
1987-12-11,13.38,0.0,inf
1987-12-14,13.13,0.0,inf
1987-12-15,12.5,0.0,inf
1987-12-16,12.88,0.0,inf
1987-12-17,12.75,0.0,inf
1987-12-18,13.13,0.0,inf
1987-12-21,13.0,0.0,inf
1987-12-22,13.63,0.0,inf
1987-12-23,14.75,0.0,inf
1987-12-24,14.63,0.0,inf
1987-12-28,14.38,0.0,inf
1987-12-29,13.5,0.0,inf
1987-12-30,13.5,0.0,inf
1987-12-31,13.63,0.0,inf
1988-01-04,14.25,0.0,inf
1988-01-05,14.5,0.0,inf
1988-01-06,15.25,0.0,inf
1988-01-07,16.13,0.0,inf
1988-01-08,14.5,0.0,inf
1988-01-11,14.38,0.0,inf
1988-01-12,13.88,0.0,inf
1988-01-13,14.38,0.0,inf
1988-01-14,14.0,0.0,inf
1988-01-15,14.25,0.0,inf
1988-01-18,14.25,0.0,inf
1988-01-19,14.0,0.0,inf
1988-01-20,13.88,0.0,inf
1988-01-21,13.75,0.0,inf
1988-01-22,14.0,0.0,inf
1988-01-25,14.63,0.0,inf
1988-01-26,14.88,0.0,inf
1988-01-27,14.75,0.0,inf
1988-01-28,15.13,0.0,inf
1988-01-29,15.75,0.0,inf
1988-02-01,14.88,0.0,inf
1988-02-02,14.75,0.0,inf
1988-02-03,15.38,0.0,inf
1988-02-04,15.88,0.0,inf
1988-02-05,16.0,0.0,inf
1988-02-08,16.0,0.0,inf
1988-02-09,16.13,0.0,inf
1988-02-10,16.5,0.0,inf
1988-02-11,16.75,0.0,inf
1988-02-12,16.38,0.0,inf
1988-02-16,16.5,0.0,inf
1988-02-17,16.5,0.0,inf
1988-02-18,16.38,0.0,inf
1988-02-19,16.5,0.0,inf
1988-02-22,16.75,0.0,inf
1988-02-23,16.75,0.0,inf
1988-02-24,16.75,0.0,inf
1988-02-25,16.38,0.0,inf
1988-02-26,16.5,0.0,inf
1988-02-29,16.75,0.0,inf
1988-03-01,16.5,0.0,inf
1988-03-02,15.88,0.0,inf
1988-03-03,15.88,0.0,inf
1988-03-04,15.88,0.0,inf
1988-03-07,16.0,0.0,inf
1988-03-08,16.25,0.0,inf
1988-03-09,16.5,0.0,inf
1988-03-10,17.13,0.0,inf
1988-03-11,17.5,0.0,inf
1988-03-14,17.75,0.0,inf
1988-03-15,17.38,0.0,inf
1988-03-16,17.25,0.0,inf
1988-03-17,18.13,0.0,inf
1988-03-18,18.38,0.0,inf
1988-03-21,18.0,0.0,inf
1988-03-22,18.0,0.0,inf
1988-03-23,17.63,0.0,inf
1988-03-24,17.38,0.0,inf
1988-03-25,17.13,0.0,inf
1988-03-28,17.25,0.0,inf
1988-03-29,17.5,0.0,inf
1988-03-30,17.75,0.0,inf
1988-03-31,17.88,0.0,inf
1988-04-04,17.13,0.0,inf
1988-04-05,17.75,0.0,inf
1988-04-06,18.38,0.0,inf
1988-04-07,19.0,0.0,inf
1988-04-08,19.0,0.0,inf
1988-04-11,19.75,0.0,inf
1988-04-12,19.38,0.0,inf
1988-04-13,19.38,0.0,inf
1988-04-14,18.25,0.0,inf
1988-04-15,17.75,0.0,inf
1988-04-18,18.25,0.0,inf
1988-04-19,17.63,0.0,inf
1988-04-20,17.25,0.0,inf
1988-04-21,17.13,0.0,inf
1988-04-22,17.38,0.0,inf
1988-04-25,17.25,0.0,inf
1988-04-26,17.38,0.0,inf
1988-04-27,17.75,0.0,inf
1988-04-28,17.75,0.0,inf
1988-04-29,17.5,0.0,inf
1988-05-02,17.13,0.0,inf
1988-05-03,17.5,0.0,inf
1988-05-04,17.0,0.0,inf
1988-05-05,17.25,0.0,inf
1988-05-06,17.5,0.0,inf
1988-05-09,17.38,0.0,inf
1988-05-10,17.0,0.0,inf
1988-05-11,16.63,0.0,inf
1988-05-12,16.5,0.0,inf
1988-05-13,16.88,0.0,inf
1988-05-16,17.0,0.0,inf
1988-05-17,16.75,0.0,inf
1988-05-18,16.25,0.0,inf
1988-05-19,16.75,0.0,inf
1988-05-20,16.75,0.0,inf
1988-05-23,16.63,0.0,inf
1988-05-24,16.75,0.0,inf
1988-05-25,16.63,0.0,inf
1988-05-26,16.63,0.0,inf
1988-05-27,16.25,0.0,inf
1988-05-31,16.75,0.0,inf
1988-06-01,16.25,0.0,inf
1988-06-02,16.25,0.0,inf
1988-06-03,15.5,0.0,inf
1988-06-06,15.25,0.0,inf
1988-06-07,15.63,0.0,inf
1988-06-08,15.88,0.0,inf
1988-06-09,16.0,0.0,inf
1988-06-10,15.88,0.0,inf
1988-06-13,15.75,0.0,inf
1988-06-14,16.25,0.0,inf
1988-06-15,16.25,0.0,inf
1988-06-16,15.75,0.0,inf
1988-06-17,15.75,0.0,inf
1988-06-20,15.63,0.0,inf
1988-06-21,15.5,0.0,inf
1988-06-22,15.38,0.0,inf
1988-06-23,15.25,0.0,inf
1988-06-24,15.25,0.0,inf
1988-06-27,15.25,0.0,inf
1988-06-28,15.5,0.0,inf
1988-06-29,15.5,0.0,inf
1988-06-30,15.38,0.0,inf
1988-07-01,15.0,0.0,inf
1988-07-05,15.75,0.0,inf
1988-07-06,15.38,0.0,inf
1988-07-07,15.75,0.0,inf
1988-07-08,15.38,0.0,inf
1988-07-11,15.25,0.0,inf
1988-07-12,15.13,0.0,inf
1988-07-13,14.75,0.0,inf
1988-07-14,15.38,0.0,inf
1988-07-15,15.5,0.0,inf
1988-07-18,15.25,0.0,inf
1988-07-19,15.13,0.0,inf
1988-07-20,15.25,0.0,inf
1988-07-21,15.13,0.0,inf
1988-07-22,15.25,0.0,inf
1988-07-25,15.13,0.0,inf
1988-07-26,15.25,0.0,inf
1988-07-27,15.25,0.0,inf
1988-07-28,15.0,0.0,inf
1988-07-29,15.5,0.0,inf
1988-08-01,15.25,0.0,inf
1988-08-02,14.88,0.0,inf
1988-08-03,14.38,0.0,inf
1988-08-04,14.13,0.0,inf
1988-08-05,14.13,0.0,inf
1988-08-08,15.0,0.0,inf
1988-08-09,14.88,0.0,inf
1988-08-10,14.88,0.0,inf
1988-08-11,14.75,0.0,inf
1988-08-12,14.38,0.0,inf
