date,D,D_EPS,PE Ratio
1980-03-17,3.17,,
1980-03-18,3.25,,
1980-03-19,3.25,,
1980-03-20,3.29,,
1980-03-21,3.29,,
1980-03-24,3.21,,
1980-03-25,3.21,,
1980-03-26,3.25,,
1980-03-27,3.13,,
1980-03-28,3.17,,
1980-03-31,3.25,,
1980-04-01,3.42,,
1980-04-02,3.42,,
1980-04-03,3.5,,
1980-04-07,3.42,,
1980-04-08,3.38,,
1980-04-09,3.5,,
1980-04-10,3.63,,
1980-04-11,3.67,,
1980-04-14,3.63,,
1980-04-15,3.54,,
1980-04-16,3.63,,
1980-04-17,3.67,,
1980-04-18,3.67,,
1980-04-21,3.71,,
1980-04-22,3.67,,
1980-04-23,3.71,,
1980-04-24,3.75,,
1980-04-25,3.75,,
1980-04-28,3.71,,
1980-04-29,3.75,,
1980-04-30,3.75,,
1980-05-01,3.79,,
1980-05-02,3.83,,
1980-05-05,3.88,,
1980-05-06,3.83,,
1980-05-07,3.96,,
1980-05-08,3.88,,
1980-05-09,3.83,,
1980-05-12,3.83,,
1980-05-13,3.88,,
1980-05-14,4.0,,
1980-05-15,4.0,,
1980-05-16,3.96,,
1980-05-19,3.92,,
1980-05-20,3.83,,
1980-05-21,3.92,,
1980-05-22,3.92,,
1980-05-23,3.75,,
1980-05-27,3.71,,
1980-05-28,3.71,,
1980-05-29,3.75,,
1980-05-30,3.79,,
1980-06-02,3.75,,
1980-06-03,3.75,,
1980-06-04,3.75,,
1980-06-05,3.79,,
1980-06-06,3.88,,
1980-06-09,3.88,,
1980-06-10,3.88,,
1980-06-11,3.83,,
1980-06-12,3.83,,
1980-06-13,3.96,,
1980-06-16,4.0,,
1980-06-17,4.08,,
1980-06-18,4.04,,
1980-06-19,4.0,,
1980-06-20,4.04,,
1980-06-23,4.0,,
1980-06-24,4.04,,
1980-06-25,4.0,,
1980-06-26,4.0,,
1980-06-27,4.0,,
1980-06-30,3.96,,
1980-07-01,3.96,,
1980-07-02,3.92,,
1980-07-03,3.96,,
1980-07-07,3.92,,
1980-07-08,3.96,,
1980-07-09,3.92,,
1980-07-10,3.96,,
1980-07-11,3.88,,
1980-07-14,3.88,,
1980-07-15,3.83,,
1980-07-16,3.83,,
1980-07-17,3.75,,
1980-07-18,3.75,,
1980-07-21,3.71,,
1980-07-22,3.71,,
1980-07-23,3.79,,
1980-07-24,3.79,,
1980-07-25,3.79,,
1980-07-28,3.79,,
1980-07-29,3.75,,
1980-07-30,3.79,,
1980-07-31,3.79,,
1980-08-01,3.75,,
1980-08-04,3.75,,
1980-08-05,3.75,,
1980-08-06,3.75,,
1980-08-07,3.75,,
1980-08-08,3.79,,
1980-08-11,3.75,,
1980-08-12,3.75,,
1980-08-13,3.88,,
1980-08-14,3.83,,
1980-08-15,3.83,,
1980-08-18,3.79,,
1980-08-19,3.79,,
1980-08-20,3.83,,
1980-08-21,3.88,,
1980-08-22,3.83,,
1980-08-25,3.71,,
1980-08-26,3.71,,
1980-08-27,3.71,,
1980-08-28,3.67,,
1980-08-29,3.63,,
1980-09-02,3.63,,
1980-09-03,3.75,,
1980-09-04,3.75,,
1980-09-05,3.67,,
1980-09-08,3.67,,
1980-09-09,3.71,,
1980-09-10,3.71,,
1980-09-11,3.71,,
1980-09-12,3.67,,
1980-09-15,3.71,,
1980-09-16,3.75,,
1980-09-17,3.67,,
1980-09-18,3.67,,
1980-09-19,3.67,,
1980-09-22,3.63,,
1980-09-23,3.67,,
1980-09-24,3.58,,
1980-09-25,3.58,,
1980-09-26,3.54,,
1980-09-29,3.5,,
1980-09-30,3.58,,
1980-10-01,3.58,,
1980-10-02,3.63,,
1980-10-03,3.63,,
1980-10-06,3.63,,
1980-10-07,3.63,,
1980-10-08,3.63,,
1980-10-09,3.54,,
1980-10-10,3.54,,
1980-10-13,3.58,,
1980-10-14,3.58,,
1980-10-15,3.58,,
1980-10-16,3.5,,
1980-10-17,3.54,,
1980-10-20,3.5,,
1980-10-21,3.54,,
1980-10-22,3.5,,
1980-10-23,3.5,,
1980-10-24,3.54,,
1980-10-27,3.54,,
1980-10-28,3.5,,
1980-10-29,3.5,,
1980-10-30,3.46,,
1980-10-31,3.54,,
1980-11-03,3.54,,
1980-11-05,3.5,,
1980-11-06,3.46,,
1980-11-07,3.54,,
1980-11-10,3.38,,
1980-11-11,3.46,,
1980-11-12,3.67,,
1980-11-13,3.58,,
1980-11-14,3.63,,
1980-11-17,3.58,,
1980-11-18,3.63,,
1980-11-19,3.54,,
1980-11-20,3.54,,
1980-11-21,3.54,,
1980-11-24,3.46,,
1980-11-25,3.33,,
1980-11-26,3.38,,
1980-11-28,3.33,,
1980-12-01,3.25,,
1980-12-02,3.29,,
1980-12-03,3.29,,
1980-12-04,3.29,,
1980-12-05,3.29,,
1980-12-08,3.29,,
1980-12-09,3.29,,
1980-12-10,3.25,,
1980-12-11,3.21,,
1980-12-12,3.25,,
1980-12-15,3.25,,
1980-12-16,3.25,,
1980-12-17,3.29,,
1980-12-18,3.46,,
1980-12-19,3.67,,
1980-12-22,3.67,,
1980-12-23,3.63,,
1980-12-24,3.58,,
1980-12-26,3.63,,
1980-12-29,3.58,,
1980-12-30,3.5,,
1980-12-31,3.46,,
1981-01-02,3.5,,
1981-01-05,3.67,,
1981-01-06,3.79,,
1981-01-07,3.79,,
1981-01-08,3.79,,
1981-01-09,3.75,,
1981-01-12,3.75,,
1981-01-13,3.79,,
1981-01-14,3.83,,
1981-01-15,3.83,,
1981-01-16,3.88,,
