date,PRU,PRU_EPS,PE Ratio
2001-12-13,29.3,,
2001-12-14,29.68,,
2001-12-17,29.45,,
2001-12-18,29.95,,
2001-12-19,30.15,,
2001-12-20,30.17,,
2001-12-21,30.99,,
2001-12-24,31.45,,
2001-12-26,32.2,,
2001-12-27,32.85,,
2001-12-28,32.94,,
2001-12-31,33.19,,
2002-01-02,31.3,,
2002-01-03,31.25,,
2002-01-04,31.95,,
2002-01-07,31.95,,
2002-01-08,31.78,,
2002-01-09,31.3,,
2002-01-10,31.01,,
2002-01-11,30.9,,
2002-01-14,30.05,,
2002-01-15,30.78,,
2002-01-16,30.68,,
2002-01-17,30.52,,
2002-01-18,30.25,,
2002-01-22,31.25,,
2002-01-23,30.52,,
2002-01-24,30.25,,
2002-01-25,30.43,,
2002-01-28,30.93,,
2002-01-29,30.39,,
2002-01-30,30.15,,
2002-01-31,31.05,,
2002-02-01,30.6,,
2002-02-04,30.88,,
2002-02-05,31.05,,
2002-02-06,31.15,,
2002-02-07,30.62,,
2002-02-08,31.03,,
2002-02-11,31.76,,
2002-02-12,31.5,,
2002-02-13,32.09,,
2002-02-14,32.03,,
2002-02-15,31.5,,
2002-02-19,30.26,,
2002-02-20,30.65,,
2002-02-21,30.84,,
2002-02-22,30.24,,
2002-02-25,30.28,,
2002-02-26,30.5,,
2002-02-27,30.35,,
2002-02-28,30.57,,
2002-03-01,30.85,,
2002-03-04,30.7,,
2002-03-05,31.44,,
2002-03-06,31.4,,
2002-03-07,31.57,,
2002-03-08,31.75,,
2002-03-11,31.35,,
2002-03-12,30.9,,
2002-03-13,30.63,,
2002-03-14,30.97,,
2002-03-15,31.1,,
2002-03-18,31.39,,
2002-03-19,31.4,,
2002-03-20,31.35,,
2002-03-21,31.25,,
2002-03-22,31.25,,
2002-03-25,31.21,,
2002-03-26,31.43,,
2002-03-27,31.37,,
2002-03-28,31.05,,
2002-04-01,31.05,,
2002-04-02,31.35,,
2002-04-03,31.35,,
2002-04-04,31.84,,
2002-04-05,32.31,,
2002-04-08,32.72,,
2002-04-09,33.0,,
2002-04-10,32.79,,
2002-04-11,32.6,,
2002-04-12,32.51,,
2002-04-15,32.07,,
2002-04-16,32.6,,
2002-04-17,32.22,,
2002-04-18,31.85,,
2002-04-19,31.9,,
2002-04-22,32.75,,
