date,FE,FE_EPS,PE Ratio
1997-11-10,25.19,,
1997-11-11,25.31,,
1997-11-12,25.63,,
1997-11-13,25.88,,
1997-11-14,26.0,,
1997-11-17,26.13,,
1997-11-18,26.06,,
1997-11-19,26.25,,
1997-11-20,26.5,,
1997-11-21,26.88,,
1997-11-24,26.88,,
1997-11-25,27.13,,
1997-11-26,26.88,,
1997-11-28,27.0,,
1997-12-01,27.38,,
1997-12-02,27.13,,
1997-12-03,27.13,,
1997-12-04,27.38,,
1997-12-05,27.31,,
1997-12-08,27.31,,
1997-12-09,27.19,,
1997-12-10,27.31,,
1997-12-11,27.13,,
1997-12-12,27.19,,
1997-12-15,27.5,,
1997-12-16,27.44,,
1997-12-17,27.44,,
1997-12-18,27.81,,
1997-12-19,28.31,,
1997-12-22,28.63,,
1997-12-23,28.5,,
1997-12-24,28.63,,
1997-12-26,28.25,,
1997-12-29,28.56,,
1997-12-30,28.81,,
1997-12-31,29.0,,
1998-01-02,28.88,,
1998-01-05,28.38,,
1998-01-06,28.56,,
1998-01-07,28.44,,
1998-01-08,28.38,,
1998-01-09,28.31,,
1998-01-12,28.75,,
1998-01-13,28.44,,
1998-01-14,28.44,,
1998-01-15,28.25,,
1998-01-16,28.38,,
1998-01-20,28.5,,
1998-01-21,28.5,,
1998-01-22,28.5,,
1998-01-23,28.31,,
1998-01-26,28.63,,
1998-01-27,28.63,,
1998-01-28,28.94,,
1998-01-29,29.44,,
1998-01-30,29.0,,
1998-02-02,29.0,,
1998-02-03,29.44,,
1998-02-04,29.06,,
1998-02-05,29.25,,
1998-02-06,29.56,,
1998-02-09,29.38,,
1998-02-10,29.25,,
1998-02-11,29.25,,
1998-02-12,29.38,,
1998-02-13,29.63,,
1998-02-17,29.25,,
1998-02-18,29.19,,
1998-02-19,29.25,,
1998-02-20,29.06,,
1998-02-23,29.0,,
1998-02-24,28.75,,
1998-02-25,29.0,,
1998-02-26,28.81,,
1998-02-27,28.94,,
1998-03-02,28.88,,
1998-03-03,29.06,,
1998-03-04,29.31,,
1998-03-05,29.06,,
1998-03-06,29.69,,
1998-03-09,29.81,,
1998-03-10,30.25,,
1998-03-11,29.94,,
1998-03-12,30.06,,
1998-03-13,29.94,,
1998-03-16,30.31,,
1998-03-17,30.63,,
1998-03-18,30.44,,
1998-03-19,30.5,,
1998-03-20,30.81,,
1998-03-23,30.75,,
1998-03-24,30.63,,
1998-03-25,31.0,,
1998-03-26,30.88,,
1998-03-27,30.5,,
1998-03-30,30.31,,
1998-03-31,30.81,,
1998-04-01,30.94,,
1998-04-02,31.25,,
1998-04-03,31.19,,
1998-04-06,30.94,,
1998-04-07,30.75,,
1998-04-08,30.56,,
1998-04-09,31.0,,
1998-04-13,30.81,,
1998-04-14,31.25,,
1998-04-15,31.81,,
1998-04-16,31.19,,
1998-04-17,31.5,,
1998-04-20,30.94,,
1998-04-21,30.88,,
1998-04-22,30.75,,
1998-04-23,30.06,,
1998-04-24,30.0,,
1998-04-27,29.56,,
1998-04-28,29.69,,
1998-04-29,29.63,,
1998-04-30,30.25,,
1998-05-01,30.44,,
1998-05-04,30.44,,
1998-05-05,29.81,,
1998-05-06,30.06,,
1998-05-07,29.63,,
1998-05-08,29.94,,
1998-05-11,30.13,,
1998-05-12,30.06,,
1998-05-13,29.75,,
1998-05-14,29.81,,
1998-05-15,29.75,,
1998-05-18,29.63,,
1998-05-19,29.56,,
1998-05-20,29.56,,
1998-05-21,29.38,,
1998-05-22,29.31,,
1998-05-26,29.0,,
1998-05-27,28.56,,
1998-05-28,29.13,,
1998-05-29,29.69,,
1998-06-01,30.31,,
1998-06-02,30.5,,
1998-06-03,30.44,,
1998-06-04,30.88,,
1998-06-05,31.06,,
1998-06-08,30.81,,
1998-06-09,30.94,,
1998-06-10,31.44,,
1998-06-11,31.25,,
1998-06-12,31.19,,
1998-06-15,30.25,,
1998-06-16,30.69,,
1998-06-17,30.63,,
1998-06-18,30.56,,
1998-06-19,30.44,,
1998-06-22,30.5,,
1998-06-23,30.5,,
1998-06-24,30.31,,
1998-06-25,30.44,,
1998-06-26,30.56,,
1998-06-29,30.63,,
1998-06-30,30.75,,
1998-07-01,30.94,,
1998-07-02,30.81,,
1998-07-06,30.38,,
1998-07-07,30.13,,
1998-07-08,29.94,,
1998-07-09,29.81,,
1998-07-10,29.5,,
1998-07-13,29.0,,
1998-07-14,28.25,,
1998-07-15,28.13,,
1998-07-16,28.5,,
1998-07-17,28.5,,
1998-07-20,28.31,,
1998-07-21,28.25,,
1998-07-22,28.75,,
1998-07-23,28.0,,
1998-07-24,28.06,,
1998-07-27,28.25,,
1998-07-28,27.88,,
1998-07-29,27.88,,
1998-07-30,28.25,,
1998-07-31,27.56,,
1998-08-03,28.0,,
1998-08-04,27.63,,
1998-08-05,27.56,,
1998-08-06,27.5,,
1998-08-07,28.0,,
1998-08-10,27.88,,
1998-08-11,27.88,,
1998-08-12,28.75,,
1998-08-13,28.75,,
1998-08-14,28.81,,
1998-08-17,29.25,,
1998-08-18,29.13,,
1998-08-19,28.69,,
1998-08-20,28.94,,
1998-08-21,29.31,,
1998-08-24,29.63,,
1998-08-25,29.06,,
1998-08-26,29.19,,
1998-08-27,29.19,,
1998-08-28,29.0,,
1998-08-31,28.88,,
1998-09-01,29.38,,
1998-09-02,28.38,,
1998-09-03,28.44,,
1998-09-04,28.69,,
1998-09-08,29.44,,
1998-09-09,29.13,,
1998-09-10,28.63,,
1998-09-11,29.13,,
1998-09-14,29.19,,
1998-09-15,29.69,,
1998-09-16,29.94,,
1998-09-17,29.56,,
1998-09-18,29.75,,
1998-09-21,30.19,,
1998-09-22,30.19,,
1998-09-23,30.63,,
1998-09-24,29.63,,
1998-09-25,29.75,,
1998-09-28,30.13,,
1998-09-29,30.75,,
1998-09-30,31.06,,
1998-10-01,31.06,,
1998-10-02,32.63,,
1998-10-05,33.0,,
1998-10-06,32.75,,
1998-10-07,33.63,,
1998-10-08,33.88,,
1998-10-09,32.31,,
1998-10-12,31.38,,
1998-10-13,31.81,,
1998-10-14,32.0,,
1998-10-15,32.69,,
1998-10-16,31.25,,
1998-10-19,31.5,,
1998-10-20,30.19,,
1998-10-21,30.19,,
1998-10-22,30.5,,
1998-10-23,29.75,,
1998-10-26,29.44,,
1998-10-27,29.44,,
1998-10-28,29.81,,
1998-10-29,29.63,,
1998-10-30,30.0,,
1998-11-02,30.44,,
1998-11-03,30.81,,
1998-11-04,30.56,,
1998-11-05,30.81,,
1998-11-06,30.63,,
1998-11-09,30.63,,
1998-11-10,31.38,,
1998-11-11,30.94,,
1998-11-12,31.0,,
1998-11-13,31.25,,
1998-11-16,31.63,,
1998-11-17,31.56,,
1998-11-18,31.31,,
1998-11-19,31.38,,
1998-11-20,31.06,,
1998-11-23,31.31,,
1998-11-24,31.31,,
1998-11-25,31.5,,
1998-11-27,31.44,,
1998-11-30,30.94,,
1998-12-01,31.25,,
1998-12-02,31.13,,
1998-12-03,31.19,,
1998-12-04,31.75,,
1998-12-07,31.63,,
1998-12-08,31.94,,
1998-12-09,31.5,,
1998-12-10,31.25,,
1998-12-11,31.44,,
1998-12-14,31.06,,
1998-12-15,31.13,,
1998-12-16,31.38,,
1998-12-17,31.88,,
1998-12-18,32.0,,
1998-12-21,31.88,,
1998-12-22,32.0,,
1998-12-23,32.06,,
1998-12-24,32.13,,
1998-12-28,32.0,,
1998-12-29,31.88,,
1998-12-30,32.25,,
1998-12-31,32.56,,
1999-01-04,32.56,,
1999-01-05,32.56,,
1999-01-06,32.88,,
1999-01-07,33.0,,
1999-01-08,32.94,,
1999-01-11,32.75,,
1999-01-12,32.88,,
1999-01-13,32.38,,
1999-01-14,32.06,,
1999-01-15,32.63,,
1999-01-19,32.06,,
1999-01-20,31.63,,
1999-01-21,32.0,,
1999-01-22,31.75,,
1999-01-25,31.88,,
1999-01-26,31.75,,
1999-01-27,31.31,,
1999-01-28,31.44,,
1999-01-29,31.06,,
1999-02-01,30.44,,
1999-02-02,30.19,,
1999-02-03,30.25,,
1999-02-04,30.06,,
1999-02-05,30.38,,
1999-02-08,30.44,,
1999-02-09,30.06,,
1999-02-10,30.13,,
1999-02-11,29.5,,
1999-02-12,29.19,,
1999-02-16,29.63,,
1999-02-17,29.88,,
1999-02-18,30.13,,
1999-02-19,29.75,,
1999-02-22,29.88,,
1999-02-23,29.31,,
1999-02-24,29.13,,
1999-02-25,28.81,,
1999-02-26,29.25,,
1999-03-01,29.31,,
1999-03-02,29.88,,
1999-03-03,29.94,,
1999-03-04,30.0,,
1999-03-05,30.63,,
1999-03-08,30.19,,
1999-03-09,29.06,,
1999-03-10,29.0,,
1999-03-11,28.75,,
1999-03-12,29.31,,
1999-03-15,28.75,,
1999-03-16,28.75,,
1999-03-17,28.69,,
1999-03-18,29.19,,
1999-03-19,29.0,,
1999-03-22,29.0,,
1999-03-23,28.63,,
1999-03-24,29.69,,
1999-03-25,29.25,,
1999-03-26,28.81,,
1999-03-29,28.75,,
1999-03-30,28.0,,
1999-03-31,28.0,,
1999-04-01,28.25,,
1999-04-05,29.0,,
1999-04-06,28.44,,
1999-04-07,28.88,,
1999-04-08,29.38,,
1999-04-09,29.06,,
1999-04-12,29.31,,
1999-04-13,28.81,,
1999-04-14,28.25,,
1999-04-15,28.56,,
1999-04-16,28.81,,
1999-04-19,29.88,,
1999-04-20,30.56,,
1999-04-21,30.63,,
1999-04-22,30.0,,
1999-04-23,29.75,,
1999-04-26,29.75,,
1999-04-27,29.5,,
1999-04-28,29.44,,
1999-04-29,30.19,,
1999-04-30,29.69,,
1999-05-03,30.38,,
1999-05-04,30.19,,
1999-05-05,30.06,,
1999-05-06,30.38,,
1999-05-07,30.0,,
1999-05-10,30.31,,
1999-05-11,30.06,,
1999-05-12,30.19,,
1999-05-13,31.5,,
1999-05-14,31.06,,
1999-05-17,31.44,,
1999-05-18,31.5,,
1999-05-19,31.31,,
1999-05-20,31.06,,
1999-05-21,31.19,,
1999-05-24,31.38,,
1999-05-25,31.63,,
1999-05-26,32.0,,
1999-05-27,31.13,,
1999-05-28,31.81,,
1999-06-01,31.56,,
1999-06-02,31.31,,
1999-06-03,31.19,,
1999-06-04,31.5,,
1999-06-07,31.56,,
1999-06-08,31.25,,
1999-06-09,31.44,,
1999-06-10,31.06,,
1999-06-11,31.19,,
1999-06-14,31.0,,
1999-06-15,31.25,,
1999-06-16,31.69,,
1999-06-17,31.63,,
1999-06-18,31.75,,
1999-06-21,31.31,,
1999-06-22,31.44,,
1999-06-23,31.63,,
1999-06-24,31.69,,
1999-06-25,31.69,,
1999-06-28,31.81,,
1999-06-29,31.56,,
1999-06-30,31.0,,
1999-07-01,31.19,,
1999-07-02,31.13,,
1999-07-06,31.06,,
1999-07-07,31.06,,
1999-07-08,30.63,,
1999-07-09,30.69,,
1999-07-12,30.56,,
1999-07-13,30.44,,
1999-07-14,30.06,,
1999-07-15,30.13,,
1999-07-16,30.0,,
1999-07-19,30.0,,
1999-07-20,30.0,,
1999-07-21,30.06,,
1999-07-22,29.75,,
1999-07-23,29.69,,
1999-07-26,29.81,,
1999-07-27,29.69,,
1999-07-28,29.25,,
1999-07-29,28.56,,
1999-07-30,28.56,,
1999-08-02,29.0,,
1999-08-03,29.06,,
1999-08-04,28.13,,
1999-08-05,28.06,,
1999-08-06,28.5,,
1999-08-09,28.56,,
1999-08-10,28.31,,
1999-08-11,28.44,,
1999-08-12,28.06,,
1999-08-13,28.31,,
1999-08-16,28.44,,
1999-08-17,28.0,,
1999-08-18,27.94,,
1999-08-19,28.44,,
1999-08-20,29.0,,
1999-08-23,29.13,,
1999-08-24,28.75,,
1999-08-25,29.31,,
1999-08-26,28.88,,
1999-08-27,28.81,,
1999-08-30,28.81,,
1999-08-31,28.56,,
1999-09-01,28.44,,
1999-09-02,28.13,,
1999-09-03,28.75,,
1999-09-07,28.06,,
1999-09-08,28.0,,
1999-09-09,28.13,,
1999-09-10,27.88,,
1999-09-13,27.88,,
1999-09-14,27.31,,
1999-09-15,27.38,,
1999-09-16,27.25,,
1999-09-17,27.19,,
1999-09-20,27.0,,
1999-09-21,26.31,,
1999-09-22,26.19,,
1999-09-23,25.81,,
1999-09-24,25.5,,
1999-09-27,25.5,,
1999-09-28,25.25,,
1999-09-29,24.94,,
1999-09-30,25.31,,
1999-10-01,25.69,,
1999-10-04,26.25,,
1999-10-05,26.0,,
1999-10-06,25.88,,
1999-10-07,25.06,,
1999-10-08,25.5,,
1999-10-11,25.44,,
1999-10-12,24.88,,
1999-10-13,24.44,,
1999-10-14,25.25,,
1999-10-15,24.88,,
1999-10-18,24.63,,
1999-10-19,24.13,,
1999-10-20,23.94,,
1999-10-21,24.31,,
1999-10-22,24.5,,
1999-10-25,24.94,,
1999-10-26,25.0,,
1999-10-27,25.56,,
1999-10-28,25.94,,
1999-10-29,26.06,,
1999-11-01,26.25,,
1999-11-02,26.25,,
1999-11-03,25.94,,
1999-11-04,25.0,,
1999-11-05,25.38,,
1999-11-08,25.19,,
1999-11-09,24.69,,
1999-11-10,24.19,,
1999-11-11,24.31,,
1999-11-12,24.38,,
1999-11-15,24.25,,
