date,PNW,PNW_EPS,PE Ratio
,,0.15,
1973-02-21,22.38,0.15,149.2
1973-02-22,22.5,0.15,150.0
1973-02-23,22.0,0.15,146.66666666666669
1973-02-26,21.88,0.15,145.86666666666667
1973-02-27,21.5,0.15,143.33333333333334
1973-02-28,21.63,0.15,144.2
1973-03-01,21.63,0.15,144.2
1973-03-02,21.75,0.15,145.0
1973-03-05,20.75,0.15,138.33333333333334
1973-03-06,20.88,0.15,139.2
1973-03-07,21.25,0.15,141.66666666666669
1973-03-08,21.25,0.15,141.66666666666669
1973-03-09,20.88,0.15,139.2
1973-03-12,20.5,0.15,136.66666666666669
1973-03-13,21.13,0.15,140.86666666666667
1973-03-14,21.0,0.15,140.0
1973-03-15,21.0,0.15,140.0
1973-03-16,20.75,0.15,138.33333333333334
1973-03-19,20.63,0.15,137.53333333333333
1973-03-20,20.38,0.15,135.86666666666667
1973-03-21,20.38,0.15,135.86666666666667
1973-03-22,19.88,0.15,132.53333333333333
1973-03-23,20.0,0.15,133.33333333333334
1973-03-26,20.25,0.15,135.0
1973-03-27,20.25,0.15,135.0
1973-03-28,20.25,0.15,135.0
1973-03-29,20.5,0.15,136.66666666666669
1973-03-30,20.63,0.15,137.53333333333333
1973-04-02,19.88,0.15,132.53333333333333
1973-04-03,19.88,0.15,132.53333333333333
1973-04-04,19.5,0.15,130.0
1973-04-05,19.63,0.15,130.86666666666667
1973-04-06,19.38,0.15,129.2
1973-04-09,20.0,0.15,133.33333333333334
1973-04-10,19.88,0.15,132.53333333333333
1973-04-11,19.88,0.15,132.53333333333333
1973-04-12,20.0,0.15,133.33333333333334
1973-04-13,20.5,0.15,136.66666666666669
1973-04-16,20.63,0.15,137.53333333333333
1973-04-17,20.75,0.15,138.33333333333334
1973-04-18,21.13,0.15,140.86666666666667
1973-04-19,21.88,0.15,145.86666666666667
1973-04-23,22.13,0.15,147.53333333333333
1973-04-24,21.88,0.15,145.86666666666667
1973-04-25,21.25,0.15,141.66666666666669
1973-04-26,21.25,0.15,141.66666666666669
1973-04-27,21.25,0.15,141.66666666666669
1973-04-30,21.0,0.15,140.0
1973-05-01,21.13,0.15,140.86666666666667
1973-05-02,21.5,0.15,143.33333333333334
1973-05-03,21.75,0.15,145.0
1973-05-04,22.38,0.15,149.2
1973-05-07,21.75,0.15,145.0
1973-05-08,21.75,0.15,145.0
1973-05-09,21.63,0.15,144.2
1973-05-10,21.75,0.15,145.0
1973-05-11,21.75,0.15,145.0
1973-05-14,21.13,0.15,140.86666666666667
1973-05-15,21.0,0.15,140.0
1973-05-16,21.0,0.15,140.0
1973-05-17,20.88,0.15,139.2
1973-05-18,20.25,0.15,135.0
1973-05-21,20.13,0.15,134.2
1973-05-22,20.25,0.15,135.0
1973-05-23,20.5,0.15,136.66666666666669
1973-05-24,21.0,0.15,140.0
1973-05-25,21.25,0.15,141.66666666666669
1973-05-29,21.13,0.15,140.86666666666667
1973-05-30,21.25,0.15,141.66666666666669
1973-05-31,21.13,0.15,140.86666666666667
1973-06-01,21.13,0.15,140.86666666666667
1973-06-04,21.13,0.15,140.86666666666667
1973-06-05,21.38,0.15,142.53333333333333
1973-06-06,21.25,0.15,141.66666666666669
1973-06-07,21.13,0.15,140.86666666666667
1973-06-08,21.63,0.15,144.2
1973-06-11,21.75,0.15,145.0
1973-06-12,21.5,0.15,143.33333333333334
1973-06-13,21.75,0.15,145.0
1973-06-14,21.38,0.15,142.53333333333333
1973-06-15,21.0,0.15,140.0
1973-06-18,20.38,0.15,135.86666666666667
1973-06-19,20.63,0.15,137.53333333333333
1973-06-20,20.38,0.15,135.86666666666667
1973-06-21,20.38,0.15,135.86666666666667
1973-06-22,20.88,0.15,139.2
1973-06-25,20.63,0.15,137.53333333333333
1973-06-26,21.25,0.15,141.66666666666669
1973-06-27,21.0,0.15,140.0
1973-06-28,20.75,0.15,138.33333333333334
1973-06-29,21.25,0.15,141.66666666666669
1973-07-02,21.25,0.15,141.66666666666669
1973-07-03,21.5,0.15,143.33333333333334
1973-07-05,20.25,0.15,135.0
1973-07-06,20.13,0.15,134.2
1973-07-09,20.25,0.15,135.0
1973-07-10,20.13,0.15,134.2
1973-07-11,20.0,0.15,133.33333333333334
1973-07-12,20.75,0.15,138.33333333333334
1973-07-13,20.63,0.15,137.53333333333333
1973-07-16,20.13,0.15,134.2
1973-07-17,20.13,0.15,134.2
1973-07-18,20.5,0.15,136.66666666666669
1973-07-19,20.5,0.15,136.66666666666669
1973-07-20,20.25,0.15,135.0
1973-07-23,21.13,0.15,140.86666666666667
1973-07-24,20.5,0.15,136.66666666666669
1973-07-25,20.5,0.15,136.66666666666669
1973-07-26,20.13,0.15,134.2
1973-07-27,20.5,0.15,136.66666666666669
1973-07-30,20.38,0.15,135.86666666666667
1973-07-31,20.25,0.15,135.0
1973-08-01,20.0,0.15,133.33333333333334
1973-08-02,20.0,0.15,133.33333333333334
1973-08-03,20.0,0.15,133.33333333333334
1973-08-06,19.5,0.15,130.0
1973-08-07,19.38,0.15,129.2
1973-08-08,19.13,0.15,127.53333333333333
1973-08-09,19.38,0.15,129.2
1973-08-10,19.25,0.15,128.33333333333334
1973-08-13,19.13,0.15,127.53333333333333
1973-08-14,19.0,0.15,126.66666666666667
1973-08-15,18.75,0.15,125.0
1973-08-16,18.75,0.15,125.0
1973-08-17,18.75,0.15,125.0
1973-08-20,18.75,0.15,125.0
1973-08-21,18.63,0.15,124.2
1973-08-22,18.5,0.15,123.33333333333334
1973-08-23,18.25,0.15,121.66666666666667
1973-08-24,18.5,0.15,123.33333333333334
1973-08-27,18.25,0.15,121.66666666666667
1973-08-28,18.63,0.15,124.2
1973-08-29,18.63,0.15,124.2
1973-08-30,19.0,0.15,126.66666666666667
1973-08-31,19.0,0.15,126.66666666666667
1973-09-04,18.88,0.15,125.86666666666666
1973-09-05,18.75,0.15,125.0
1973-09-06,19.38,0.15,129.2
1973-09-07,19.5,0.15,130.0
1973-09-10,19.63,0.15,130.86666666666667
1973-09-11,19.5,0.15,130.0
1973-09-12,19.38,0.15,129.2
1973-09-13,19.0,0.15,126.66666666666667
1973-09-14,19.0,0.15,126.66666666666667
1973-09-17,19.25,0.15,128.33333333333334
1973-09-18,19.38,0.15,129.2
1973-09-19,19.38,0.15,129.2
1973-09-20,19.5,0.15,130.0
1973-09-21,19.88,0.15,132.53333333333333
1973-09-24,19.75,0.15,131.66666666666669
1973-09-25,20.0,0.15,133.33333333333334
1973-09-26,21.0,0.15,140.0
1973-09-27,21.38,0.15,142.53333333333333
1973-09-28,21.75,0.15,145.0
1973-10-01,21.63,0.15,144.2
1973-10-02,21.63,0.15,144.2
1973-10-03,21.25,0.15,141.66666666666669
1973-10-04,21.25,0.15,141.66666666666669
1973-10-05,21.38,0.15,142.53333333333333
1973-10-08,21.5,0.15,143.33333333333334
1973-10-09,21.5,0.15,143.33333333333334
1973-10-10,21.63,0.15,144.2
1973-10-11,21.5,0.15,143.33333333333334
1973-10-12,21.25,0.15,141.66666666666669
1973-10-15,21.5,0.15,143.33333333333334
1973-10-16,21.25,0.15,141.66666666666669
1973-10-17,21.25,0.15,141.66666666666669
1973-10-18,21.75,0.15,145.0
1973-10-19,22.63,0.15,150.86666666666667
1973-10-22,22.13,0.15,147.53333333333333
1973-10-23,22.0,0.15,146.66666666666669
1973-10-24,21.75,0.15,145.0
1973-10-25,21.75,0.15,145.0
1973-10-26,21.25,0.15,141.66666666666669
1973-10-29,21.88,0.15,145.86666666666667
1973-10-30,21.88,0.15,145.86666666666667
1973-10-31,21.88,0.15,145.86666666666667
