date,REGN,REGN_EPS,PE Ratio
1991-04-02,21.13,,
1991-04-03,18.25,,
1991-04-04,18.0,,
1991-04-05,17.75,,
1991-04-08,17.63,,
1991-04-09,16.0,,
1991-04-10,15.88,,
1991-04-11,14.75,,
1991-04-12,16.25,,
1991-04-15,16.13,,
1991-04-16,16.13,,
1991-04-17,15.25,,
1991-04-18,15.25,,
1991-04-19,14.88,,
1991-04-22,14.13,,
1991-04-23,14.25,,
1991-04-24,14.75,,
1991-04-25,14.5,,
1991-04-26,14.38,,
1991-04-29,12.5,,
1991-04-30,12.63,,
1991-05-01,13.5,,
1991-05-02,13.5,,
1991-05-03,13.38,,
1991-05-06,13.63,,
1991-05-07,13.38,,
1991-05-08,13.25,,
1991-05-09,13.63,,
1991-05-10,12.75,,
1991-05-13,11.5,,
1991-05-14,11.88,,
1991-05-15,10.75,,
1991-05-16,11.25,,
1991-05-17,11.75,,
1991-05-20,11.38,,
1991-05-21,12.25,,
1991-05-22,12.13,,
1991-05-23,11.88,,
1991-05-24,12.25,,
1991-05-28,12.0,,
1991-05-29,12.63,,
1991-05-30,12.25,,
1991-05-31,12.25,,
1991-06-03,11.75,,
1991-06-04,12.13,,
1991-06-05,11.88,,
1991-06-06,11.88,,
1991-06-07,11.63,,
1991-06-10,11.63,,
1991-06-11,11.63,,
1991-06-12,11.0,,
1991-06-13,10.38,,
1991-06-14,11.0,,
1991-06-17,10.88,,
1991-06-18,11.25,,
1991-06-19,11.5,,
1991-06-20,12.0,,
1991-06-21,12.0,,
1991-06-24,11.5,,
1991-06-25,11.13,,
1991-06-26,11.0,,
1991-06-27,11.25,,
1991-06-28,11.13,,
1991-07-01,11.13,,
1991-07-02,10.63,,
1991-07-03,10.5,,
1991-07-05,10.25,,
1991-07-08,10.25,,
1991-07-09,10.75,,
1991-07-10,10.5,,
1991-07-11,10.88,,
1991-07-12,10.5,,
1991-07-15,11.25,,
1991-07-16,10.75,,
1991-07-17,10.75,,
1991-07-18,11.0,,
1991-07-19,11.0,,
1991-07-22,10.5,,
1991-07-23,10.5,,
1991-07-24,10.25,,
1991-07-25,9.88,,
1991-07-26,10.25,,
1991-07-29,10.25,,
1991-07-30,10.63,,
1991-07-31,11.5,,
1991-08-01,11.25,,
1991-08-02,11.25,,
1991-08-05,11.5,,
1991-08-06,10.75,,
1991-08-07,10.88,,
1991-08-08,10.75,,
1991-08-09,10.63,,
1991-08-12,10.63,,
1991-08-13,10.63,,
1991-08-14,10.25,,
1991-08-15,10.75,,
1991-08-16,10.88,,
1991-08-19,10.13,,
1991-08-20,10.38,,
1991-08-21,10.63,,
1991-08-22,10.5,,
1991-08-23,10.5,,
1991-08-26,10.5,,
1991-08-27,10.38,,
1991-08-28,10.5,,
1991-08-29,12.0,,
1991-08-30,11.5,,
1991-09-03,12.38,,
1991-09-04,12.88,,
1991-09-05,13.38,,
1991-09-06,12.88,,
1991-09-09,12.75,,
1991-09-10,12.5,,
1991-09-11,12.25,,
