date,AKAM,AKAM_EPS,PE Ratio
1999-10-29,145.19,,
1999-11-01,174.31,,
1999-11-02,192.75,,
1999-11-03,190.88,,
1999-11-04,173.25,,
1999-11-05,174.25,,
1999-11-08,187.56,,
1999-11-09,189.75,,
1999-11-10,190.0,,
1999-11-11,182.19,,
1999-11-12,177.31,,
1999-11-15,171.75,,
1999-11-16,184.0,,
1999-11-17,189.38,,
1999-11-18,187.38,,
1999-11-19,185.0,,
1999-11-22,184.88,,
1999-11-23,210.0,,
1999-11-24,201.0,,
1999-11-26,206.5,,
1999-11-29,227.0,,
1999-11-30,237.0,,
1999-12-01,217.63,,
1999-12-02,215.25,,
1999-12-03,207.0,,
1999-12-06,216.75,,
1999-12-07,226.0,,
1999-12-08,241.5,,
1999-12-09,250.0,,
1999-12-10,243.5,,
1999-12-13,228.5,,
1999-12-14,217.0,,
1999-12-15,230.38,,
1999-12-16,271.0,,
1999-12-17,281.75,,
1999-12-20,286.25,,
1999-12-21,301.88,,
1999-12-22,291.0,,
1999-12-23,281.44,,
1999-12-27,285.88,,
1999-12-28,271.5,,
1999-12-29,303.56,,
1999-12-30,327.0,,
1999-12-31,327.63,,
2000-01-03,321.25,,
2000-01-04,300.0,,
2000-01-05,283.5,,
2000-01-06,236.13,,
2000-01-07,248.38,,
2000-01-10,285.5,,
2000-01-11,278.44,,
2000-01-12,254.0,,
2000-01-13,232.81,,
2000-01-14,230.0,,
2000-01-18,211.5,,
2000-01-19,224.75,,
2000-01-20,234.0,,
2000-01-21,269.0,,
2000-01-24,262.06,,
2000-01-25,279.31,,
2000-01-26,277.5,,
2000-01-27,281.13,,
2000-01-28,270.06,,
2000-01-31,249.13,,
2000-02-01,239.06,,
2000-02-02,233.63,,
2000-02-03,245.38,,
2000-02-04,235.0,,
2000-02-07,228.63,,
2000-02-08,240.94,,
2000-02-09,234.88,,
2000-02-10,229.0,,
2000-02-11,233.06,,
2000-02-14,230.38,,
2000-02-15,222.5,,
2000-02-16,246.13,,
2000-02-17,252.0,,
2000-02-18,241.69,,
2000-02-22,242.13,,
2000-02-23,252.06,,
2000-02-24,274.81,,
2000-02-25,267.06,,
2000-02-28,256.75,,
2000-02-29,261.25,,
2000-03-01,278.63,,
2000-03-02,268.0,,
2000-03-03,268.38,,
2000-03-06,254.0,,
2000-03-07,262.44,,
2000-03-08,265.0,,
2000-03-09,286.0,,
2000-03-10,296.0,,
2000-03-13,284.75,,
2000-03-14,269.75,,
2000-03-15,240.25,,
2000-03-16,229.13,,
2000-03-17,218.94,,
2000-03-20,213.25,,
2000-03-21,197.5,,
2000-03-22,208.5,,
2000-03-23,201.88,,
2000-03-24,211.0,,
2000-03-27,208.69,,
2000-03-28,199.88,,
2000-03-29,170.0,,
2000-03-30,160.06,,
2000-03-31,160.81,,
2000-04-03,119.0,,
2000-04-04,115.47,,
2000-04-05,110.0,,
2000-04-06,135.13,,
2000-04-07,145.69,,
2000-04-10,133.31,,
2000-04-11,107.75,,
2000-04-12,92.75,,
2000-04-13,88.0,,
2000-04-14,64.88,,
2000-04-17,70.0,,
2000-04-18,91.5,,
2000-04-19,88.94,,
2000-04-20,86.94,,
2000-04-24,75.88,,
2000-04-25,73.06,,
2000-04-26,73.5,,
2000-04-27,83.13,,
2000-04-28,98.88,,
2000-05-01,103.31,,
2000-05-02,105.38,,
2000-05-03,91.88,,
2000-05-04,97.0,,
2000-05-05,97.06,,
2000-05-08,86.63,,
2000-05-09,83.25,,
2000-05-10,77.38,,
2000-05-11,73.2,,
2000-05-12,70.5,,
2000-05-15,74.75,,
2000-05-16,76.06,,
2000-05-17,77.0,,
2000-05-18,75.56,,
2000-05-19,71.94,,
2000-05-22,69.38,,
2000-05-23,67.75,,
2000-05-24,66.44,,
2000-05-25,62.44,,
2000-05-26,59.94,,
2000-05-30,75.0,,
