date,MET,MET_EPS,PE Ratio
2000-04-05,13.81,,
2000-04-06,13.87,,
2000-04-07,13.65,,
2000-04-10,13.76,,
2000-04-11,13.48,,
2000-04-12,14.43,,
2000-04-13,15.15,,
2000-04-14,14.15,,
2000-04-17,14.37,,
2000-04-18,14.37,,
2000-04-19,14.26,,
2000-04-20,13.76,,
2000-04-24,14.2,,
2000-04-25,14.26,,
2000-04-26,14.32,,
2000-04-27,14.2,,
2000-04-28,14.76,,
2000-05-01,16.04,,
2000-05-02,15.88,,
2000-05-03,15.6,,
2000-05-04,15.6,,
2000-05-05,15.65,,
2000-05-08,16.04,,
2000-05-09,15.26,,
2000-05-10,15.65,,
2000-05-11,16.04,,
2000-05-12,16.43,,
2000-05-15,16.88,,
2000-05-16,16.99,,
2000-05-17,16.99,,
2000-05-18,16.86,,
2000-05-19,16.21,,
2000-05-22,16.27,,
2000-05-23,16.82,,
2000-05-24,17.27,,
2000-05-25,17.1,,
2000-05-26,17.6,,
2000-05-30,17.71,,
2000-05-31,18.27,,
2000-06-01,17.83,,
2000-06-02,18.72,,
2000-06-05,18.33,,
2000-06-06,18.22,,
2000-06-07,18.44,,
2000-06-08,18.22,,
2000-06-09,18.72,,
2000-06-12,18.22,,
2000-06-13,18.55,,
2000-06-14,17.83,,
2000-06-15,17.83,,
2000-06-16,17.88,,
2000-06-19,17.83,,
2000-06-20,16.77,,
2000-06-21,16.49,,
2000-06-22,17.1,,
2000-06-23,17.21,,
2000-06-26,17.1,,
2000-06-27,17.71,,
2000-06-28,17.49,,
2000-06-29,19.0,,
2000-06-30,18.69,,
2000-07-03,19.05,,
2000-07-05,18.83,,
2000-07-06,19.5,,
2000-07-07,19.5,,
2000-07-10,19.11,,
2000-07-11,18.55,,
2000-07-12,18.22,,
2000-07-13,17.66,,
2000-07-14,18.61,,
2000-07-17,18.1,,
2000-07-18,18.16,,
2000-07-19,18.22,,
2000-07-20,18.33,,
2000-07-21,18.49,,
2000-07-24,18.27,,
2000-07-25,18.72,,
2000-07-26,18.55,,
2000-07-27,18.22,,
2000-07-28,18.1,,
2000-07-31,18.72,,
2000-08-01,18.83,,
2000-08-02,18.61,,
2000-08-03,17.94,,
2000-08-04,18.1,,
2000-08-07,19.94,,
2000-08-08,20.78,,
2000-08-09,20.28,,
2000-08-10,20.5,,
2000-08-11,21.39,,
2000-08-14,20.5,,
2000-08-15,21.22,,
2000-08-16,20.94,,
2000-08-17,21.33,,
2000-08-18,21.33,,
2000-08-21,20.94,,
2000-08-22,21.39,,
2000-08-23,22.23,,
2000-08-24,21.61,,
2000-08-25,21.06,,
2000-08-28,20.94,,
2000-08-29,21.39,,
2000-08-30,22.11,,
2000-08-31,21.67,,
2000-09-01,22.17,,
2000-09-05,21.61,,
2000-09-06,21.84,,
2000-09-07,21.95,,
2000-09-08,22.34,,
2000-09-11,22.11,,
2000-09-12,21.95,,
2000-09-13,22.73,,
2000-09-14,22.28,,
2000-09-15,21.89,,
2000-09-18,21.61,,
2000-09-19,22.0,,
2000-09-20,21.61,,
2000-09-21,21.45,,
2000-09-22,22.06,,
2000-09-25,21.89,,
2000-09-26,22.56,,
2000-09-27,23.51,,
2000-09-28,24.23,,
2000-09-29,23.4,,
2000-10-02,23.51,,
2000-10-03,22.73,,
2000-10-04,22.17,,
2000-10-05,23.34,,
2000-10-06,23.34,,
2000-10-09,23.17,,
2000-10-10,22.84,,
2000-10-11,22.5,,
2000-10-12,21.56,,
2000-10-13,22.28,,
2000-10-16,22.62,,
2000-10-17,22.95,,
2000-10-18,22.95,,
2000-10-19,22.17,,
2000-10-20,21.5,,
2000-10-23,21.17,,
2000-10-24,21.84,,
2000-10-25,22.06,,
2000-10-26,21.61,,
2000-10-27,22.11,,
2000-10-30,23.73,,
2000-10-31,24.62,,
2000-11-01,25.4,,
2000-11-02,24.62,,
2000-11-03,23.51,,
2000-11-06,23.23,,
2000-11-07,24.18,,
2000-11-08,24.84,,
2000-11-09,26.46,,
2000-11-10,26.63,,
2000-11-13,25.4,,
2000-11-14,25.12,,
2000-11-15,26.63,,
2000-11-16,27.35,,
2000-11-17,26.68,,
2000-11-20,25.9,,
2000-11-21,25.07,,
2000-11-22,23.9,,
2000-11-24,24.9,,
2000-11-27,25.46,,
2000-11-28,25.01,,
2000-11-29,24.84,,
2000-11-30,26.4,,
2000-12-01,26.57,,
2000-12-04,28.35,,
2000-12-05,28.63,,
2000-12-06,29.58,,
2000-12-07,30.64,,
2000-12-08,32.53,,
2000-12-11,31.42,,
2000-12-12,31.03,,
2000-12-13,30.02,,
2000-12-14,30.3,,
2000-12-15,31.19,,
2000-12-18,31.31,,
2000-12-19,30.19,,
2000-12-20,29.8,,
2000-12-21,29.3,,
2000-12-22,30.25,,
2000-12-26,30.19,,
2000-12-27,30.53,,
2000-12-28,31.31,,
2000-12-29,31.19,,
2001-01-02,30.3,,
2001-01-03,31.08,,
2001-01-04,29.08,,
2001-01-05,28.13,,
2001-01-08,29.3,,
2001-01-09,30.19,,
2001-01-10,29.69,,
2001-01-11,28.97,,
2001-01-12,27.63,,
2001-01-16,27.57,,
2001-01-17,27.8,,
2001-01-18,28.13,,
2001-01-19,27.68,,
2001-01-22,29.24,,
2001-01-23,29.36,,
2001-01-24,30.02,,
2001-01-25,29.69,,
2001-01-26,29.3,,
2001-01-29,29.56,,
2001-01-30,29.85,,
2001-01-31,29.25,,
2001-02-01,29.86,,
2001-02-02,29.77,,
2001-02-05,30.08,,
2001-02-06,29.14,,
2001-02-07,29.92,,
2001-02-08,28.97,,
2001-02-09,28.92,,
2001-02-12,29.51,,
2001-02-13,28.81,,
2001-02-14,28.97,,
2001-02-15,28.07,,
2001-02-16,28.65,,
2001-02-20,27.99,,
2001-02-21,27.58,,
2001-02-22,26.88,,
2001-02-23,27.04,,
2001-02-26,27.65,,
2001-02-27,27.57,,
2001-02-28,27.5,,
2001-03-01,27.63,,
2001-03-02,28.37,,
2001-03-05,28.48,,
2001-03-06,28.17,,
2001-03-07,28.4,,
2001-03-08,28.67,,
2001-03-09,28.9,,
2001-03-12,27.5,,
2001-03-13,28.24,,
2001-03-14,25.62,,
2001-03-15,25.85,,
2001-03-16,25.31,,
2001-03-19,24.76,,
2001-03-20,24.24,,
2001-03-21,24.67,,
2001-03-22,23.22,,
2001-03-23,24.51,,
2001-03-26,24.69,,
2001-03-27,24.83,,
2001-03-28,25.0,,
2001-03-29,25.33,,
2001-03-30,26.78,,
2001-04-02,27.01,,
2001-04-03,26.18,,
2001-04-04,25.99,,
2001-04-05,26.74,,
2001-04-06,26.44,,
2001-04-09,26.69,,
2001-04-10,26.69,,
2001-04-11,25.94,,
2001-04-12,26.6,,
2001-04-16,26.96,,
2001-04-17,26.86,,
2001-04-18,26.74,,
2001-04-19,26.42,,
2001-04-20,25.89,,
2001-04-23,25.77,,
2001-04-24,25.4,,
2001-04-25,25.49,,
2001-04-26,25.75,,
2001-04-27,25.92,,
2001-04-30,25.85,,
2001-05-01,26.29,,
2001-05-02,25.88,,
2001-05-03,25.8,,
2001-05-04,26.38,,
2001-05-07,26.05,,
2001-05-08,25.49,,
2001-05-09,25.76,,
2001-05-10,25.7,,
2001-05-11,25.81,,
2001-05-14,26.2,,
2001-05-15,26.78,,
2001-05-16,27.54,,
2001-05-17,27.85,,
2001-05-18,27.86,,
2001-05-21,27.63,,
2001-05-22,27.1,,
2001-05-23,27.5,,
2001-05-24,27.81,,
2001-05-25,27.98,,
2001-05-29,28.05,,
2001-05-30,28.01,,
2001-05-31,28.39,,
2001-06-01,28.36,,
2001-06-04,28.56,,
2001-06-05,28.86,,
2001-06-06,28.49,,
2001-06-07,28.11,,
2001-06-08,28.06,,
2001-06-11,27.77,,
2001-06-12,27.43,,
2001-06-13,27.4,,
2001-06-14,26.69,,
2001-06-15,26.65,,
2001-06-18,26.83,,
2001-06-19,27.05,,
2001-06-20,27.63,,
2001-06-21,27.81,,
2001-06-22,27.23,,
2001-06-25,27.17,,
2001-06-26,27.33,,
2001-06-27,27.32,,
2001-06-28,27.14,,
2001-06-29,27.61,,
2001-07-02,28.12,,
2001-07-03,28.16,,
2001-07-05,28.41,,
2001-07-06,27.62,,
2001-07-09,27.83,,
2001-07-10,27.65,,
2001-07-11,27.09,,
2001-07-12,27.76,,
2001-07-13,27.85,,
2001-07-16,28.12,,
2001-07-17,27.9,,
2001-07-18,27.58,,
2001-07-19,27.41,,
2001-07-20,26.78,,
2001-07-23,26.47,,
2001-07-24,25.85,,
2001-07-25,26.08,,
2001-07-26,25.67,,
2001-07-27,25.78,,
2001-07-30,25.71,,
2001-07-31,26.43,,
2001-08-01,26.32,,
2001-08-02,26.25,,
2001-08-03,26.05,,
2001-08-06,26.13,,
2001-08-07,25.89,,
2001-08-08,25.41,,
2001-08-09,25.51,,
2001-08-10,25.49,,
2001-08-13,25.9,,
2001-08-14,26.25,,
2001-08-15,26.07,,
2001-08-16,26.27,,
2001-08-17,25.94,,
2001-08-20,26.16,,
2001-08-21,26.18,,
2001-08-22,26.2,,
2001-08-23,26.83,,
2001-08-24,27.09,,
2001-08-27,26.78,,
2001-08-28,26.91,,
2001-08-29,27.0,,
2001-08-30,27.34,,
2001-08-31,27.18,,
2001-09-04,26.78,,
2001-09-05,26.47,,
2001-09-06,25.96,,
2001-09-07,25.22,,
2001-09-10,25.67,,
2001-09-17,23.98,,
2001-09-18,23.89,,
2001-09-19,23.79,,
2001-09-20,23.56,,
2001-09-21,22.46,,
2001-09-24,23.56,,
2001-09-25,24.06,,
2001-09-26,24.06,,
2001-09-27,25.03,,
2001-09-28,26.47,,
2001-10-01,25.85,,
2001-10-02,25.85,,
2001-10-03,25.68,,
2001-10-04,25.56,,
2001-10-05,25.64,,
2001-10-08,24.13,,
2001-10-09,24.06,,
2001-10-10,24.05,,
2001-10-11,24.34,,
2001-10-12,23.93,,
2001-10-15,23.89,,
2001-10-16,23.51,,
2001-10-17,23.53,,
2001-10-18,22.99,,
2001-10-19,22.86,,
2001-10-22,23.17,,
2001-10-23,24.07,,
2001-10-24,24.25,,
2001-10-25,24.28,,
2001-10-26,24.47,,
2001-10-29,24.26,,
2001-10-30,24.2,,
2001-10-31,23.98,,
2001-11-01,24.33,,
2001-11-02,24.17,,
2001-11-05,24.87,,
2001-11-06,24.96,,
2001-11-07,24.55,,
2001-11-08,24.78,,
2001-11-09,24.55,,
2001-11-12,24.43,,
2001-11-13,24.69,,
2001-11-14,24.64,,
2001-11-15,24.68,,
2001-11-16,24.59,,
2001-11-19,24.51,,
2001-11-20,24.51,,
2001-11-21,23.98,,
2001-11-23,24.02,,
2001-11-26,24.6,,
2001-11-27,24.28,,
2001-11-28,24.29,,
2001-11-29,24.35,,
2001-11-30,24.45,,
2001-12-03,24.04,,
2001-12-04,24.73,,
2001-12-05,24.94,,
2001-12-06,25.11,,
2001-12-07,25.34,,
2001-12-10,25.53,,
2001-12-11,25.95,,
2001-12-12,25.68,,
2001-12-13,25.79,,
2001-12-14,26.57,,
2001-12-17,27.14,,
2001-12-18,27.4,,
2001-12-19,27.7,,
2001-12-20,28.07,,
2001-12-21,27.36,,
2001-12-24,27.36,,
2001-12-26,27.36,,
2001-12-27,27.45,,
2001-12-28,27.99,,
2001-12-31,28.24,,
2002-01-02,27.66,,
2002-01-03,27.77,,
2002-01-04,27.58,,
2002-01-07,27.05,,
2002-01-08,26.97,,
2002-01-09,27.05,,
2002-01-10,27.28,,
2002-01-11,27.05,,
2002-01-14,27.12,,
2002-01-15,27.36,,
2002-01-16,26.87,,
2002-01-17,26.94,,
2002-01-18,26.79,,
2002-01-22,26.83,,
2002-01-23,26.73,,
2002-01-24,26.69,,
2002-01-25,26.98,,
2002-01-28,26.74,,
2002-01-29,25.69,,
2002-01-30,26.2,,
2002-01-31,27.08,,
2002-02-01,26.84,,
2002-02-04,26.07,,
2002-02-05,25.55,,
2002-02-06,25.78,,
2002-02-07,25.84,,
2002-02-08,26.34,,
2002-02-11,26.35,,
2002-02-12,27.07,,
2002-02-13,27.36,,
2002-02-14,28.02,,
2002-02-15,27.55,,
2002-02-19,27.05,,
2002-02-20,27.67,,
2002-02-21,27.62,,
2002-02-22,27.51,,
2002-02-25,27.9,,
2002-02-26,28.31,,
2002-02-27,28.7,,
2002-02-28,28.41,,
2002-03-01,28.43,,
2002-03-04,29.68,,
2002-03-05,29.25,,
2002-03-06,29.23,,
2002-03-07,29.01,,
2002-03-08,28.73,,
2002-03-11,28.43,,
2002-03-12,28.73,,
2002-03-13,28.24,,
2002-03-14,27.99,,
2002-03-15,27.87,,
2002-03-18,27.42,,
2002-03-19,26.99,,
2002-03-20,26.83,,
2002-03-21,27.27,,
2002-03-22,27.05,,
2002-03-25,27.05,,
2002-03-26,27.07,,
2002-03-27,27.81,,
2002-03-28,28.07,,
2002-04-01,27.61,,
2002-04-02,27.82,,
2002-04-03,27.81,,
2002-04-04,28.1,,
2002-04-05,28.81,,
2002-04-08,29.18,,
2002-04-09,29.42,,
2002-04-10,29.68,,
2002-04-11,29.28,,
