date,ETN,ETN_EPS,PE Ratio
,,0.13,
1989-09-19,7.08,0.13,54.46153846153846
1989-09-20,7.1,0.13,54.61538461538461
1989-09-21,6.98,0.13,53.69230769230769
1989-09-22,6.9,0.13,53.07692307692308
1989-09-25,6.82,0.13,52.46153846153846
1989-09-26,6.82,0.13,52.46153846153846
1989-09-27,6.83,0.13,52.53846153846154
1989-09-28,6.83,0.13,52.53846153846154
1989-09-29,6.7,0.13,51.53846153846154
1989-10-02,6.7,0.13,51.53846153846154
1989-10-03,6.72,0.13,51.692307692307686
1989-10-04,6.71,0.13,51.61538461538461
1989-10-05,6.67,0.13,51.30769230769231
1989-10-06,6.68,0.13,51.38461538461538
1989-10-09,6.64,0.13,51.07692307692307
1989-10-10,6.52,0.13,50.153846153846146
1989-10-11,6.48,0.13,49.84615384615385
1989-10-12,6.49,0.13,49.92307692307692
1989-10-13,6.21,0.13,47.76923076923077
1989-10-16,6.37,0.13,49.0
1989-10-17,6.37,0.13,49.0
1989-10-18,6.43,0.13,49.46153846153846
1989-10-19,6.53,0.13,50.23076923076923
1989-10-20,6.51,0.13,50.07692307692307
1989-10-23,6.24,0.13,48.0
1989-10-24,6.13,0.13,47.15384615384615
1989-10-25,6.16,0.13,47.38461538461539
1989-10-26,6.07,0.13,46.69230769230769
1989-10-27,6.06,0.13,46.61538461538461
1989-10-30,6.05,0.13,46.53846153846153
1989-10-31,6.03,0.13,46.38461538461539
1989-11-01,6.01,0.13,46.230769230769226
1989-11-02,5.94,0.13,45.69230769230769
1989-11-03,5.86,0.13,45.07692307692308
1989-11-06,5.76,0.13,44.30769230769231
1989-11-07,5.79,0.13,44.53846153846154
1989-11-08,5.78,0.13,44.46153846153846
1989-11-09,5.8,0.13,44.61538461538461
1989-11-10,5.84,0.13,44.92307692307692
1989-11-13,5.75,0.13,44.230769230769226
1989-11-14,5.75,0.13,44.230769230769226
1989-11-15,5.87,0.13,45.15384615384615
1989-11-16,5.86,0.13,45.07692307692308
1989-11-17,5.86,0.13,45.07692307692308
1989-11-20,5.84,0.13,44.92307692307692
1989-11-21,5.84,0.13,44.92307692307692
1989-11-22,5.84,0.13,44.92307692307692
1989-11-24,5.91,0.13,45.46153846153846
1989-11-27,5.91,0.13,45.46153846153846
1989-11-28,5.97,0.13,45.92307692307692
1989-11-29,5.95,0.13,45.76923076923077
1989-11-30,6.02,0.13,46.3076923076923
1989-12-01,6.05,0.13,46.53846153846153
1989-12-04,6.1,0.13,46.92307692307692
1989-12-05,6.03,0.13,46.38461538461539
1989-12-06,6.01,0.13,46.230769230769226
1989-12-07,6.02,0.13,46.3076923076923
1989-12-08,6.05,0.13,46.53846153846153
1989-12-11,6.05,0.13,46.53846153846153
1989-12-12,6.18,0.13,47.53846153846153
1989-12-13,6.02,0.13,46.3076923076923
1989-12-14,6.02,0.13,46.3076923076923
1989-12-15,6.07,0.13,46.69230769230769
1989-12-18,6.1,0.13,46.92307692307692
1989-12-19,6.09,0.13,46.84615384615385
1989-12-20,6.07,0.13,46.69230769230769
1989-12-21,6.02,0.13,46.3076923076923
1989-12-22,6.03,0.13,46.38461538461539
1989-12-26,6.18,0.13,47.53846153846153
1989-12-27,6.18,0.13,47.53846153846153
1989-12-28,6.18,0.13,47.53846153846153
1989-12-29,6.18,0.13,47.53846153846153
1990-01-02,6.18,0.13,47.53846153846153
1990-01-03,6.16,0.13,47.38461538461539
1990-01-04,6.07,0.13,46.69230769230769
1990-01-05,6.06,0.13,46.61538461538461
1990-01-08,6.1,0.13,46.92307692307692
1990-01-09,6.01,0.13,46.230769230769226
1990-01-10,5.99,0.13,46.07692307692308
1990-01-11,5.94,0.13,45.69230769230769
1990-01-12,5.75,0.13,44.230769230769226
1990-01-15,5.75,0.13,44.230769230769226
1990-01-16,5.79,0.13,44.53846153846154
1990-01-17,5.75,0.13,44.230769230769226
1990-01-18,5.79,0.13,44.53846153846154
1990-01-19,5.67,0.13,43.61538461538461
1990-01-22,5.56,0.13,42.76923076923077
1990-01-23,5.48,0.13,42.15384615384615
1990-01-24,5.48,0.13,42.15384615384615
1990-01-25,5.48,0.13,42.15384615384615
1990-01-26,5.59,0.13,43.0
1990-01-29,5.68,0.13,43.692307692307686
1990-01-30,5.71,0.13,43.92307692307692
1990-01-31,5.75,0.13,44.230769230769226
1990-02-01,5.71,0.13,43.92307692307692
1990-02-02,5.68,0.13,43.692307692307686
1990-02-05,5.56,0.13,42.76923076923077
1990-02-06,5.5,0.13,42.30769230769231
1990-02-07,5.53,0.13,42.53846153846154
1990-02-08,5.55,0.13,42.692307692307686
1990-02-09,5.53,0.13,42.53846153846154
1990-02-12,5.5,0.13,42.30769230769231
1990-02-13,5.49,0.13,42.23076923076923
1990-02-14,5.56,0.13,42.76923076923077
1990-02-15,5.56,0.13,42.76923076923077
1990-02-16,5.49,0.13,42.23076923076923
1990-02-20,5.45,0.13,41.92307692307692
1990-02-21,5.55,0.13,42.692307692307686
1990-02-22,5.48,0.13,42.15384615384615
1990-02-23,5.45,0.13,41.92307692307692
1990-02-26,5.4,0.13,41.53846153846154
1990-02-27,5.44,0.13,41.84615384615385
1990-02-28,5.55,0.13,42.692307692307686
1990-03-01,5.53,0.13,42.53846153846154
1990-03-02,5.55,0.13,42.692307692307686
1990-03-05,5.55,0.13,42.692307692307686
1990-03-06,5.56,0.13,42.76923076923077
1990-03-07,5.64,0.13,43.38461538461538
1990-03-08,5.86,0.13,45.07692307692308
1990-03-09,5.88,0.13,45.230769230769226
1990-03-12,6.02,0.13,46.3076923076923
1990-03-13,6.07,0.13,46.69230769230769
1990-03-14,5.98,0.13,46.0
1990-03-15,5.99,0.13,46.07692307692308
1990-03-16,5.99,0.13,46.07692307692308
1990-03-19,5.98,0.13,46.0
1990-03-20,5.99,0.13,46.07692307692308
1990-03-21,6.02,0.13,46.3076923076923
1990-03-22,6.03,0.13,46.38461538461539
1990-03-23,6.02,0.13,46.3076923076923
1990-03-26,6.05,0.13,46.53846153846153
1990-03-27,6.11,0.13,47.0
1990-03-28,6.13,0.13,47.15384615384615
1990-03-29,6.1,0.13,46.92307692307692
1990-03-30,6.1,0.13,46.92307692307692
1990-04-02,6.03,0.13,46.38461538461539
1990-04-03,6.09,0.13,46.84615384615385
1990-04-04,6.05,0.13,46.53846153846153
1990-04-05,6.02,0.13,46.3076923076923
1990-04-06,6.02,0.13,46.3076923076923
1990-04-09,6.03,0.13,46.38461538461539
1990-04-10,5.99,0.13,46.07692307692308
1990-04-11,6.01,0.13,46.230769230769226
1990-04-12,6.01,0.13,46.230769230769226
1990-04-16,5.98,0.13,46.0
1990-04-17,5.97,0.13,45.92307692307692
1990-04-18,5.87,0.13,45.15384615384615
1990-04-19,5.83,0.13,44.84615384615385
