date,LLY,LLY_EPS,PE Ratio
1972-06-01,4.05,,
1972-06-02,4.09,,
1972-06-05,4.04,,
1972-06-06,4.0,,
1972-06-07,4.05,,
1972-06-08,4.0,,
1972-06-09,4.05,,
1972-06-12,4.04,,
1972-06-13,4.08,,
1972-06-14,4.16,,
1972-06-15,4.19,,
1972-06-16,4.14,,
1972-06-19,4.11,,
1972-06-20,4.16,,
1972-06-21,4.13,,
1972-06-22,4.16,,
1972-06-23,4.17,,
1972-06-26,4.22,,
1972-06-27,4.2,,
1972-06-28,4.13,,
1972-06-29,4.1,,
1972-06-30,4.16,,
1972-07-03,4.2,,
1972-07-05,4.25,,
1972-07-06,4.33,,
1972-07-07,4.43,,
1972-07-10,4.38,,
1972-07-11,4.4,,
1972-07-12,4.44,,
1972-07-13,4.44,,
1972-07-14,4.52,,
1972-07-17,4.44,,
1972-07-18,4.41,,
1972-07-19,4.45,,
1972-07-20,4.5,,
1972-07-21,4.57,,
1972-07-24,4.65,,
1972-07-25,4.61,,
1972-07-26,4.73,,
1972-07-27,4.73,,
1972-07-28,4.72,,
1972-07-31,4.66,,
1972-08-01,4.72,,
1972-08-02,4.7,,
1972-08-03,4.72,,
1972-08-04,4.69,,
1972-08-07,4.69,,
1972-08-08,4.7,,
1972-08-09,4.69,,
1972-08-10,4.71,,
1972-08-11,4.72,,
1972-08-14,4.8,,
1972-08-15,4.73,,
1972-08-16,4.66,,
1972-08-17,4.65,,
1972-08-18,4.73,,
1972-08-21,4.83,,
1972-08-22,4.85,,
1972-08-23,4.81,,
1972-08-24,4.76,,
1972-08-25,4.66,,
1972-08-28,4.65,,
1972-08-29,4.69,,
1972-08-30,4.67,,
1972-08-31,4.67,,
1972-09-01,4.69,,
1972-09-05,4.66,,
1972-09-06,4.63,,
1972-09-07,4.64,,
1972-09-08,4.59,,
1972-09-11,4.52,,
1972-09-12,4.45,,
1972-09-13,4.42,,
1972-09-14,4.53,,
1972-09-15,4.51,,
1972-09-18,4.49,,
1972-09-19,4.55,,
1972-09-20,4.55,,
1972-09-21,4.51,,
1972-09-22,4.5,,
1972-09-25,4.48,,
1972-09-26,4.47,,
1972-09-27,4.48,,
1972-09-28,4.49,,
1972-09-29,4.52,,
1972-10-02,4.45,,
1972-10-03,4.47,,
1972-10-04,4.44,,
1972-10-05,4.36,,
1972-10-06,4.37,,
1972-10-09,4.41,,
1972-10-10,4.42,,
1972-10-11,4.39,,
1972-10-12,4.4,,
1972-10-13,4.38,,
1972-10-16,4.34,,
1972-10-17,4.39,,
1972-10-18,4.5,,
1972-10-19,4.59,,
1972-10-20,4.65,,
1972-10-23,4.65,,
1972-10-24,4.8,,
1972-10-25,4.81,,
1972-10-26,4.92,,
1972-10-27,4.84,,
1972-10-30,4.85,,
1972-10-31,4.94,,
1972-11-01,4.95,,
1972-11-02,4.95,,
1972-11-03,4.92,,
1972-11-06,4.93,,
1972-11-08,4.88,,
1972-11-09,4.84,,
1972-11-10,4.78,,
1972-11-13,4.73,,
1972-11-14,4.81,,
1972-11-15,4.87,,
1972-11-16,4.87,,
1972-11-17,4.83,,
1972-11-20,4.77,,
1972-11-21,4.77,,
1972-11-22,4.76,,
1972-11-24,4.8,,
1972-11-27,4.77,,
1972-11-28,4.71,,
1972-11-29,4.73,,
1972-11-30,4.74,,
1972-12-01,4.73,,
1972-12-04,4.75,,
1972-12-05,4.73,,
1972-12-06,4.76,,
1972-12-07,4.74,,
1972-12-08,4.77,,
1972-12-11,4.77,,
1972-12-12,4.77,,
1972-12-13,4.83,,
1972-12-14,4.86,,
1972-12-15,4.82,,
1972-12-18,4.79,,
1972-12-19,4.7,,
1972-12-20,4.73,,
1972-12-21,4.73,,
1972-12-22,4.81,,
1972-12-26,4.84,,
1972-12-27,4.89,,
1972-12-29,4.98,,
1973-01-02,4.95,,
1973-01-03,4.97,,
1973-01-04,4.93,,
1973-01-05,4.95,,
1973-01-08,4.95,,
1973-01-09,4.94,,
1973-01-10,4.95,,
1973-01-11,4.93,,
1973-01-12,4.93,,
1973-01-15,4.88,,
1973-01-16,4.83,,
1973-01-17,4.82,,
1973-01-18,4.83,,
1973-01-19,4.81,,
1973-01-22,4.8,,
1973-01-23,4.77,,
1973-01-24,4.74,,
1973-01-26,4.67,,
1973-01-29,4.55,,
1973-01-30,4.53,,
1973-01-31,4.56,,
1973-02-01,4.7,,
1973-02-02,4.71,,
1973-02-05,4.73,,
1973-02-06,4.75,,
1973-02-07,4.81,,
1973-02-08,4.84,,
1973-02-09,4.93,,
1973-02-12,5.0,,
1973-02-13,5.17,,
1973-02-14,5.09,,
1973-02-15,5.16,,
1973-02-16,5.3,,
1973-02-20,5.31,,
1973-02-21,5.27,,
1973-02-22,5.34,,
1973-02-23,5.29,,
1973-02-26,5.2,,
1973-02-27,5.2,,
1973-02-28,5.26,,
1973-03-01,5.3,,
1973-03-02,5.38,,
1973-03-05,5.38,,
1973-03-06,5.42,,
1973-03-07,5.61,,
1973-03-08,5.52,,
1973-03-09,5.45,,
1973-03-12,5.54,,
1973-03-13,5.52,,
1973-03-14,5.59,,
1973-03-15,5.63,,
1973-03-16,5.59,,
1973-03-19,5.44,,
1973-03-20,5.38,,
1973-03-21,5.23,,
1973-03-22,4.98,,
1973-03-23,5.09,,
1973-03-26,5.28,,
1973-03-27,5.34,,
1973-03-28,5.33,,
1973-03-29,5.47,,
1973-03-30,5.36,,
1973-04-02,5.34,,
1973-04-03,5.3,,
1973-04-04,5.17,,
1973-04-05,5.14,,
1973-04-06,5.21,,
1973-04-09,5.31,,
1973-04-10,5.31,,
1973-04-11,5.3,,
1973-04-12,5.25,,
1973-04-13,5.23,,
1973-04-16,5.21,,
1973-04-17,5.22,,
1973-04-18,5.25,,
1973-04-19,5.27,,
1973-04-23,5.26,,
1973-04-24,5.24,,
1973-04-25,5.13,,
1973-04-26,5.08,,
1973-04-27,4.99,,
1973-04-30,5.02,,
1973-05-01,5.05,,
1973-05-02,5.22,,
1973-05-03,5.3,,
1973-05-04,5.3,,
1973-05-07,5.25,,
1973-05-08,5.33,,
1973-05-09,5.32,,
1973-05-10,5.3,,
1973-05-11,5.23,,
1973-05-14,5.16,,
1973-05-15,5.23,,
1973-05-16,5.32,,
1973-05-17,5.3,,
1973-05-18,5.22,,
1973-05-21,5.09,,
1973-05-22,5.15,,
1973-05-23,5.25,,
1973-05-24,5.41,,
1973-05-25,5.47,,
1973-05-29,5.43,,
1973-05-30,5.38,,
1973-05-31,5.41,,
1973-06-01,5.29,,
1973-06-04,5.23,,
1973-06-05,5.3,,
1973-06-06,5.25,,
1973-06-07,5.26,,
1973-06-08,5.38,,
1973-06-11,5.33,,
1973-06-12,5.5,,
1973-06-13,5.52,,
1973-06-14,5.52,,
1973-06-15,5.38,,
1973-06-18,5.38,,
1973-06-19,5.44,,
1973-06-20,5.41,,
1973-06-21,5.3,,
1973-06-22,5.36,,
1973-06-25,5.15,,
1973-06-26,5.12,,
1973-06-27,5.09,,
1973-06-28,5.2,,
1973-06-29,5.22,,
1973-07-02,5.25,,
1973-07-03,5.16,,
1973-07-05,5.07,,
1973-07-06,4.93,,
1973-07-09,4.91,,
1973-07-10,5.0,,
1973-07-11,5.19,,
1973-07-12,5.27,,
1973-07-13,5.32,,
1973-07-16,5.33,,
1973-07-17,5.38,,
1973-07-18,5.34,,
1973-07-19,5.38,,
1973-07-20,5.34,,
1973-07-23,5.38,,
1973-07-24,5.55,,
1973-07-25,5.73,,
1973-07-26,5.7,,
1973-07-27,5.63,,
1973-07-30,5.59,,
1973-07-31,5.52,,
1973-08-01,5.41,,
1973-08-02,5.52,,
1973-08-03,5.55,,
1973-08-06,5.23,,
1973-08-07,5.27,,
1973-08-08,5.26,,
1973-08-09,5.27,,
1973-08-10,5.23,,
1973-08-13,5.18,,
1973-08-14,5.13,,
1973-08-15,5.08,,
1973-08-16,4.95,,
1973-08-17,4.88,,
1973-08-20,4.84,,
1973-08-21,4.8,,
1973-08-22,4.86,,
1973-08-23,4.97,,
1973-08-24,5.11,,
1973-08-27,5.13,,
1973-08-28,5.16,,
1973-08-29,5.0,,
1973-08-30,4.86,,
1973-08-31,4.75,,
1973-09-04,4.7,,
1973-09-05,4.68,,
1973-09-06,4.63,,
1973-09-07,4.47,,
1973-09-10,4.51,,
1973-09-11,4.63,,
1973-09-12,4.72,,
1973-09-13,4.83,,
1973-09-14,4.8,,
1973-09-17,4.77,,
1973-09-18,4.75,,
1973-09-19,5.05,,
1973-09-20,5.0,,
1973-09-21,4.88,,
1973-09-24,5.0,,
1973-09-25,4.91,,
1973-09-26,4.88,,
1973-09-27,5.0,,
1973-09-28,5.0,,
1973-10-01,4.9,,
1973-10-02,4.91,,
1973-10-03,4.8,,
1973-10-04,4.73,,
1973-10-05,4.83,,
1973-10-08,4.91,,
1973-10-09,5.0,,
1973-10-10,4.94,,
1973-10-11,5.0,,
1973-10-12,4.98,,
1973-10-15,5.08,,
1973-10-16,5.05,,
1973-10-17,5.05,,
1973-10-18,5.05,,
1973-10-19,5.22,,
1973-10-22,5.19,,
1973-10-23,5.23,,
1973-10-24,5.22,,
1973-10-25,5.32,,
1973-10-26,5.37,,
1973-10-29,5.3,,
1973-10-30,5.16,,
1973-10-31,5.13,,
1973-11-01,5.13,,
1973-11-02,5.12,,
1973-11-05,5.11,,
1973-11-06,5.11,,
1973-11-07,5.12,,
1973-11-08,5.16,,
1973-11-09,5.19,,
1973-11-12,5.19,,
1973-11-13,5.23,,
1973-11-14,5.27,,
1973-11-15,5.29,,
1973-11-16,5.36,,
1973-11-19,5.2,,
1973-11-20,5.05,,
1973-11-21,5.12,,
1973-11-23,5.05,,
1973-11-26,4.94,,
1973-11-27,4.88,,
1973-11-28,4.8,,
1973-11-29,4.75,,
1973-11-30,4.83,,
1973-12-03,4.73,,
1973-12-04,4.73,,
1973-12-05,4.7,,
1973-12-06,4.84,,
1973-12-07,4.95,,
1973-12-10,4.98,,
1973-12-11,4.83,,
1973-12-12,4.66,,
1973-12-13,4.38,,
1973-12-14,4.45,,
1973-12-17,4.59,,
1973-12-18,4.75,,
1973-12-19,4.8,,
1973-12-20,4.52,,
1973-12-21,4.48,,
1973-12-24,4.41,,
1973-12-26,4.61,,
1973-12-27,4.7,,
1973-12-28,4.63,,
1973-12-31,4.63,,
1974-01-02,4.59,,
1974-01-03,4.59,,
1974-01-04,4.5,,
1974-01-07,4.38,,
1974-01-08,4.34,,
1974-01-09,4.2,,
1974-01-10,4.09,,
1974-01-11,4.12,,
1974-01-14,4.13,,
1974-01-15,4.13,,
1974-01-16,4.13,,
1974-01-17,4.27,,
1974-01-18,4.37,,
1974-01-21,4.38,,
1974-01-22,4.47,,
1974-01-23,4.52,,
1974-01-24,4.55,,
1974-01-25,4.48,,
1974-01-28,4.47,,
1974-01-29,4.38,,
1974-01-30,4.45,,
1974-01-31,4.47,,
1974-02-01,4.4,,
1974-02-04,4.3,,
1974-02-05,4.23,,
1974-02-06,4.22,,
1974-02-07,4.13,,
1974-02-08,4.11,,
1974-02-11,3.95,,
1974-02-12,3.88,,
1974-02-13,3.84,,
1974-02-14,3.75,,
1974-02-15,3.79,,
1974-02-19,3.95,,
1974-02-20,4.13,,
1974-02-21,4.3,,
1974-02-22,4.22,,
1974-02-25,4.2,,
1974-02-26,4.33,,
1974-02-27,4.3,,
1974-02-28,4.27,,
1974-03-01,4.19,,
1974-03-04,4.3,,
