date,MCK,MCK_EPS,PE Ratio
1994-11-10,16.5,,
1994-11-11,16.44,,
1994-11-14,16.38,,
1994-11-15,16.25,,
1994-11-16,16.25,,
1994-11-17,16.19,,
1994-11-18,16.19,,
1994-11-21,16.31,,
1994-11-22,15.94,,
1994-11-23,15.75,,
1994-11-25,15.88,,
1994-11-28,15.75,,
1994-11-29,15.44,,
1994-11-30,15.69,,
1994-12-01,16.0,,
1994-12-02,16.19,,
1994-12-05,15.88,,
1994-12-06,15.81,,
1994-12-07,15.69,,
1994-12-08,15.31,,
1994-12-09,15.31,,
1994-12-12,15.25,,
1994-12-13,15.56,,
1994-12-14,15.88,,
1994-12-15,15.75,,
1994-12-16,15.94,,
1994-12-19,15.88,,
1994-12-20,15.88,,
1994-12-21,16.06,,
1994-12-22,16.13,,
1994-12-23,16.25,,
1994-12-27,16.31,,
1994-12-28,16.25,,
1994-12-29,16.38,,
1994-12-30,16.31,,
1995-01-03,16.5,,
1995-01-04,16.44,,
1995-01-05,16.5,,
1995-01-06,16.5,,
1995-01-09,16.44,,
1995-01-10,16.25,,
1995-01-11,16.0,,
1995-01-12,16.19,,
1995-01-13,16.44,,
1995-01-16,16.44,,
1995-01-17,16.38,,
1995-01-18,17.0,,
1995-01-19,17.13,,
1995-01-20,17.0,,
1995-01-23,17.19,,
1995-01-24,17.19,,
1995-01-25,17.5,,
1995-01-26,17.69,,
1995-01-27,17.88,,
1995-01-30,17.88,,
1995-01-31,18.44,,
1995-02-01,18.38,,
1995-02-02,18.44,,
1995-02-03,18.5,,
1995-02-06,18.44,,
1995-02-07,18.44,,
1995-02-08,18.56,,
1995-02-09,18.44,,
1995-02-10,18.69,,
1995-02-13,18.81,,
1995-02-14,18.88,,
1995-02-15,19.06,,
1995-02-16,19.13,,
1995-02-17,18.75,,
1995-02-21,18.56,,
1995-02-22,18.69,,
1995-02-23,18.69,,
1995-02-24,18.63,,
1995-02-27,18.38,,
1995-02-28,18.44,,
1995-03-01,18.88,,
1995-03-02,18.81,,
1995-03-03,18.81,,
1995-03-06,18.63,,
1995-03-07,18.38,,
1995-03-08,18.31,,
1995-03-09,18.25,,
1995-03-10,18.19,,
1995-03-13,18.31,,
1995-03-14,18.31,,
1995-03-15,18.75,,
1995-03-16,18.63,,
1995-03-17,19.0,,
1995-03-20,19.19,,
1995-03-21,19.38,,
1995-03-22,19.38,,
1995-03-23,19.63,,
1995-03-24,20.13,,
1995-03-27,20.31,,
1995-03-28,20.19,,
1995-03-29,19.81,,
1995-03-30,20.25,,
1995-03-31,20.19,,
1995-04-03,20.13,,
1995-04-04,20.0,,
1995-04-05,20.19,,
1995-04-06,20.06,,
1995-04-07,20.06,,
1995-04-10,20.0,,
1995-04-11,19.81,,
1995-04-12,19.94,,
1995-04-13,19.75,,
1995-04-17,19.44,,
1995-04-18,19.0,,
1995-04-19,18.88,,
1995-04-20,19.25,,
1995-04-21,19.56,,
1995-04-24,19.56,,
1995-04-25,19.94,,
1995-04-26,19.81,,
1995-04-27,19.81,,
1995-04-28,19.81,,
1995-05-01,19.94,,
1995-05-02,20.06,,
1995-05-03,20.06,,
1995-05-04,20.13,,
1995-05-05,20.13,,
1995-05-08,20.06,,
1995-05-09,20.13,,
1995-05-10,20.13,,
1995-05-11,20.06,,
1995-05-12,20.38,,
1995-05-15,20.69,,
1995-05-16,20.75,,
1995-05-17,20.94,,
1995-05-18,20.75,,
1995-05-19,20.75,,
1995-05-22,20.81,,
1995-05-23,20.88,,
1995-05-24,20.81,,
1995-05-25,21.5,,
1995-05-26,21.38,,
1995-05-30,21.81,,
1995-05-31,22.31,,
1995-06-01,22.5,,
1995-06-02,22.94,,
1995-06-05,22.81,,
1995-06-06,23.31,,
1995-06-07,23.0,,
1995-06-08,23.0,,
1995-06-09,22.31,,
1995-06-12,22.25,,
1995-06-13,22.75,,
1995-06-14,22.94,,
1995-06-15,23.31,,
1995-06-16,23.38,,
1995-06-19,23.69,,
1995-06-20,23.25,,
1995-06-21,23.5,,
1995-06-22,23.56,,
1995-06-23,23.25,,
1995-06-26,23.06,,
1995-06-27,22.81,,
1995-06-28,22.88,,
1995-06-29,22.75,,
1995-06-30,23.38,,
1995-07-03,23.31,,
1995-07-05,23.13,,
1995-07-06,22.63,,
1995-07-07,22.38,,
1995-07-10,22.38,,
1995-07-11,22.38,,
1995-07-12,22.69,,
1995-07-13,22.5,,
1995-07-14,22.69,,
1995-07-17,22.63,,
1995-07-18,22.56,,
1995-07-19,22.13,,
1995-07-20,22.06,,
1995-07-21,21.75,,
1995-07-24,21.63,,
1995-07-25,21.69,,
1995-07-26,21.81,,
1995-07-27,22.06,,
1995-07-28,22.0,,
1995-07-31,22.06,,
1995-08-01,21.75,,
1995-08-02,21.56,,
1995-08-03,21.44,,
1995-08-04,21.56,,
1995-08-07,21.81,,
1995-08-08,21.69,,
1995-08-09,21.81,,
1995-08-10,21.63,,
1995-08-11,21.69,,
1995-08-14,22.06,,
1995-08-15,21.94,,
1995-08-16,22.13,,
1995-08-17,22.19,,
1995-08-18,22.13,,
1995-08-21,22.13,,
1995-08-22,21.75,,
1995-08-23,21.63,,
1995-08-24,21.75,,
1995-08-25,21.75,,
1995-08-28,21.63,,
1995-08-29,21.69,,
1995-08-30,21.63,,
1995-08-31,21.75,,
1995-09-01,21.56,,
1995-09-05,21.75,,
1995-09-06,21.75,,
1995-09-07,21.5,,
1995-09-08,21.69,,
1995-09-11,21.56,,
1995-09-12,21.69,,
1995-09-13,21.56,,
1995-09-14,21.88,,
1995-09-15,22.0,,
1995-09-18,22.0,,
1995-09-19,22.13,,
1995-09-20,22.44,,
1995-09-21,22.38,,
1995-09-22,22.5,,
1995-09-25,22.5,,
1995-09-26,22.69,,
1995-09-27,22.63,,
1995-09-28,22.63,,
1995-09-29,22.5,,
1995-10-02,22.5,,
1995-10-03,23.06,,
1995-10-04,23.44,,
1995-10-05,23.5,,
1995-10-06,23.63,,
1995-10-09,23.13,,
1995-10-10,23.38,,
1995-10-11,23.5,,
1995-10-12,23.44,,
1995-10-13,23.25,,
1995-10-16,22.94,,
1995-10-17,23.06,,
1995-10-18,23.06,,
1995-10-19,23.75,,
1995-10-20,24.0,,
1995-10-23,24.0,,
1995-10-24,23.94,,
1995-10-25,23.25,,
1995-10-26,23.56,,
1995-10-27,23.69,,
1995-10-30,23.88,,
1995-10-31,23.88,,
1995-11-01,23.94,,
1995-11-02,25.0,,
1995-11-03,25.25,,
1995-11-06,25.19,,
1995-11-07,25.19,,
1995-11-08,25.31,,
1995-11-09,25.69,,
1995-11-10,25.81,,
1995-11-13,26.06,,
1995-11-14,26.13,,
1995-11-15,26.25,,
1995-11-16,26.0,,
1995-11-17,26.06,,
1995-11-20,26.13,,
1995-11-21,26.06,,
1995-11-22,25.81,,
1995-11-24,25.69,,
1995-11-27,25.81,,
1995-11-28,25.81,,
1995-11-29,25.75,,
1995-11-30,25.69,,
1995-12-01,25.63,,
1995-12-04,26.0,,
1995-12-05,25.75,,
1995-12-06,25.81,,
1995-12-07,25.88,,
1995-12-08,25.63,,
1995-12-11,25.69,,
1995-12-12,25.69,,
1995-12-13,26.0,,
1995-12-14,25.75,,
1995-12-15,25.75,,
