date,MRK,MRK_EPS,PE Ratio
1970-01-02,1.55,,
1970-01-05,1.54,,
1970-01-06,1.55,,
1970-01-07,1.53,,
1970-01-08,1.55,,
1970-01-09,1.54,,
1970-01-12,1.54,,
1970-01-13,1.54,,
1970-01-14,1.53,,
1970-01-15,1.53,,
1970-01-16,1.53,,
1970-01-19,1.51,,
1970-01-20,1.52,,
1970-01-21,1.53,,
1970-01-22,1.52,,
1970-01-23,1.51,,
1970-01-26,1.45,,
1970-01-27,1.46,,
1970-01-28,1.43,,
1970-01-29,1.42,,
1970-01-30,1.4,,
1970-02-02,1.42,,
1970-02-03,1.52,,
1970-02-04,1.48,,
1970-02-05,1.5,,
1970-02-06,1.48,,
1970-02-09,1.5,,
1970-02-10,1.49,,
1970-02-11,1.5,,
1970-02-12,1.51,,
1970-02-13,1.52,,
1970-02-16,1.53,,
1970-02-17,1.53,,
1970-02-18,1.51,,
1970-02-19,1.51,,
1970-02-20,1.52,,
1970-02-24,1.55,,
1970-02-25,1.56,,
1970-02-26,1.52,,
1970-02-27,1.51,,
1970-03-02,1.49,,
1970-03-03,1.5,,
1970-03-04,1.49,,
1970-03-05,1.48,,
1970-03-06,1.48,,
1970-03-09,1.47,,
1970-03-10,1.45,,
1970-03-11,1.44,,
1970-03-12,1.42,,
1970-03-13,1.37,,
1970-03-16,1.35,,
1970-03-17,1.36,,
1970-03-18,1.41,,
1970-03-19,1.41,,
1970-03-20,1.37,,
1970-03-23,1.38,,
1970-03-24,1.4,,
1970-03-25,1.44,,
1970-03-26,1.44,,
1970-03-30,1.44,,
1970-03-31,1.42,,
1970-04-01,1.42,,
1970-04-02,1.41,,
1970-04-03,1.39,,
1970-04-06,1.38,,
1970-04-07,1.39,,
1970-04-08,1.42,,
1970-04-09,1.39,,
1970-04-10,1.39,,
1970-04-13,1.37,,
1970-04-14,1.38,,
1970-04-15,1.38,,
1970-04-16,1.36,,
1970-04-17,1.34,,
1970-04-20,1.35,,
1970-04-21,1.34,,
1970-04-22,1.33,,
1970-04-23,1.29,,
1970-04-24,1.3,,
1970-04-27,1.31,,
1970-04-28,1.3,,
1970-04-29,1.32,,
1970-04-30,1.31,,
1970-05-01,1.31,,
1970-05-04,1.28,,
1970-05-05,1.28,,
1970-05-06,1.28,,
1970-05-07,1.28,,
1970-05-08,1.27,,
1970-05-11,1.27,,
1970-05-12,1.27,,
1970-05-13,1.26,,
1970-05-14,1.25,,
1970-05-15,1.26,,
1970-05-18,1.26,,
1970-05-19,1.24,,
1970-05-20,1.21,,
1970-05-21,1.16,,
1970-05-22,1.16,,
1970-05-25,1.15,,
1970-05-26,1.09,,
1970-05-27,1.14,,
1970-05-28,1.17,,
1970-05-29,1.17,,
1970-06-01,1.19,,
1970-06-02,1.21,,
1970-06-03,1.23,,
1970-06-04,1.21,,
1970-06-05,1.2,,
1970-06-08,1.22,,
1970-06-09,1.24,,
1970-06-10,1.23,,
1970-06-11,1.2,,
1970-06-12,1.2,,
1970-06-15,1.22,,
1970-06-16,1.26,,
1970-06-17,1.26,,
1970-06-18,1.27,,
1970-06-19,1.28,,
1970-06-22,1.28,,
1970-06-23,1.23,,
1970-06-24,1.22,,
1970-06-25,1.22,,
1970-06-26,1.2,,
1970-06-29,1.19,,
1970-06-30,1.21,,
1970-07-01,1.22,,
1970-07-02,1.21,,
1970-07-06,1.19,,
1970-07-07,1.2,,
1970-07-08,1.21,,
1970-07-09,1.22,,
1970-07-10,1.23,,
1970-07-13,1.24,,
1970-07-14,1.24,,
1970-07-15,1.24,,
1970-07-16,1.25,,
1970-07-17,1.29,,
1970-07-20,1.29,,
1970-07-21,1.28,,
1970-07-22,1.27,,
1970-07-23,1.27,,
1970-07-24,1.28,,
1970-07-27,1.28,,
1970-07-28,1.27,,
1970-07-29,1.16,,
1970-07-30,1.14,,
1970-07-31,1.13,,
1970-08-03,1.11,,
1970-08-04,1.16,,
1970-08-05,1.16,,
1970-08-06,1.15,,
1970-08-07,1.13,,
1970-08-10,1.12,,
1970-08-11,1.1,,
1970-08-12,1.08,,
1970-08-13,1.03,,
1970-08-14,1.04,,
1970-08-17,1.07,,
1970-08-18,1.09,,
1970-08-19,1.08,,
1970-08-20,1.08,,
1970-08-21,1.09,,
1970-08-24,1.1,,
1970-08-25,1.11,,
1970-08-26,1.11,,
1970-08-27,1.11,,
1970-08-28,1.1,,
1970-08-31,1.11,,
1970-09-01,1.1,,
1970-09-02,1.11,,
1970-09-03,1.15,,
1970-09-04,1.16,,
1970-09-08,1.16,,
1970-09-09,1.14,,
1970-09-10,1.15,,
1970-09-11,1.16,,
1970-09-14,1.16,,
1970-09-15,1.14,,
1970-09-16,1.17,,
1970-09-17,1.17,,
1970-09-18,1.18,,
