date,HSIC,HSIC_EPS,PE Ratio
1995-11-03,4.46,,
1995-11-06,4.49,,
1995-11-07,4.41,,
1995-11-08,4.36,,
1995-11-09,4.46,,
1995-11-10,4.26,,
1995-11-13,4.36,,
1995-11-14,4.26,,
1995-11-15,4.35,,
1995-11-16,4.41,,
1995-11-17,4.31,,
1995-11-20,4.31,,
1995-11-21,4.31,,
1995-11-22,4.31,,
1995-11-24,4.45,,
1995-11-27,4.51,,
1995-11-28,4.61,,
1995-11-29,5.0,,
1995-11-30,4.95,,
1995-12-01,4.95,,
1995-12-04,4.78,,
1995-12-05,4.85,,
1995-12-06,4.88,,
1995-12-07,4.75,,
1995-12-08,4.8,,
1995-12-11,4.8,,
1995-12-12,4.75,,
1995-12-13,4.66,,
1995-12-14,4.56,,
1995-12-15,4.56,,
1995-12-18,4.46,,
1995-12-19,4.56,,
1995-12-20,4.66,,
1995-12-21,4.56,,
1995-12-22,4.71,,
1995-12-26,4.56,,
1995-12-27,5.25,,
1995-12-28,5.54,,
1995-12-29,5.78,,
1996-01-02,5.34,,
1996-01-03,5.15,,
1996-01-04,4.78,,
1996-01-05,4.75,,
1996-01-08,4.63,,
1996-01-09,4.67,,
1996-01-10,4.75,,
1996-01-11,4.66,,
1996-01-12,4.66,,
1996-01-15,4.66,,
1996-01-16,4.8,,
1996-01-17,4.8,,
1996-01-18,4.95,,
1996-01-19,5.25,,
1996-01-22,5.49,,
1996-01-23,5.56,,
1996-01-24,5.54,,
1996-01-25,5.54,,
1996-01-26,5.34,,
1996-01-29,5.49,,
1996-01-30,5.49,,
1996-01-31,5.78,,
1996-02-01,5.59,,
1996-02-02,5.74,,
1996-02-05,5.74,,
1996-02-06,5.78,,
1996-02-07,5.88,,
1996-02-08,5.74,,
1996-02-09,5.78,,
1996-02-12,5.78,,
1996-02-13,5.81,,
1996-02-14,5.78,,
1996-02-15,5.69,,
1996-02-16,5.74,,
1996-02-20,5.69,,
1996-02-21,5.69,,
1996-02-22,5.83,,
1996-02-23,5.71,,
1996-02-26,5.76,,
1996-02-27,5.69,,
1996-02-28,5.69,,
1996-02-29,5.69,,
1996-03-01,5.74,,
1996-03-04,5.74,,
1996-03-05,5.88,,
1996-03-06,5.98,,
1996-03-07,5.88,,
1996-03-08,5.83,,
1996-03-11,5.93,,
1996-03-12,5.88,,
1996-03-13,5.88,,
1996-03-14,5.93,,
1996-03-15,5.93,,
1996-03-18,5.78,,
1996-03-19,5.69,,
1996-03-20,5.71,,
1996-03-21,5.78,,
1996-03-22,5.69,,
1996-03-25,5.81,,
1996-03-26,5.83,,
1996-03-27,5.78,,
1996-03-28,5.74,,
1996-03-29,5.74,,
1996-04-01,6.03,,
1996-04-02,5.98,,
1996-04-03,5.93,,
1996-04-04,5.78,,
1996-04-08,5.88,,
1996-04-09,5.78,,
1996-04-10,5.69,,
1996-04-11,5.78,,
1996-04-12,5.54,,
1996-04-15,5.74,,
1996-04-16,6.13,,
1996-04-17,6.03,,
1996-04-18,6.03,,
1996-04-19,6.08,,
1996-04-22,6.08,,
1996-04-23,6.47,,
1996-04-24,6.27,,
1996-04-25,6.57,,
1996-04-26,6.86,,
1996-04-29,7.21,,
1996-04-30,7.06,,
1996-05-01,7.25,,
1996-05-02,7.25,,
1996-05-03,7.11,,
1996-05-06,7.16,,
1996-05-07,7.3,,
1996-05-08,7.18,,
1996-05-09,7.16,,
1996-05-10,7.16,,
1996-05-13,7.11,,
1996-05-14,7.28,,
1996-05-15,7.11,,
1996-05-16,7.28,,
1996-05-17,7.11,,
1996-05-20,7.11,,
1996-05-21,7.3,,
1996-05-22,7.13,,
1996-05-23,7.12,,
1996-05-24,7.11,,
1996-05-28,7.25,,
1996-05-29,7.11,,
1996-05-30,7.3,,
1996-05-31,7.25,,
1996-06-03,7.11,,
1996-06-04,7.45,,
1996-06-05,7.72,,
1996-06-06,7.99,,
1996-06-07,8.03,,
1996-06-10,7.94,,
1996-06-11,8.53,,
1996-06-12,8.43,,
1996-06-13,8.09,,
1996-06-14,8.28,,
1996-06-17,7.77,,
1996-06-18,7.5,,
1996-06-19,7.3,,
1996-06-20,6.91,,
1996-06-21,6.91,,
1996-06-24,6.86,,
1996-06-25,6.89,,
1996-06-26,6.76,,
1996-06-27,6.99,,
1996-06-28,7.5,,
1996-07-01,7.89,,
1996-07-02,7.6,,
1996-07-03,7.55,,
1996-07-05,7.6,,
1996-07-08,7.21,,
1996-07-09,6.84,,
1996-07-10,6.96,,
1996-07-11,6.76,,
1996-07-12,6.32,,
1996-07-15,6.2,,
1996-07-16,6.27,,
1996-07-17,6.64,,
1996-07-18,7.06,,
1996-07-19,7.16,,
1996-07-22,7.11,,
1996-07-23,7.16,,
1996-07-24,6.96,,
1996-07-25,6.91,,
1996-07-26,7.11,,
1996-07-29,6.96,,
1996-07-30,7.25,,
1996-07-31,7.18,,
1996-08-01,7.11,,
1996-08-02,6.76,,
1996-08-05,6.57,,
1996-08-06,6.54,,
1996-08-07,6.72,,
1996-08-08,6.57,,
1996-08-09,6.57,,
1996-08-12,6.86,,
1996-08-13,6.86,,
1996-08-14,6.91,,
1996-08-15,6.54,,
1996-08-16,6.62,,
1996-08-19,6.5,,
1996-08-20,6.52,,
1996-08-21,6.52,,
1996-08-22,6.42,,
1996-08-23,6.52,,
1996-08-26,6.67,,
1996-08-27,6.81,,
1996-08-28,6.81,,
1996-08-29,6.67,,
1996-08-30,6.52,,
1996-09-03,6.37,,
1996-09-04,6.47,,
1996-09-05,6.57,,
1996-09-06,6.76,,
1996-09-09,7.16,,
1996-09-10,6.86,,
1996-09-11,6.86,,
1996-09-12,6.86,,
1996-09-13,6.62,,
1996-09-16,6.86,,
1996-09-17,6.81,,
1996-09-18,7.16,,
1996-09-19,7.77,,
1996-09-20,7.6,,
1996-09-23,7.55,,
1996-09-24,7.4,,
1996-09-25,7.21,,
1996-09-26,7.21,,
1996-09-27,7.4,,
1996-09-30,7.55,,
1996-10-01,7.5,,
1996-10-02,7.7,,
1996-10-03,7.75,,
1996-10-04,7.79,,
1996-10-07,7.89,,
1996-10-08,7.65,,
1996-10-09,7.7,,
1996-10-10,7.79,,
1996-10-11,7.6,,
1996-10-14,7.65,,
1996-10-15,7.38,,
1996-10-16,7.32,,
1996-10-17,7.4,,
1996-10-18,7.4,,
1996-10-21,7.25,,
1996-10-22,7.21,,
1996-10-23,7.16,,
1996-10-24,7.3,,
1996-10-25,7.06,,
1996-10-28,7.06,,
1996-10-29,7.35,,
1996-10-30,7.3,,
1996-10-31,7.79,,
1996-11-01,7.55,,
1996-11-04,7.11,,
1996-11-05,7.35,,
1996-11-06,7.21,,
1996-11-07,7.4,,
1996-11-08,7.3,,
1996-11-11,7.65,,
1996-11-12,7.51,,
1996-11-13,7.45,,
1996-11-14,7.21,,
1996-11-15,7.06,,
1996-11-18,7.11,,
1996-11-19,6.81,,
1996-11-20,6.86,,
1996-11-21,6.67,,
1996-11-22,6.94,,
1996-11-25,7.6,,
1996-11-26,8.04,,
1996-11-27,7.84,,
1996-11-29,7.99,,
1996-12-02,7.94,,
1996-12-03,7.79,,
1996-12-04,7.79,,
1996-12-05,7.77,,
1996-12-06,7.82,,
1996-12-09,7.77,,
1996-12-10,7.72,,
1996-12-11,7.55,,
1996-12-12,7.4,,
1996-12-13,6.91,,
1996-12-16,6.84,,
1996-12-17,6.84,,
1996-12-18,6.81,,
1996-12-19,6.72,,
1996-12-20,6.72,,
1996-12-23,6.91,,
1996-12-24,6.86,,
1996-12-26,6.76,,
1996-12-27,6.76,,
1996-12-30,6.79,,
1996-12-31,6.74,,
1997-01-02,6.69,,
1997-01-03,6.57,,
1997-01-06,6.69,,
1997-01-07,6.69,,
1997-01-08,6.72,,
1997-01-09,6.74,,
1997-01-10,7.03,,
1997-01-13,7.16,,
1997-01-14,7.25,,
1997-01-15,7.55,,
1997-01-16,7.4,,
1997-01-17,7.33,,
1997-01-20,7.33,,
1997-01-21,7.16,,
1997-01-22,6.96,,
1997-01-23,6.72,,
1997-01-24,6.81,,
1997-01-27,6.72,,
1997-01-28,6.52,,
1997-01-29,6.37,,
1997-01-30,6.5,,
1997-01-31,6.62,,
1997-02-03,6.74,,
1997-02-04,6.69,,
1997-02-05,6.81,,
1997-02-06,6.67,,
1997-02-07,6.69,,
1997-02-10,6.72,,
1997-02-11,6.59,,
1997-02-12,6.74,,
1997-02-13,6.54,,
1997-02-14,6.2,,
1997-02-18,6.05,,
1997-02-19,6.23,,
1997-02-20,6.08,,
1997-02-21,6.09,,
1997-02-24,6.05,,
1997-02-25,5.86,,
1997-02-26,5.2,,
1997-02-27,5.39,,
1997-02-28,5.29,,
1997-03-03,5.34,,
1997-03-04,5.49,,
1997-03-05,5.54,,
1997-03-06,5.59,,
1997-03-07,5.61,,
1997-03-10,5.39,,
1997-03-11,5.34,,
1997-03-12,4.95,,
1997-03-13,4.82,,
1997-03-14,5.05,,
1997-03-17,5.05,,
