date,A,A_EPS,PE Ratio
1999-11-18,31.47,,
1999-11-19,28.88,,
1999-11-22,31.47,,
1999-11-23,28.61,,
1999-11-24,29.37,,
1999-11-26,29.46,,
1999-11-29,30.13,,
1999-11-30,30.18,,
1999-12-01,30.71,,
1999-12-02,31.56,,
1999-12-03,31.83,,
1999-12-06,32.73,,
1999-12-07,32.37,,
1999-12-08,32.32,,
1999-12-09,32.77,,
1999-12-10,32.01,,
1999-12-13,32.55,,
1999-12-14,30.76,,
1999-12-15,29.82,,
1999-12-16,33.8,,
1999-12-17,32.86,,
1999-12-20,33.53,,
1999-12-21,33.35,,
1999-12-22,34.02,,
1999-12-23,35.59,,
1999-12-27,37.78,,
1999-12-28,43.99,,
1999-12-29,51.5,,
1999-12-30,56.69,,
1999-12-31,55.3,,
2000-01-03,51.5,,
2000-01-04,47.57,,
2000-01-05,44.62,,
2000-01-06,42.92,,
2000-01-07,46.49,,
2000-01-10,49.31,,
2000-01-11,48.64,,
2000-01-12,47.66,,
2000-01-13,48.37,,
2000-01-14,48.91,,
2000-01-18,51.14,,
2000-01-19,50.07,,
2000-01-20,48.73,,
2000-01-21,49.18,,
2000-01-24,49.0,,
2000-01-25,48.42,,
2000-01-26,48.86,,
2000-01-27,48.95,,
2000-01-28,48.69,,
2000-01-31,47.34,,
2000-02-01,50.79,,
2000-02-02,54.72,,
2000-02-03,55.62,,
2000-02-04,54.54,,
2000-02-07,56.87,,
2000-02-08,56.51,,
2000-02-09,54.18,,
2000-02-10,54.86,,
2000-02-11,53.92,,
2000-02-14,54.68,,
2000-02-15,58.57,,
2000-02-16,57.94,,
2000-02-17,69.38,,
2000-02-18,67.06,,
2000-02-22,65.45,,
2000-02-23,70.82,,
2000-02-24,76.36,,
2000-02-25,77.34,,
2000-02-28,72.25,,
2000-02-29,74.3,,
2000-03-01,78.06,,
2000-03-02,75.32,,
2000-03-03,77.25,,
2000-03-06,113.73,,
2000-03-07,101.57,,
2000-03-08,108.73,,
2000-03-09,109.44,,
2000-03-10,101.57,,
2000-03-13,93.88,,
2000-03-14,86.82,,
2000-03-15,81.72,,
2000-03-16,84.45,,
2000-03-17,86.64,,
2000-03-20,81.37,,
2000-03-21,82.26,,
2000-03-22,85.43,,
2000-03-23,85.61,,
2000-03-24,85.84,,
2000-03-27,81.72,,
2000-03-28,85.21,,
2000-03-29,80.11,,
2000-03-30,75.11,,
2000-03-31,74.39,,
2000-04-03,70.1,,
2000-04-04,66.88,,
2000-04-05,69.34,,
2000-04-06,75.11,,
2000-04-07,87.27,,
2000-04-10,76.63,,
2000-04-11,72.2,,
2000-04-12,61.52,,
2000-04-13,64.38,,
2000-04-14,59.15,,
2000-04-17,56.87,,
2000-04-18,62.23,,
2000-04-19,62.41,,
2000-04-20,64.33,,
2000-04-24,65.54,,
2000-04-25,64.38,,
2000-04-26,65.72,,
2000-04-27,64.91,,
2000-04-28,63.39,,
2000-05-01,68.22,,
2000-05-02,72.08,,
2000-05-03,65.45,,
2000-05-04,64.56,,
2000-05-05,65.41,,
2000-05-08,60.62,,
2000-05-09,57.36,,
2000-05-10,55.08,,
2000-05-11,54.77,,
2000-05-12,64.78,,
2000-05-15,63.08,,
2000-05-16,63.3,,
2000-05-17,55.79,,
2000-05-18,50.79,,
2000-05-19,47.66,,
2000-05-22,44.62,,
2000-05-23,41.49,,
2000-05-24,42.2,,
2000-05-25,49.18,,
2000-05-26,46.49,,
2000-05-30,53.92,,
2000-05-31,52.66,,
2000-06-01,52.22,,
2000-06-02,58.48,,
2000-06-05,56.51,,
2000-06-06,50.79,,
2000-06-07,47.93,,
2000-06-08,49.45,,
2000-06-09,50.7,,
2000-06-12,47.21,,
2000-06-13,49.4,,
2000-06-14,48.46,,
2000-06-15,47.17,,
2000-06-16,44.8,,
2000-06-19,48.64,,
2000-06-20,52.66,,
2000-06-21,56.15,,
2000-06-22,54.18,,
2000-06-23,53.74,,
2000-06-26,53.74,,
2000-06-27,53.96,,
2000-06-28,56.87,,
2000-06-29,54.27,,
2000-06-30,52.75,,
2000-07-03,52.71,,
2000-07-05,50.25,,
2000-07-06,49.45,,
2000-07-07,48.28,,
2000-07-10,49.0,,
2000-07-11,48.15,,
2000-07-12,49.36,,
2000-07-13,50.79,,
2000-07-14,55.12,,
2000-07-17,55.97,,
2000-07-18,54.81,,
2000-07-19,52.98,,
2000-07-20,38.63,,
2000-07-21,34.38,,
2000-07-24,35.41,,
2000-07-25,32.01,,
2000-07-26,30.76,,
2000-07-27,29.15,,
2000-07-28,29.51,,
2000-07-31,29.15,,
2000-08-01,28.97,,
2000-08-02,28.7,,
2000-08-03,29.33,,
2000-08-04,28.66,,
2000-08-07,28.43,,
2000-08-08,27.76,,
2000-08-09,28.12,,
2000-08-10,27.9,,
2000-08-11,29.06,,
2000-08-14,31.12,,
2000-08-15,30.4,,
2000-08-16,31.12,,
2000-08-17,33.26,,
2000-08-18,40.33,,
2000-08-21,43.28,,
2000-08-22,43.28,,
2000-08-23,43.28,,
2000-08-24,42.74,,
2000-08-25,41.85,,
2000-08-28,41.93,,
2000-08-29,45.06,,
