date,JBHT,JBHT_EPS,PE Ratio
1983-11-22,1.54,,
1983-11-23,1.56,,
1983-11-25,1.63,,
1983-11-28,1.52,,
1983-11-29,1.56,,
1983-11-30,1.56,,
1983-12-01,1.56,,
1983-12-02,1.54,,
1983-12-05,1.52,,
1983-12-06,1.5,,
1983-12-07,1.5,,
1983-12-08,1.52,,
1983-12-09,1.52,,
1983-12-12,1.52,,
1983-12-13,1.54,,
1983-12-14,1.54,,
1983-12-15,1.54,,
1983-12-16,1.54,,
1983-12-19,1.54,,
1983-12-20,1.56,,
1983-12-21,1.56,,
1983-12-22,1.56,,
1983-12-23,1.58,,
1983-12-27,1.6,,
1983-12-28,1.6,,
1983-12-29,1.56,,
1983-12-30,1.58,,
1984-01-03,1.6,,
1984-01-04,1.58,,
1984-01-05,1.6,,
1984-01-06,1.67,,
1984-01-09,1.65,,
1984-01-10,1.67,,
1984-01-11,1.67,,
1984-01-12,1.67,,
1984-01-13,1.67,,
1984-01-16,1.69,,
1984-01-17,1.75,,
1984-01-18,1.77,,
1984-01-19,1.77,,
1984-01-20,1.77,,
1984-01-23,1.77,,
1984-01-24,1.71,,
1984-01-25,1.71,,
1984-01-26,1.71,,
1984-01-27,1.67,,
1984-01-30,1.56,,
1984-01-31,1.54,,
1984-02-01,1.54,,
1984-02-02,1.54,,
1984-02-03,1.54,,
1984-02-06,1.54,,
1984-02-07,1.48,,
1984-02-08,1.48,,
1984-02-09,1.48,,
1984-02-10,1.5,,
1984-02-13,1.48,,
1984-02-14,1.48,,
1984-02-15,1.48,,
1984-02-16,1.5,,
1984-02-17,1.52,,
1984-02-21,1.5,,
1984-02-22,1.5,,
1984-02-23,1.5,,
1984-02-24,1.5,,
1984-02-27,1.5,,
1984-02-28,1.5,,
1984-02-29,1.5,,
1984-03-01,1.5,,
1984-03-02,1.5,,
1984-03-05,1.5,,
1984-03-06,1.46,,
1984-03-07,1.44,,
1984-03-08,1.44,,
1984-03-09,1.44,,
1984-03-12,1.44,,
1984-03-13,1.46,,
1984-03-14,1.46,,
1984-03-15,1.46,,
1984-03-16,1.46,,
1984-03-19,1.44,,
1984-03-20,1.44,,
1984-03-21,1.44,,
1984-03-22,1.44,,
1984-03-23,1.44,,
1984-03-26,1.42,,
1984-03-27,1.44,,
1984-03-28,1.44,,
1984-03-29,1.44,,
1984-03-30,1.44,,
1984-04-02,1.44,,
1984-04-03,1.44,,
1984-04-04,1.44,,
1984-04-05,1.44,,
1984-04-06,1.44,,
1984-04-09,1.44,,
1984-04-10,1.44,,
1984-04-11,1.42,,
1984-04-12,1.42,,
1984-04-13,1.42,,
1984-04-16,1.42,,
1984-04-17,1.44,,
1984-04-18,1.42,,
1984-04-19,1.42,,
1984-04-23,1.42,,
1984-04-24,1.44,,
1984-04-25,1.46,,
1984-04-26,1.5,,
1984-04-27,1.5,,
1984-04-30,1.5,,
1984-05-01,1.5,,
1984-05-02,1.5,,
1984-05-03,1.5,,
1984-05-04,1.5,,
1984-05-07,1.5,,
1984-05-08,1.48,,
1984-05-09,1.5,,
1984-05-10,1.5,,
1984-05-11,1.5,,
1984-05-14,1.5,,
1984-05-15,1.48,,
1984-05-16,1.5,,
1984-05-17,1.48,,
1984-05-18,1.48,,
1984-05-21,1.48,,
1984-05-22,1.48,,
1984-05-23,1.48,,
1984-05-24,1.48,,
1984-05-25,1.46,,
1984-05-29,1.44,,
1984-05-30,1.44,,
1984-05-31,1.44,,
1984-06-01,1.44,,
1984-06-04,1.44,,
1984-06-05,1.44,,
1984-06-06,1.44,,
1984-06-07,1.44,,
1984-06-08,1.44,,
1984-06-11,1.44,,
1984-06-12,1.44,,
1984-06-13,1.44,,
1984-06-14,1.42,,
1984-06-15,1.42,,
1984-06-18,1.42,,
