date,GD,GD_EPS,PE Ratio
1977-01-03,1.36,,
1977-01-04,1.34,,
1977-01-05,1.33,,
1977-01-06,1.33,,
1977-01-07,1.32,,
1977-01-10,1.3,,
1977-01-11,1.27,,
1977-01-12,1.24,,
1977-01-13,1.23,,
1977-01-14,1.31,,
1977-01-17,1.3,,
1977-01-18,1.34,,
1977-01-19,1.41,,
1977-01-20,1.43,,
1977-01-21,1.41,,
1977-01-24,1.4,,
1977-01-25,1.41,,
1977-01-26,1.4,,
1977-01-27,1.39,,
1977-01-28,1.4,,
1977-01-31,1.45,,
1977-02-01,1.47,,
1977-02-02,1.49,,
1977-02-03,1.49,,
1977-02-04,1.51,,
1977-02-07,1.5,,
1977-02-08,1.49,,
1977-02-09,1.45,,
1977-02-10,1.44,,
1977-02-11,1.42,,
1977-02-14,1.43,,
1977-02-15,1.43,,
1977-02-16,1.46,,
1977-02-17,1.47,,
1977-02-18,1.46,,
1977-02-22,1.46,,
1977-02-23,1.43,,
1977-02-24,1.4,,
1977-02-25,1.39,,
1977-02-28,1.41,,
1977-03-01,1.45,,
1977-03-02,1.45,,
1977-03-03,1.45,,
1977-03-04,1.43,,
1977-03-07,1.43,,
1977-03-08,1.42,,
1977-03-09,1.4,,
1977-03-10,1.41,,
1977-03-11,1.42,,
1977-03-14,1.45,,
1977-03-15,1.45,,
1977-03-16,1.45,,
1977-03-17,1.44,,
1977-03-18,1.44,,
1977-03-21,1.44,,
1977-03-22,1.48,,
1977-03-23,1.45,,
1977-03-24,1.44,,
1977-03-25,1.42,,
1977-03-28,1.41,,
1977-03-29,1.42,,
1977-03-30,1.4,,
1977-03-31,1.42,,
1977-04-01,1.44,,
1977-04-04,1.44,,
1977-04-05,1.36,,
1977-04-06,1.31,,
1977-04-07,1.36,,
1977-04-11,1.36,,
1977-04-12,1.4,,
1977-04-13,1.36,,
1977-04-14,1.33,,
1977-04-15,1.36,,
1977-04-18,1.34,,
1977-04-19,1.33,,
1977-04-20,1.32,,
1977-04-21,1.3,,
1977-04-22,1.28,,
1977-04-25,1.26,,
1977-04-26,1.27,,
1977-04-27,1.29,,
1977-04-28,1.29,,
1977-04-29,1.3,,
1977-05-02,1.29,,
1977-05-03,1.33,,
1977-05-04,1.38,,
1977-05-05,1.38,,
1977-05-06,1.39,,
1977-05-09,1.38,,
1977-05-10,1.38,,
1977-05-11,1.36,,
1977-05-12,1.35,,
1977-05-13,1.36,,
1977-05-16,1.38,,
1977-05-17,1.36,,
1977-05-18,1.37,,
1977-05-19,1.37,,
1977-05-20,1.36,,
1977-05-23,1.33,,
1977-05-24,1.32,,
1977-05-25,1.33,,
1977-05-26,1.35,,
1977-05-27,1.33,,
1977-05-31,1.32,,
1977-06-01,1.34,,
1977-06-02,1.34,,
1977-06-03,1.34,,
1977-06-06,1.35,,
1977-06-07,1.37,,
1977-06-08,1.36,,
1977-06-09,1.38,,
1977-06-10,1.4,,
1977-06-13,1.41,,
1977-06-14,1.41,,
1977-06-15,1.38,,
1977-06-16,1.41,,
1977-06-17,1.4,,
1977-06-20,1.41,,
1977-06-21,1.42,,
1977-06-22,1.42,,
1977-06-23,1.47,,
1977-06-24,1.47,,
1977-06-27,1.49,,
1977-06-28,1.46,,
1977-06-29,1.48,,
1977-06-30,1.5,,
1977-07-01,1.48,,
1977-07-05,1.49,,
1977-07-06,1.49,,
1977-07-07,1.52,,
1977-07-08,1.5,,
1977-07-11,1.51,,
1977-07-12,1.5,,
1977-07-13,1.5,,
1977-07-15,1.53,,
1977-07-18,1.51,,
1977-07-19,1.51,,
1977-07-20,1.51,,
1977-07-21,1.49,,
1977-07-22,1.47,,
1977-07-25,1.45,,
1977-07-26,1.46,,
1977-07-27,1.45,,
1977-07-28,1.46,,
1977-07-29,1.47,,
1977-08-01,1.49,,
1977-08-02,1.46,,
1977-08-03,1.47,,
1977-08-04,1.5,,
1977-08-05,1.5,,
1977-08-08,1.5,,
1977-08-09,1.5,,
1977-08-10,1.52,,
1977-08-11,1.53,,
1977-08-12,1.53,,
1977-08-15,1.46,,
1977-08-16,1.46,,
1977-08-17,1.48,,
1977-08-18,1.47,,
1977-08-19,1.46,,
1977-08-22,1.45,,
1977-08-23,1.45,,
1977-08-24,1.42,,
1977-08-25,1.38,,
1977-08-26,1.39,,
1977-08-29,1.39,,
1977-08-30,1.39,,
1977-08-31,1.4,,
1977-09-01,1.4,,
1977-09-02,1.41,,
1977-09-06,1.41,,
1977-09-07,1.4,,
1977-09-08,1.38,,
1977-09-09,1.36,,
1977-09-12,1.36,,
1977-09-13,1.35,,
1977-09-14,1.36,,
1977-09-15,1.34,,
1977-09-16,1.33,,
1977-09-19,1.33,,
1977-09-20,1.33,,
1977-09-21,1.34,,
1977-09-22,1.33,,
1977-09-23,1.33,,
1977-09-26,1.33,,
1977-09-27,1.33,,
1977-09-28,1.33,,
1977-09-29,1.35,,
1977-09-30,1.36,,
1977-10-03,1.36,,
1977-10-04,1.34,,
1977-10-05,1.33,,
1977-10-06,1.33,,
1977-10-07,1.33,,
1977-10-10,1.29,,
1977-10-11,1.21,,
1977-10-12,1.21,,
1977-10-13,1.19,,
1977-10-14,1.19,,
1977-10-17,1.2,,
1977-10-18,1.21,,
1977-10-19,1.19,,
1977-10-20,1.21,,
1977-10-21,1.2,,
1977-10-24,1.19,,
1977-10-25,1.16,,
1977-10-26,1.15,,
1977-10-27,1.13,,
1977-10-28,1.13,,
1977-10-31,1.15,,
1977-11-01,1.14,,
1977-11-02,1.15,,
1977-11-03,1.16,,
1977-11-04,1.17,,
1977-11-07,1.19,,
1977-11-08,1.21,,
1977-11-09,1.24,,
1977-11-10,1.26,,
1977-11-11,1.28,,
1977-11-14,1.26,,
1977-11-15,1.28,,
1977-11-16,1.26,,
1977-11-17,1.25,,
1977-11-18,1.21,,
1977-11-21,1.23,,
1977-11-22,1.24,,
1977-11-23,1.29,,
1977-11-25,1.27,,
1977-11-28,1.24,,
1977-11-29,1.19,,
1977-11-30,1.21,,
1977-12-01,1.23,,
1977-12-02,1.22,,
1977-12-05,1.22,,
1977-12-06,1.2,,
1977-12-07,1.19,,
1977-12-08,1.2,,
1977-12-09,1.21,,
1977-12-12,1.22,,
1977-12-13,1.19,,
1977-12-14,1.19,,
1977-12-15,1.18,,
1977-12-16,1.16,,
1977-12-19,1.13,,
1977-12-20,1.12,,
1977-12-21,1.13,,
1977-12-22,1.13,,
1977-12-23,1.13,,
1977-12-27,1.13,,
1977-12-28,1.15,,
1977-12-29,1.17,,
1977-12-30,1.14,,
1978-01-03,1.14,,
1978-01-04,1.11,,
1978-01-05,1.11,,
1978-01-06,1.1,,
1978-01-09,1.05,,
1978-01-10,1.03,,
1978-01-11,1.03,,
1978-01-12,1.03,,
1978-01-13,1.04,,
1978-01-16,1.03,,
1978-01-17,1.05,,
1978-01-18,1.08,,
1978-01-19,1.07,,
1978-01-20,1.07,,
1978-01-23,1.07,,
1978-01-24,1.06,,
1978-01-25,1.06,,
1978-01-26,1.04,,
1978-01-27,1.03,,
1978-01-30,1.03,,
1978-01-31,1.02,,
1978-02-01,1.03,,
1978-02-02,1.04,,
1978-02-03,1.04,,
1978-02-06,1.03,,
1978-02-07,1.04,,
1978-02-08,1.06,,
1978-02-09,1.05,,
1978-02-10,1.04,,
1978-02-13,1.04,,
1978-02-14,1.01,,
1978-02-15,0.99,,
1978-02-16,0.97,,
1978-02-17,0.97,,
1978-02-21,0.93,,
1978-02-22,0.93,,
1978-02-23,0.94,,
1978-02-24,0.98,,
1978-02-27,0.98,,
1978-02-28,0.98,,
1978-03-01,0.99,,
1978-03-02,1.02,,
1978-03-03,1.03,,
1978-03-06,1.02,,
1978-03-07,1.02,,
1978-03-08,1.06,,
1978-03-09,1.08,,
1978-03-10,1.09,,
1978-03-13,1.02,,
1978-03-14,1.0,,
1978-03-15,1.04,,
1978-03-16,1.04,,
1978-03-17,1.05,,
1978-03-20,1.06,,
1978-03-21,1.05,,
1978-03-22,1.04,,
1978-03-23,1.04,,
1978-03-27,1.05,,
1978-03-28,1.07,,
1978-03-29,1.11,,
1978-03-30,1.11,,
1978-03-31,1.09,,
1978-04-03,1.08,,
1978-04-04,1.08,,
1978-04-05,1.15,,
1978-04-06,1.13,,
1978-04-07,1.14,,
1978-04-10,1.15,,
1978-04-11,1.14,,
1978-04-12,1.18,,
1978-04-13,1.2,,
1978-04-14,1.26,,
1978-04-17,1.27,,
1978-04-18,1.25,,
1978-04-19,1.26,,
1978-04-20,1.28,,
1978-04-21,1.26,,
1978-04-24,1.25,,
1978-04-25,1.25,,
1978-04-26,1.26,,
1978-04-27,1.24,,
1978-04-28,1.25,,
1978-05-01,1.28,,
1978-05-02,1.3,,
1978-05-03,1.32,,
1978-05-04,1.36,,
1978-05-05,1.39,,
1978-05-08,1.36,,
1978-05-09,1.34,,
1978-05-10,1.36,,
1978-05-11,1.4,,
1978-05-12,1.45,,
1978-05-15,1.48,,
1978-05-16,1.48,,
1978-05-17,1.47,,
1978-05-18,1.43,,
1978-05-19,1.4,,
1978-05-22,1.47,,
1978-05-23,1.45,,
1978-05-24,1.43,,
1978-05-25,1.43,,
1978-05-26,1.43,,
1978-05-30,1.48,,
1978-05-31,1.5,,
1978-06-01,1.53,,
1978-06-02,1.53,,
1978-06-05,1.59,,
1978-06-06,1.59,,
1978-06-07,1.6,,
1978-06-08,1.59,,
1978-06-09,1.58,,
1978-06-12,1.69,,
1978-06-13,1.89,,
1978-06-14,1.88,,
1978-06-15,1.91,,
1978-06-16,1.92,,
1978-06-19,1.88,,
1978-06-20,1.88,,
1978-06-21,1.87,,
1978-06-22,1.93,,
1978-06-23,1.98,,
1978-06-26,1.93,,
1978-06-27,1.93,,
