date,BA,BA_EPS,PE Ratio
1989-09-19,19.38,,
1989-09-20,19.54,,
1989-09-21,19.5,,
1989-09-22,19.63,,
1989-09-25,19.33,,
1989-09-26,19.17,,
1989-09-27,19.21,,
1989-09-28,19.13,,
1989-09-29,19.0,,
1989-10-02,18.88,,
1989-10-03,19.92,,
1989-10-04,19.83,,
1989-10-05,19.58,,
1989-10-06,19.58,,
1989-10-09,19.5,,
1989-10-10,19.46,,
1989-10-11,19.83,,
1989-10-12,20.46,,
1989-10-13,19.13,,
1989-10-16,19.75,,
1989-10-17,19.5,,
1989-10-18,19.25,,
1989-10-19,19.54,,
1989-10-20,19.5,,
1989-10-23,19.21,,
1989-10-24,19.21,,
1989-10-25,19.17,,
1989-10-26,18.54,,
1989-10-27,18.21,,
1989-10-30,18.17,,
1989-10-31,18.75,,
1989-11-01,18.71,,
1989-11-02,18.79,,
1989-11-03,18.92,,
1989-11-06,18.17,,
1989-11-07,17.88,,
1989-11-08,18.25,,
1989-11-09,18.46,,
1989-11-10,18.67,,
1989-11-13,18.63,,
1989-11-14,18.46,,
1989-11-15,18.71,,
1989-11-16,18.83,,
1989-11-17,19.33,,
1989-11-20,19.83,,
1989-11-21,19.25,,
1989-11-22,19.46,,
1989-11-24,19.67,,
1989-11-27,19.58,,
1989-11-28,19.92,,
1989-11-29,19.92,,
1989-11-30,20.0,,
1989-12-01,20.5,,
1989-12-04,20.21,,
1989-12-05,20.42,,
1989-12-06,20.25,,
1989-12-07,20.17,,
1989-12-08,20.0,,
1989-12-11,19.63,,
1989-12-12,19.58,,
1989-12-13,19.63,,
1989-12-14,19.46,,
1989-12-15,19.67,,
1989-12-18,19.08,,
1989-12-19,19.17,,
1989-12-20,19.0,,
1989-12-21,19.5,,
1989-12-22,19.17,,
1989-12-26,19.46,,
1989-12-27,19.0,,
1989-12-28,19.33,,
1989-12-29,19.79,,
1990-01-02,20.5,,
1990-01-03,21.0,,
1990-01-04,20.92,,
1990-01-05,20.63,,
1990-01-08,20.88,,
1990-01-09,20.63,,
1990-01-10,20.71,,
1990-01-11,20.42,,
1990-01-12,20.0,,
1990-01-15,19.79,,
1990-01-16,19.96,,
1990-01-17,20.08,,
1990-01-18,20.0,,
1990-01-19,20.29,,
1990-01-22,19.75,,
1990-01-23,19.67,,
1990-01-24,19.88,,
1990-01-25,19.33,,
1990-01-26,19.29,,
1990-01-29,19.13,,
1990-01-30,19.42,,
1990-01-31,19.75,,
1990-02-01,20.42,,
1990-02-02,20.75,,
1990-02-05,21.04,,
1990-02-06,21.17,,
1990-02-07,21.17,,
1990-02-08,20.83,,
1990-02-09,20.79,,
1990-02-12,20.75,,
1990-02-13,20.71,,
1990-02-14,21.17,,
1990-02-15,21.17,,
1990-02-16,20.96,,
1990-02-20,20.5,,
1990-02-21,20.17,,
1990-02-22,20.21,,
1990-02-23,20.0,,
1990-02-26,20.38,,
1990-02-27,20.54,,
1990-02-28,21.29,,
1990-03-01,21.67,,
1990-03-02,21.63,,
1990-03-05,21.67,,
1990-03-06,21.75,,
1990-03-07,22.04,,
1990-03-08,22.38,,
1990-03-09,22.58,,
1990-03-12,22.33,,
1990-03-13,22.17,,
1990-03-14,22.5,,
1990-03-15,22.46,,
1990-03-16,23.25,,
1990-03-19,23.83,,
1990-03-20,23.5,,
1990-03-21,23.71,,
1990-03-22,23.75,,
1990-03-23,24.42,,
1990-03-26,24.0,,
1990-03-27,24.25,,
1990-03-28,24.29,,
1990-03-29,24.13,,
1990-03-30,23.92,,
1990-04-02,23.79,,
1990-04-03,24.42,,
1990-04-04,24.0,,
1990-04-05,24.29,,
1990-04-06,24.29,,
1990-04-09,24.13,,
1990-04-10,24.04,,
1990-04-11,24.17,,
1990-04-12,24.38,,
1990-04-16,24.42,,
1990-04-17,24.33,,
1990-04-18,23.83,,
1990-04-19,23.71,,
1990-04-20,23.5,,
1990-04-23,23.33,,
1990-04-24,23.29,,
1990-04-25,23.29,,
1990-04-26,23.33,,
1990-04-27,22.92,,
1990-04-30,23.25,,
1990-05-01,24.08,,
1990-05-02,24.33,,
1990-05-03,24.5,,
1990-05-04,24.67,,
1990-05-07,24.46,,
1990-05-08,24.58,,
1990-05-09,24.58,,
1990-05-10,25.13,,
1990-05-11,26.0,,
1990-05-14,26.0,,
1990-05-15,25.67,,
1990-05-16,25.5,,
1990-05-17,25.71,,
1990-05-18,25.96,,
1990-05-21,26.38,,
1990-05-22,26.54,,
1990-05-23,27.04,,
1990-05-24,27.54,,
1990-05-25,27.25,,
1990-05-29,27.29,,
1990-05-30,27.33,,
1990-05-31,27.46,,
1990-06-01,28.25,,
1990-06-04,28.79,,
1990-06-05,28.42,,
1990-06-06,28.33,,
1990-06-07,27.96,,
1990-06-08,27.5,,
1990-06-11,29.25,,
1990-06-12,29.44,,
1990-06-13,29.88,,
1990-06-14,30.06,,
1990-06-15,30.06,,
1990-06-18,29.5,,
1990-06-19,29.31,,
1990-06-20,29.06,,
1990-06-21,29.5,,
1990-06-22,28.69,,
1990-06-25,28.63,,
1990-06-26,28.81,,
1990-06-27,29.38,,
1990-06-28,29.5,,
1990-06-29,29.25,,
1990-07-02,29.56,,
