date,close price,RE_SHE,RE_TA,RE_TL,market cap,PB Ratio
1995-10-03,19.63,,,,,
1995-10-04,18.75,,,,,
1995-10-05,19.38,,,,,
1995-10-06,19.88,,,,,
1995-10-09,19.38,,,,,
1995-10-10,19.25,,,,,
1995-10-11,19.38,,,,,
1995-10-12,19.38,,,,,
1995-10-13,20.0,,,,,
1995-10-16,19.75,,,,,
1995-10-17,19.75,,,,,
1995-10-18,19.63,,,,,
1995-10-19,19.63,,,,,
1995-10-20,19.5,,,,,
1995-10-23,19.25,,,,,
1995-10-24,19.0,,,,,
1995-10-25,19.0,,,,,
1995-10-26,19.0,,,,,
1995-10-27,19.25,,,,,
1995-10-30,19.25,,,,,
1995-10-31,20.38,,,,,
1995-11-01,20.38,,,,,
1995-11-02,20.5,,,,,
1995-11-03,20.75,,,,,
1995-11-06,20.63,,,,,
1995-11-07,20.63,,,,,
1995-11-08,20.75,,,,,
1995-11-09,20.75,,,,,
1995-11-10,20.38,,,,,
1995-11-13,20.5,,,,,
1995-11-14,20.63,,,,,
1995-11-15,20.5,,,,,
1995-11-16,20.38,,,,,
1995-11-17,20.63,,,,,
1995-11-20,20.5,,,,,
1995-11-21,20.75,,,,,
1995-11-22,20.88,,,,,
1995-11-24,20.88,,,,,
1995-11-27,20.75,,,,,
1995-11-28,20.75,,,,,
1995-11-29,20.75,,,,,
1995-11-30,20.88,,,,,
1995-12-01,21.25,,,,,
1995-12-04,21.0,,,,,
1995-12-05,21.13,,,,,
1995-12-06,21.0,,,,,
1995-12-07,21.38,,,,,
1995-12-08,21.25,,,,,
1995-12-11,21.5,,,,,
1995-12-12,21.5,,,,,
1995-12-13,21.63,,,,,
1995-12-14,21.88,,,,,
1995-12-15,22.25,,,,,
1995-12-18,22.13,,,,,
1995-12-19,23.0,,,,,
1995-12-20,22.38,,,,,
1995-12-21,22.88,,,,,
1995-12-22,22.88,,,,,
1995-12-26,23.0,,,,,
1995-12-27,22.88,,,,,
1995-12-28,22.63,,,,,
1995-12-29,23.38,,,,,
1996-01-02,22.88,,,,,
1996-01-03,22.75,,,,,
1996-01-04,22.25,,,,,
1996-01-05,22.5,,,,,
1996-01-08,22.38,,,,,
1996-01-09,22.38,,,,,
1996-01-10,22.38,,,,,
1996-01-11,22.25,,,,,
1996-01-12,22.38,,,,,
1996-01-15,22.25,,,,,
1996-01-16,22.25,,,,,
1996-01-17,22.38,,,,,
1996-01-18,22.0,,,,,
1996-01-19,22.0,,,,,
1996-01-22,20.75,,,,,
1996-01-23,21.88,,,,,
1996-01-24,22.5,,,,,
1996-01-25,22.0,,,,,
1996-01-26,21.88,,,,,
1996-01-29,22.5,,,,,
1996-01-30,22.38,,,,,
1996-01-31,21.75,,,,,
1996-02-01,22.0,,,,,
1996-02-02,22.0,,,,,
1996-02-05,21.25,,,,,
1996-02-06,20.88,,,,,
1996-02-07,20.75,,,,,
1996-02-08,21.5,,,,,
1996-02-09,21.88,,,,,
1996-02-12,22.63,,,,,
1996-02-13,22.5,,,,,
1996-02-14,22.25,,,,,
1996-02-15,22.5,,,,,
1996-02-16,23.25,,,,,
1996-02-20,22.75,,,,,
1996-02-21,22.75,,,,,
1996-02-22,23.13,,,,,
1996-02-23,23.13,,,,,
1996-02-26,23.0,,,,,
1996-02-27,23.5,,,,,
1996-02-28,24.5,,,,,
1996-02-29,24.5,,,,,
1996-03-01,23.88,,,,,
1996-03-04,25.0,,,,,
1996-03-05,24.88,,,,,
1996-03-06,25.0,,,,,
1996-03-07,24.63,,,,,
1996-03-08,23.5,,,,,
1996-03-11,23.0,,,,,
1996-03-12,22.5,,,,,
