date,close price,LNT_SHE,LNT_TA,LNT_TL,market cap,PB Ratio
1973-02-21,5.03,,,,,
1973-02-22,5.03,,,,,
1973-02-23,5.03,,,,,
1973-02-26,5.0,,,,,
1973-02-27,4.94,,,,,
1973-02-28,4.97,,,,,
1973-03-01,4.97,,,,,
1973-03-02,4.97,,,,,
1973-03-05,4.97,,,,,
1973-03-06,4.97,,,,,
1973-03-07,4.97,,,,,
1973-03-08,4.97,,,,,
1973-03-09,4.97,,,,,
1973-03-12,4.97,,,,,
1973-03-13,4.97,,,,,
1973-03-14,4.97,,,,,
1973-03-15,4.94,,,,,
1973-03-16,4.91,,,,,
1973-03-19,4.91,,,,,
1973-03-20,4.88,,,,,
1973-03-21,4.84,,,,,
1973-03-22,4.84,,,,,
1973-03-23,4.84,,,,,
1973-03-26,4.88,,,,,
1973-03-27,4.88,,,,,
1973-03-28,4.91,,,,,
1973-03-29,4.91,,,,,
1973-03-30,4.91,,,,,
1973-04-02,4.91,,,,,
1973-04-03,4.91,,,,,
1973-04-04,4.91,,,,,
1973-04-05,4.91,,,,,
1973-04-06,4.91,,,,,
1973-04-09,4.97,,,,,
1973-04-10,4.97,,,,,
1973-04-11,4.97,,,,,
1973-04-12,4.97,,,,,
1973-04-13,4.97,,,,,
1973-04-16,4.97,,,,,
1973-04-17,4.94,,,,,
1973-04-18,4.91,,,,,
1973-04-19,4.91,,,,,
1973-04-23,4.94,,,,,
1973-04-24,4.91,,,,,
1973-04-25,4.91,,,,,
1973-04-26,4.91,,,,,
1973-04-27,4.91,,,,,
1973-04-30,4.91,,,,,
1973-05-01,4.88,,,,,
1973-05-02,4.88,,,,,
1973-05-03,4.88,,,,,
1973-05-04,4.88,,,,,
1973-05-07,4.88,,,,,
1973-05-08,4.88,,,,,
1973-05-09,4.88,,,,,
1973-05-10,4.88,,,,,
1973-05-11,4.91,,,,,
1973-05-14,4.91,,,,,
1973-05-15,4.91,,,,,
1973-05-16,4.91,,,,,
1973-05-17,4.91,,,,,
1973-05-18,4.91,,,,,
1973-05-21,4.91,,,,,
1973-05-22,4.91,,,,,
1973-05-23,4.91,,,,,
1973-05-24,4.91,,,,,
1973-05-25,4.91,,,,,
1973-05-29,4.91,,,,,
1973-05-30,4.91,,,,,
1973-05-31,4.91,,,,,
1973-06-01,4.91,,,,,
1973-06-04,4.91,,,,,
1973-06-05,4.88,,,,,
1973-06-06,4.88,,,,,
1973-06-07,4.88,,,,,
1973-06-08,4.88,,,,,
1973-06-11,4.88,,,,,
1973-06-12,4.84,,,,,
1973-06-13,4.84,,,,,
1973-06-14,4.84,,,,,
1973-06-15,4.84,,,,,
1973-06-18,4.84,,,,,
1973-06-19,4.84,,,,,
1973-06-20,4.84,,,,,
1973-06-21,4.84,,,,,
1973-06-22,4.84,,,,,
1973-06-25,4.81,,,,,
1973-06-26,4.69,,,,,
1973-06-27,4.75,,,,,
1973-06-28,4.75,,,,,
1973-06-29,4.75,,,,,
1973-07-02,4.75,,,,,
1973-07-03,4.75,,,,,
1973-07-05,4.75,,,,,
1973-07-06,4.75,,,,,
1973-07-09,4.75,,,,,
1973-07-10,4.78,,,,,
1973-07-11,4.81,,,,,
1973-07-12,4.81,,,,,
1973-07-13,4.81,,,,,
1973-07-16,4.81,,,,,
1973-07-17,4.84,,,,,
1973-07-18,4.84,,,,,
1973-07-19,4.84,,,,,
1973-07-20,4.84,,,,,
1973-07-23,4.88,,,,,
1973-07-24,4.88,,,,,
1973-07-25,4.88,,,,,
1973-07-26,4.84,,,,,
1973-07-27,4.84,,,,,
1973-07-30,4.84,,,,,
1973-07-31,4.84,,,,,
1973-08-01,4.84,,,,,
1973-08-02,4.81,,,,,
1973-08-03,4.81,,,,,
1973-08-06,4.81,,,,,
1973-08-07,4.78,,,,,
1973-08-08,4.78,,,,,
1973-08-09,4.78,,,,,
1973-08-10,4.75,,,,,
1973-08-13,4.72,,,,,
1973-08-14,4.69,,,,,
1973-08-15,4.59,,,,,
1973-08-16,4.56,,,,,
1973-08-17,4.56,,,,,
1973-08-20,4.56,,,,,
1973-08-21,4.56,,,,,
1973-08-22,4.56,,,,,
1973-08-23,4.56,,,,,
1973-08-24,4.59,,,,,
1973-08-27,4.63,,,,,
