date,close price,CB_SHE,CB_TA,CB_TL,market cap,PB Ratio
1989-09-19,9.81,,,,,
1989-09-20,9.8,,,,,
1989-09-21,9.77,,,,,
1989-09-22,9.72,,,,,
1989-09-25,9.67,,,,,
1989-09-26,9.83,,,,,
1989-09-27,9.78,,,,,
1989-09-28,9.81,,,,,
1989-09-29,10.02,,,,,
1989-10-02,10.16,,,,,
1989-10-03,10.27,,,,,
1989-10-04,10.3,,,,,
1989-10-05,10.22,,,,,
1989-10-06,10.2,,,,,
1989-10-09,10.19,,,,,
1989-10-10,10.17,,,,,
1989-10-11,10.13,,,,,
1989-10-12,10.16,,,,,
1989-10-13,9.77,,,,,
1989-10-16,9.97,,,,,
1989-10-17,10.06,,,,,
1989-10-18,10.13,,,,,
1989-10-19,10.28,,,,,
1989-10-20,10.36,,,,,
1989-10-23,10.36,,,,,
1989-10-24,10.34,,,,,
1989-10-25,10.81,,,,,
1989-10-26,11.06,,,,,
1989-10-27,10.94,,,,,
1989-10-30,10.97,,,,,
1989-10-31,11.0,,,,,
1989-11-01,11.02,,,,,
1989-11-02,10.89,,,,,
1989-11-03,11.03,,,,,
1989-11-06,11.0,,,,,
1989-11-07,11.19,,,,,
1989-11-08,11.33,,,,,
1989-11-09,11.34,,,,,
1989-11-10,11.5,,,,,
1989-11-13,11.42,,,,,
1989-11-14,11.38,,,,,
1989-11-15,11.34,,,,,
1989-11-16,11.33,,,,,
1989-11-17,11.3,,,,,
1989-11-20,11.36,,,,,
1989-11-21,11.34,,,,,
1989-11-22,11.48,,,,,
1989-11-24,11.69,,,,,
1989-11-27,11.81,,,,,
1989-11-28,11.78,,,,,
1989-11-29,11.78,,,,,
1989-11-30,11.75,,,,,
1989-12-01,11.72,,,,,
1989-12-04,11.67,,,,,
1989-12-05,11.67,,,,,
1989-12-06,11.84,,,,,
1989-12-07,12.03,,,,,
1989-12-08,12.33,,,,,
1989-12-11,12.3,,,,,
1989-12-12,12.09,,,,,
1989-12-13,12.09,,,,,
1989-12-14,11.97,,,,,
1989-12-15,11.77,,,,,
1989-12-18,11.28,,,,,
1989-12-19,11.13,,,,,
1989-12-20,11.28,,,,,
1989-12-21,11.56,,,,,
1989-12-22,11.69,,,,,
1989-12-26,11.64,,,,,
1989-12-27,11.77,,,,,
1989-12-28,11.75,,,,,
1989-12-29,11.91,,,,,
1990-01-02,11.98,,,,,
1990-01-03,12.03,,,,,
1990-01-04,11.98,,,,,
1990-01-05,11.91,,,,,
1990-01-08,11.81,,,,,
1990-01-09,11.81,,,,,
1990-01-10,11.61,,,,,
1990-01-11,11.69,,,,,
1990-01-12,11.81,,,,,
1990-01-15,11.73,,,,,
1990-01-16,11.72,,,,,
1990-01-17,11.72,,,,,
1990-01-18,11.8,,,,,
1990-01-19,11.81,,,,,
1990-01-22,11.64,,,,,
1990-01-23,11.48,,,,,
1990-01-24,11.39,,,,,
1990-01-25,11.19,,,,,
1990-01-26,11.03,,,,,
1990-01-29,10.83,,,,,
1990-01-30,10.58,,,,,
1990-01-31,11.09,,,,,
1990-02-01,11.16,,,,,
1990-02-02,11.47,,,,,
1990-02-05,11.78,,,,,
1990-02-06,11.77,,,,,
1990-02-07,11.66,,,,,
1990-02-08,11.63,,,,,
1990-02-09,11.8,,,,,
1990-02-12,11.72,,,,,
1990-02-13,11.8,,,,,
1990-02-14,11.78,,,,,
1990-02-15,11.91,,,,,
1990-02-16,12.08,,,,,
1990-02-20,12.02,,,,,
1990-02-21,12.05,,,,,
1990-02-22,12.23,,,,,
1990-02-23,12.2,,,,,
1990-02-26,12.23,,,,,
1990-02-27,12.31,,,,,
1990-02-28,12.36,,,,,
1990-03-01,12.53,,,,,
1990-03-02,12.61,,,,,
1990-03-05,12.72,,,,,
1990-03-06,12.72,,,,,
1990-03-07,12.7,,,,,
1990-03-08,12.66,,,,,
1990-03-09,12.56,,,,,
1990-03-12,12.48,,,,,
1990-03-13,12.5,,,,,
1990-03-14,12.42,,,,,
1990-03-15,12.53,,,,,
1990-03-16,12.61,,,,,
1990-03-19,12.52,,,,,
1990-03-20,12.48,,,,,
1990-03-21,12.39,,,,,
1990-03-22,12.28,,,,,
1990-03-23,12.27,,,,,
1990-03-26,12.08,,,,,
1990-03-27,11.89,,,,,
1990-03-28,11.92,,,,,
1990-03-29,11.73,,,,,
1990-03-30,11.7,,,,,
1990-04-02,11.69,,,,,
1990-04-03,11.8,,,,,
1990-04-04,11.66,,,,,
1990-04-05,11.61,,,,,
1990-04-06,11.61,,,,,
1990-04-09,11.61,,,,,
1990-04-10,11.7,,,,,
1990-04-11,11.75,,,,,
1990-04-12,11.84,,,,,
1990-04-16,11.83,,,,,
1990-04-17,11.8,,,,,
1990-04-18,11.63,,,,,
1990-04-19,11.48,,,,,
1990-04-20,11.25,,,,,
1990-04-23,11.06,,,,,
1990-04-24,11.0,,,,,
1990-04-25,10.97,,,,,
1990-04-26,11.05,,,,,
1990-04-27,10.7,,,,,
1990-04-30,10.89,,,,,
1990-05-01,10.95,,,,,
1990-05-02,10.97,,,,,
1990-05-03,10.8,,,,,
1990-05-04,10.81,,,,,
1990-05-07,10.97,,,,,
1990-05-08,11.06,,,,,
1990-05-09,11.02,,,,,
1990-05-10,11.03,,,,,
1990-05-11,11.22,,,,,
1990-05-14,11.34,,,,,
1990-05-15,11.59,,,,,
1990-05-16,11.63,,,,,
1990-05-17,11.75,,,,,
1990-05-18,11.67,,,,,
1990-05-21,11.8,,,,,
1990-05-22,11.89,,,,,
1990-05-23,12.02,,,,,
1990-05-24,11.98,,,,,
1990-05-25,11.83,,,,,
1990-05-29,11.97,,,,,
1990-05-30,11.94,,,,,
1990-05-31,12.0,,,,,
1990-06-01,12.19,,,,,
1990-06-04,12.25,,,,,
1990-06-05,12.25,,,,,
1990-06-06,12.63,,,,,
1990-06-07,12.31,,,,,
1990-06-08,12.16,,,,,
1990-06-11,12.09,,,,,
1990-06-12,12.06,,,,,
1990-06-13,12.19,,,,,
1990-06-14,11.94,,,,,
1990-06-15,11.94,,,,,
1990-06-18,11.75,,,,,
1990-06-19,11.78,,,,,
1990-06-20,11.63,,,,,
1990-06-21,11.59,,,,,
1990-06-22,11.44,,,,,
1990-06-25,11.28,,,,,
1990-06-26,11.25,,,,,
1990-06-27,11.13,,,,,
1990-06-28,11.16,,,,,
1990-06-29,11.19,,,,,
1990-07-02,11.19,,,,,
1990-07-03,11.34,,,,,
1990-07-05,11.09,,,,,
1990-07-06,11.34,,,,,
1990-07-09,11.25,,,,,
1990-07-10,11.09,,,,,
1990-07-11,11.34,,,,,
1990-07-12,11.63,,,,,
1990-07-13,11.69,,,,,
1990-07-16,11.94,,,,,
1990-07-17,12.0,,,,,
1990-07-18,11.84,,,,,
1990-07-19,11.69,,,,,
1990-07-20,11.72,,,,,
1990-07-23,11.34,,,,,
1990-07-24,11.19,,,,,
1990-07-25,11.25,,,,,
1990-07-26,11.38,,,,,
1990-07-27,11.22,,,,,
1990-07-30,11.34,,,,,
1990-07-31,11.34,,,,,
1990-08-01,11.19,,,,,
1990-08-02,11.16,,,,,
1990-08-03,10.84,,,,,
1990-08-06,10.47,,,,,
1990-08-07,10.75,,,,,
1990-08-08,10.88,,,,,
1990-08-09,10.88,,,,,
1990-08-10,10.75,,,,,
1990-08-13,10.78,,,,,
1990-08-14,10.81,,,,,
1990-08-15,10.97,,,,,
1990-08-16,10.72,,,,,
1990-08-17,10.56,,,,,
1990-08-20,10.5,,,,,
1990-08-21,10.25,,,,,
1990-08-22,10.34,,,,,
1990-08-23,10.16,,,,,
1990-08-24,10.22,,,,,
1990-08-27,10.38,,,,,
1990-08-28,10.38,,,,,
1990-08-29,10.56,,,,,
1990-08-30,10.63,,,,,
1990-08-31,10.81,,,,,
1990-09-04,10.75,,,,,
1990-09-05,10.75,,,,,
1990-09-06,10.72,,,,,
1990-09-07,10.88,,,,,
1990-09-10,10.81,,,,,
1990-09-11,10.72,,,,,
1990-09-12,10.56,,,,,
1990-09-13,10.47,,,,,
1990-09-14,10.25,,,,,
1990-09-17,10.16,,,,,
1990-09-18,10.19,,,,,
1990-09-19,10.06,,,,,
1990-09-20,10.03,,,,,
1990-09-21,9.91,,,,,
1990-09-24,9.59,,,,,
1990-09-25,9.66,,,,,
1990-09-26,9.38,,,,,
1990-09-27,9.38,,,,,
1990-09-28,9.81,,,,,
1990-10-01,10.03,,,,,
1990-10-02,10.0,,,,,
1990-10-03,9.84,,,,,
1990-10-04,9.63,,,,,
1990-10-05,9.19,,,,,
1990-10-08,9.25,,,,,
1990-10-09,8.97,,,,,
1990-10-10,8.88,,,,,
1990-10-11,8.75,,,,,
1990-10-12,8.94,,,,,
1990-10-15,9.25,,,,,
1990-10-16,9.03,,,,,
1990-10-17,8.97,,,,,
1990-10-18,9.19,,,,,
1990-10-19,9.5,,,,,
1990-10-22,9.84,,,,,
1990-10-23,10.47,,,,,
1990-10-24,10.56,,,,,
1990-10-25,10.53,,,,,
1990-10-26,10.06,,,,,
1990-10-29,9.63,,,,,
1990-10-30,9.97,,,,,
1990-10-31,10.28,,,,,
1990-11-01,10.34,,,,,
1990-11-02,11.06,,,,,
1990-11-05,11.34,,,,,
1990-11-06,11.5,,,,,
1990-11-07,11.16,,,,,
1990-11-08,11.22,,,,,
1990-11-09,11.34,,,,,
1990-11-12,11.75,,,,,
1990-11-13,12.03,,,,,
1990-11-14,12.25,,,,,
1990-11-15,12.22,,,,,
1990-11-16,12.06,,,,,
1990-11-19,11.91,,,,,
1990-11-20,11.81,,,,,
1990-11-21,11.69,,,,,
1990-11-23,11.56,,,,,
1990-11-26,12.06,,,,,
1990-11-27,12.34,,,,,
1990-11-28,12.22,,,,,
1990-11-29,12.22,,,,,
1990-11-30,12.5,,,,,
1990-12-03,12.38,,,,,
1990-12-04,12.41,,,,,
1990-12-05,12.56,,,,,
1990-12-06,12.66,,,,,
1990-12-07,12.53,,,,,
1990-12-10,12.66,,,,,
1990-12-11,12.81,,,,,
1990-12-12,13.16,,,,,
1990-12-13,13.41,,,,,
1990-12-14,13.25,,,,,
1990-12-17,12.88,,,,,
1990-12-18,13.25,,,,,
1990-12-19,13.47,,,,,
1990-12-20,13.53,,,,,
1990-12-21,13.38,,,,,
1990-12-24,13.25,,,,,
1990-12-26,13.44,,,,,
1990-12-27,13.56,,,,,
1990-12-28,13.63,,,,,
1990-12-31,13.56,,,,,
1991-01-02,13.38,,,,,
1991-01-03,13.13,,,,,
1991-01-04,13.0,,,,,
1991-01-07,12.84,,,,,
1991-01-08,12.59,,,,,
1991-01-09,12.69,,,,,
1991-01-10,12.91,,,,,
1991-01-11,13.16,,,,,
1991-01-14,13.0,,,,,
1991-01-15,13.06,,,,,
1991-01-16,13.16,,,,,
1991-01-17,13.69,,,,,
1991-01-18,13.97,,,,,
1991-01-21,14.22,,,,,
1991-01-22,14.16,,,,,
1991-01-23,14.19,,,,,
1991-01-24,14.38,,,,,
1991-01-25,14.16,,,,,
1991-01-28,13.94,,,,,
1991-01-29,13.94,,,,,
1991-01-30,14.25,,,,,
1991-01-31,15.09,,,,,
1991-02-01,14.97,,,,,
1991-02-04,15.28,,,,,
1991-02-05,15.56,,,,,
1991-02-06,15.91,,,,,
1991-02-07,15.94,,,,,
1991-02-08,15.88,,,,,
1991-02-11,16.5,,,,,
1991-02-12,17.0,,,,,
1991-02-13,17.56,,,,,
1991-02-14,16.97,,,,,
1991-02-15,17.25,,,,,
1991-02-19,17.31,,,,,
1991-02-20,17.13,,,,,
1991-02-21,17.09,,,,,
1991-02-22,17.0,,,,,
1991-02-25,16.38,,,,,
1991-02-26,16.19,,,,,
1991-02-27,16.69,,,,,
1991-02-28,16.72,,,,,
1991-03-01,16.75,,,,,
1991-03-04,16.75,,,,,
1991-03-05,17.0,,,,,
1991-03-06,16.97,,,,,
1991-03-07,17.03,,,,,
1991-03-08,17.34,,,,,
1991-03-11,17.03,,,,,
1991-03-12,17.0,,,,,
1991-03-13,17.5,,,,,
1991-03-14,17.28,,,,,
1991-03-15,16.88,,,,,
1991-03-18,17.03,,,,,
1991-03-19,16.59,,,,,
1991-03-20,16.69,,,,,
1991-03-21,16.66,,,,,
1991-03-22,16.91,,,,,
1991-03-25,17.19,,,,,
1991-03-26,17.94,,,,,
1991-03-27,18.19,,,,,
1991-03-28,17.97,,,,,
1991-04-01,17.84,,,,,
1991-04-02,18.06,,,,,
1991-04-03,18.34,,,,,
1991-04-04,18.75,,,,,
1991-04-05,18.28,,,,,
1991-04-08,18.25,,,,,
1991-04-09,18.28,,,,,
1991-04-10,18.09,,,,,
1991-04-11,17.88,,,,,
1991-04-12,17.53,,,,,
1991-04-15,17.13,,,,,
1991-04-16,17.5,,,,,
1991-04-17,17.72,,,,,
1991-04-18,17.44,,,,,
1991-04-19,17.22,,,,,
1991-04-22,16.88,,,,,
1991-04-23,17.28,,,,,
1991-04-24,17.5,,,,,
1991-04-25,17.28,,,,,
1991-04-26,17.06,,,,,
1991-04-29,16.63,,,,,
1991-04-30,16.66,,,,,
1991-05-01,16.75,,,,,
1991-05-02,16.91,,,,,
1991-05-03,16.59,,,,,
1991-05-06,16.63,,,,,
1991-05-07,16.34,,,,,
1991-05-08,16.34,,,,,
1991-05-09,16.72,,,,,
1991-05-10,16.78,,,,,
1991-05-13,16.69,,,,,
1991-05-14,16.66,,,,,
1991-05-15,16.5,,,,,
1991-05-16,16.53,,,,,
1991-05-17,16.56,,,,,
1991-05-20,16.59,,,,,
1991-05-21,16.5,,,,,
1991-05-22,16.66,,,,,
1991-05-23,16.72,,,,,
1991-05-24,16.91,,,,,
1991-05-28,16.97,,,,,
1991-05-29,16.97,,,,,
