date,MRO,MRO_SHE,PB Ratio
,,0.0,
2003-03-10,,5082000000.0,
2003-06-30,0.0,5082000000.0,0.0
2003-07-01,0.0,5082000000.0,0.0
2003-07-02,0.0,5082000000.0,0.0
2003-07-03,0.0,5082000000.0,0.0
2003-07-07,0.0,5082000000.0,0.0
2003-07-08,0.0,5082000000.0,0.0
2003-07-09,0.0,5082000000.0,0.0
2003-07-10,0.0,5082000000.0,0.0
2003-07-11,0.0,5082000000.0,0.0
2003-07-14,0.0,5082000000.0,0.0
2003-07-15,0.0,5082000000.0,0.0
2003-07-16,0.0,5082000000.0,0.0
2003-07-17,0.0,5082000000.0,0.0
2003-07-18,0.0,5082000000.0,0.0
2003-07-21,0.0,5082000000.0,0.0
2003-07-22,0.0,5082000000.0,0.0
2003-07-23,0.0,5082000000.0,0.0
2003-07-24,0.0,5082000000.0,0.0
2003-07-25,0.0,5082000000.0,0.0
2003-07-28,0.0,5082000000.0,0.0
2003-07-29,0.0,5082000000.0,0.0
2003-07-30,0.0,5082000000.0,0.0
2003-07-31,0.0,5082000000.0,0.0
2003-08-01,0.0,5082000000.0,0.0
2003-08-04,0.0,5082000000.0,0.0
2003-08-05,0.0,5082000000.0,0.0
2003-08-06,0.0,5082000000.0,0.0
2003-08-07,0.0,5082000000.0,0.0
2003-08-08,0.0,5082000000.0,0.0
2003-08-11,0.0,5082000000.0,0.0
2003-08-12,0.0,5082000000.0,0.0
2003-08-13,0.0,5482000000.0,0.0
2003-08-14,0.0,5482000000.0,0.0
2003-08-15,0.0,5482000000.0,0.0
2003-08-18,0.0,5482000000.0,0.0
2003-08-19,0.0,5482000000.0,0.0
2003-08-20,0.0,5482000000.0,0.0
2003-08-21,0.0,5482000000.0,0.0
2003-08-22,0.0,5482000000.0,0.0
2003-08-25,0.0,5482000000.0,0.0
2003-08-26,0.0,5482000000.0,0.0
2003-08-27,0.0,5482000000.0,0.0
2003-08-28,0.0,5482000000.0,0.0
2003-08-29,0.0,5482000000.0,0.0
2003-09-02,0.0,5482000000.0,0.0
2003-09-03,0.0,5482000000.0,0.0
2003-09-04,0.0,5482000000.0,0.0
2003-09-05,0.0,5482000000.0,0.0
2003-09-08,0.0,5482000000.0,0.0
2003-09-09,0.0,5482000000.0,0.0
2003-09-10,0.0,5482000000.0,0.0
2003-09-11,0.0,5482000000.0,0.0
2003-09-12,0.0,5482000000.0,0.0
2003-09-15,0.0,5482000000.0,0.0
2003-09-16,0.0,5482000000.0,0.0
2003-09-17,0.0,5482000000.0,0.0
2003-09-18,0.0,5482000000.0,0.0
2003-09-19,0.0,5482000000.0,0.0
2003-09-22,0.0,5482000000.0,0.0
2003-09-23,0.0,5482000000.0,0.0
2003-09-24,0.0,5482000000.0,0.0
2003-09-25,0.0,5482000000.0,0.0
2003-09-26,0.0,5482000000.0,0.0
2003-09-29,0.0,5482000000.0,0.0
2003-09-30,0.0,5482000000.0,0.0
2003-10-01,0.0,5482000000.0,0.0
2003-10-02,0.0,5482000000.0,0.0
2003-10-03,0.0,5482000000.0,0.0
2003-10-06,0.0,5482000000.0,0.0
2003-10-07,0.0,5482000000.0,0.0
2003-10-08,0.0,5482000000.0,0.0
2003-10-09,0.0,5482000000.0,0.0
2003-10-10,0.0,5482000000.0,0.0
2003-10-13,0.0,5482000000.0,0.0
2003-10-14,0.0,5482000000.0,0.0
2003-10-15,0.0,5482000000.0,0.0
2003-10-16,0.0,5482000000.0,0.0
2003-10-17,0.0,5482000000.0,0.0
2003-10-20,0.0,5482000000.0,0.0
2003-10-21,0.0,5482000000.0,0.0
2003-10-22,0.0,5482000000.0,0.0
2003-10-23,0.0,5482000000.0,0.0
2003-10-24,0.0,5482000000.0,0.0
2003-10-27,0.0,5482000000.0,0.0
2003-10-28,0.0,5482000000.0,0.0
2003-10-29,0.0,5482000000.0,0.0
2003-10-30,0.0,5482000000.0,0.0
2003-10-31,0.0,5482000000.0,0.0
2003-11-03,0.0,5482000000.0,0.0
2003-11-04,0.0,5482000000.0,0.0
2003-11-05,0.0,5482000000.0,0.0
2003-11-06,0.0,5482000000.0,0.0
2003-11-07,0.0,5482000000.0,0.0
2003-11-10,0.0,5482000000.0,0.0
2003-11-11,0.0,5482000000.0,0.0
2003-11-12,0.0,5706000000.0,0.0
2003-11-13,0.0,5706000000.0,0.0
2003-11-14,0.0,5706000000.0,0.0
2003-11-17,0.0,5706000000.0,0.0
2003-11-18,0.0,5706000000.0,0.0
2003-11-19,0.0,5706000000.0,0.0
2003-11-20,0.0,5706000000.0,0.0
2003-11-21,0.0,5706000000.0,0.0
2003-11-24,0.0,5706000000.0,0.0
2003-11-25,0.0,5706000000.0,0.0
2003-11-26,0.0,5706000000.0,0.0
2003-11-28,0.0,5706000000.0,0.0
2003-12-01,0.0,5706000000.0,0.0
2003-12-02,0.0,5706000000.0,0.0
2003-12-03,0.0,5706000000.0,0.0
2003-12-04,0.0,5706000000.0,0.0
2003-12-05,0.0,5706000000.0,0.0
2003-12-08,0.0,5706000000.0,0.0
