date,close price,NVR_SHE,NVR_TA,NVR_TL,market cap,PB Ratio
1985-07-22,30.38,,,,,
1985-07-23,30.13,,,,,
1985-07-24,29.5,,,,,
1985-07-25,30.0,,,,,
1985-07-26,29.88,,,,,
1985-07-29,29.63,,,,,
1985-07-30,29.0,,,,,
1985-07-31,28.13,,,,,
1985-08-01,28.25,,,,,
1985-08-02,28.63,,,,,
1985-08-05,28.75,,,,,
1985-08-06,28.63,,,,,
1985-08-07,28.5,,,,,
1985-08-08,28.63,,,,,
1985-08-09,28.38,,,,,
1985-08-12,28.25,,,,,
1985-08-13,28.25,,,,,
1985-08-14,28.25,,,,,
1985-08-15,28.25,,,,,
1985-08-16,27.75,,,,,
1985-08-19,27.13,,,,,
1985-08-20,27.25,,,,,
1985-08-21,27.13,,,,,
1985-08-22,27.25,,,,,
1985-08-23,27.13,,,,,
1985-08-26,26.75,,,,,
1985-08-27,26.5,,,,,
1985-08-28,27.0,,,,,
1985-08-29,27.25,,,,,
1985-08-30,27.13,,,,,
1985-09-03,27.25,,,,,
1985-09-04,27.0,,,,,
1985-09-05,26.63,,,,,
1985-09-06,26.5,,,,,
1985-09-09,26.13,,,,,
1985-09-10,25.63,,,,,
1985-09-11,24.63,,,,,
1985-09-12,24.38,,,,,
1985-09-13,24.0,,,,,
1985-09-16,24.38,,,,,
1985-09-17,24.38,,,,,
1985-09-18,25.13,,,,,
1985-09-19,25.5,,,,,
1985-09-20,26.0,,,,,
1985-09-23,26.13,,,,,
1985-09-24,26.0,,,,,
1985-09-25,25.75,,,,,
1985-09-26,25.75,,,,,
1985-09-30,25.5,,,,,
1985-10-01,25.5,,,,,
1985-10-02,25.25,,,,,
1985-10-03,26.0,,,,,
1985-10-04,26.25,,,,,
1985-10-07,26.75,,,,,
1985-10-08,26.88,,,,,
1985-10-09,27.0,,,,,
1985-10-10,27.0,,,,,
1985-10-11,27.13,,,,,
1985-10-14,27.0,,,,,
1985-10-15,26.5,,,,,
1985-10-16,27.75,,,,,
1985-10-17,27.38,,,,,
1985-10-18,26.88,,,,,
1985-10-21,27.25,,,,,
1985-10-22,27.25,,,,,
1985-10-23,27.13,,,,,
1985-10-24,26.63,,,,,
1985-10-25,26.5,,,,,
1985-10-28,26.5,,,,,
1985-10-29,26.13,,,,,
1985-10-30,25.75,,,,,
1985-10-31,24.63,,,,,
1985-11-01,24.5,,,,,
1985-11-04,24.25,,,,,
1985-11-05,22.5,,,,,
1985-11-06,22.5,,,,,
1985-11-07,22.75,,,,,
1985-11-08,22.88,,,,,
1985-11-11,23.38,,,,,
1985-11-12,24.25,,,,,
1985-11-13,24.63,,,,,
1985-11-14,24.63,,,,,
1985-11-15,24.63,,,,,
1985-11-18,24.75,,,,,
1985-11-19,25.25,,,,,
1985-11-20,25.75,,,,,
1985-11-21,26.0,,,,,
1985-11-22,26.25,,,,,
1985-11-25,26.13,,,,,
1985-11-26,25.75,,,,,
1985-11-27,25.75,,,,,
1985-11-29,26.0,,,,,
1985-12-02,25.75,,,,,
1985-12-03,25.75,,,,,
1985-12-04,26.13,,,,,
1985-12-05,26.0,,,,,
1985-12-06,26.13,,,,,
1985-12-09,25.88,,,,,
1985-12-10,25.75,,,,,
1985-12-11,25.88,,,,,
1985-12-12,25.88,,,,,
1985-12-13,26.38,,,,,
1985-12-16,26.88,,,,,
1985-12-17,26.75,,,,,
1985-12-18,26.63,,,,,
1985-12-19,26.38,,,,,
1985-12-20,26.88,,,,,
1985-12-23,26.63,,,,,
1985-12-24,26.5,,,,,
1985-12-26,26.13,,,,,
1985-12-27,26.25,,,,,
1985-12-30,26.5,,,,,
1985-12-31,27.0,,,,,
1986-01-02,27.25,,,,,
1986-01-03,27.88,,,,,
1986-01-06,27.63,,,,,
1986-01-07,28.25,,,,,
1986-01-08,28.13,,,,,
1986-01-09,27.75,,,,,
1986-01-10,26.5,,,,,
1986-01-13,26.5,,,,,
1986-01-14,26.25,,,,,
1986-01-15,27.75,,,,,
1986-01-16,27.5,,,,,
1986-01-17,27.5,,,,,
1986-01-20,27.63,,,,,
1986-01-21,27.63,,,,,
1986-01-22,27.25,,,,,
1986-01-23,27.38,,,,,
1986-01-24,27.5,,,,,
1986-01-27,27.75,,,,,
1986-01-28,27.63,,,,,
1986-01-29,28.13,,,,,
1986-01-30,28.5,,,,,
1986-01-31,29.63,,,,,
1986-02-03,29.75,,,,,
1986-02-04,29.75,,,,,
1986-02-05,29.75,,,,,
1986-02-06,30.0,,,,,
1986-02-07,30.38,,,,,
1986-02-10,29.88,,,,,
1986-02-11,30.0,,,,,
1986-02-12,29.75,,,,,
1986-02-13,30.0,,,,,
1986-02-14,30.25,,,,,
1986-02-18,30.13,,,,,
1986-02-19,31.38,,,,,
1986-02-20,32.63,,,,,
1986-02-21,34.63,,,,,
1986-02-24,35.75,,,,,
1986-02-25,35.0,,,,,
1986-02-26,35.25,,,,,
1986-02-27,35.63,,,,,
1986-02-28,35.63,,,,,
1986-03-03,35.38,,,,,
1986-03-04,36.0,,,,,
1986-03-05,35.63,,,,,
1986-03-06,36.25,,,,,
1986-03-07,36.75,,,,,
1986-03-10,37.38,,,,,
1986-03-11,40.25,,,,,
1986-03-12,40.63,,,,,
1986-03-13,40.13,,,,,
1986-03-14,40.38,,,,,
1986-03-17,40.25,,,,,
1986-03-18,40.5,,,,,
1986-03-19,40.0,,,,,
1986-03-20,37.88,,,,,
1986-03-21,38.75,,,,,
1986-03-24,37.75,,,,,
1986-03-25,37.63,,,,,
1986-03-26,39.75,,,,,
1986-03-27,41.75,,,,,
1986-03-31,45.0,,,,,
1986-04-01,44.13,,,,,
1986-04-02,43.75,,,,,
1986-04-03,43.25,,,,,
1986-04-04,41.75,,,,,
1986-04-07,40.88,,,,,
1986-04-08,42.13,,,,,
1986-04-09,43.13,,,,,
1986-04-10,43.38,,,,,
1986-04-11,43.25,,,,,
1986-04-14,43.0,,,,,
1986-04-15,42.75,,,,,
1986-04-16,42.75,,,,,
1986-04-17,42.63,,,,,
1986-04-18,41.88,,,,,
1986-04-21,40.5,,,,,
1986-04-22,40.75,,,,,
1986-04-23,41.13,,,,,
1986-04-24,40.75,,,,,
1986-04-25,40.38,,,,,
1986-04-28,39.0,,,,,
1986-04-29,37.38,,,,,
1986-04-30,37.75,,,,,
1986-05-01,37.38,,,,,
1986-05-02,37.25,,,,,
1986-05-05,37.5,,,,,
1986-05-06,37.25,,,,,
1986-05-07,37.63,,,,,
1986-05-08,37.75,,,,,
1986-05-09,37.75,,,,,
1986-05-12,38.25,,,,,
1986-05-13,38.75,,,,,
1986-05-14,38.88,,,,,
1986-05-15,38.75,,,,,
1986-05-16,38.63,,,,,
1986-05-19,38.63,,,,,
1986-05-20,38.88,,,,,
1986-05-21,39.0,,,,,
1986-05-22,40.75,,,,,
1986-05-23,40.63,,,,,
1986-05-27,40.88,,,,,
1986-05-28,40.25,,,,,
1986-05-29,39.25,,,,,
1986-05-30,39.13,,,,,
1986-06-02,38.5,,,,,
1986-06-03,36.75,,,,,
1986-06-04,35.5,,,,,
1986-06-05,35.38,,,,,
1986-06-06,34.75,,,,,
1986-06-09,33.0,,,,,
1986-06-10,34.0,,,,,
1986-06-11,34.75,,,,,
1986-06-12,35.25,,,,,
1986-06-13,35.25,,,,,
1986-06-16,35.5,,,,,
1986-06-17,34.75,,,,,
1986-06-18,33.88,,,,,
1986-06-19,34.0,,,,,
1986-06-20,34.38,,,,,
1986-06-23,34.0,,,,,
1986-06-24,33.38,,,,,
1986-06-25,31.13,,,,,
1986-06-26,34.25,,,,,
1986-06-27,33.75,,,,,
1986-06-30,34.75,,,,,
1986-07-01,34.25,,,,,
1986-07-02,34.13,,,,,
1986-07-03,34.75,,,,,
1986-07-07,33.75,,,,,
1986-07-08,33.0,,,,,
1986-07-09,33.25,,,,,
1986-07-10,33.25,,,,,
1986-07-11,33.75,,,,,
1986-07-14,33.75,,,,,
1986-07-15,33.63,,,,,
1986-07-16,34.5,,,,,
1986-07-17,35.75,,,,,
1986-07-18,35.0,,,,,
1986-07-21,35.13,,,,,
1986-07-22,35.25,,,,,
1986-07-23,34.5,,,,,
1986-07-24,34.0,,,,,
1986-07-25,34.0,,,,,
1986-07-28,33.5,,,,,
1986-07-29,32.0,,,,,
1986-07-30,31.0,,,,,
1986-07-31,31.75,,,,,
1986-08-01,32.75,,,,,
