date,close price,TFX_SHE,TFX_TA,TFX_TL,market cap,PB Ratio
1980-03-17,1.53,,,,,
1980-03-18,1.53,,,,,
1980-03-19,1.53,,,,,
1980-03-20,1.53,,,,,
1980-03-21,1.28,,,,,
1980-03-24,1.22,,,,,
1980-03-25,1.17,,,,,
1980-03-26,1.15,,,,,
1980-03-27,1.11,,,,,
1980-03-28,1.23,,,,,
1980-03-31,1.37,,,,,
1980-04-01,1.4,,,,,
1980-04-02,1.42,,,,,
1980-04-03,1.4,,,,,
1980-04-07,1.32,,,,,
1980-04-08,1.36,,,,,
1980-04-09,1.38,,,,,
1980-04-10,1.38,,,,,
1980-04-11,1.35,,,,,
1980-04-14,1.33,,,,,
1980-04-15,1.32,,,,,
1980-04-16,1.3,,,,,
1980-04-17,1.26,,,,,
1980-04-18,1.24,,,,,
1980-04-21,1.17,,,,,
1980-04-22,1.28,,,,,
1980-04-23,1.25,,,,,
1980-04-24,1.31,,,,,
1980-04-25,1.28,,,,,
1980-04-28,1.31,,,,,
1980-04-29,1.35,,,,,
1980-04-30,1.36,,,,,
1980-05-01,1.34,,,,,
1980-05-02,1.33,,,,,
1980-05-05,1.3,,,,,
1980-05-06,1.28,,,,,
1980-05-07,1.28,,,,,
1980-05-08,1.24,,,,,
1980-05-09,1.24,,,,,
1980-05-12,1.22,,,,,
1980-05-13,1.24,,,,,
1980-05-14,1.26,,,,,
1980-05-15,1.24,,,,,
1980-05-16,1.24,,,,,
1980-05-19,1.2,,,,,
1980-05-20,1.22,,,,,
1980-05-21,1.23,,,,,
1980-05-22,1.28,,,,,
1980-05-23,1.28,,,,,
1980-05-27,1.36,,,,,
1980-05-28,1.46,,,,,
1980-05-29,1.43,,,,,
1980-05-30,1.42,,,,,
1980-06-02,1.38,,,,,
1980-06-03,1.37,,,,,
1980-06-04,1.39,,,,,
1980-06-05,1.4,,,,,
1980-06-06,1.42,,,,,
1980-06-09,1.4,,,,,
1980-06-10,1.4,,,,,
1980-06-11,1.41,,,,,
1980-06-12,1.41,,,,,
1980-06-13,1.42,,,,,
1980-06-16,1.43,,,,,
1980-06-17,1.4,,,,,
1980-06-18,1.38,,,,,
1980-06-19,1.38,,,,,
1980-06-20,1.35,,,,,
1980-06-23,1.35,,,,,
1980-06-24,1.35,,,,,
1980-06-25,1.38,,,,,
1980-06-26,1.35,,,,,
1980-06-27,1.38,,,,,
1980-06-30,1.37,,,,,
1980-07-01,1.38,,,,,
1980-07-02,1.36,,,,,
1980-07-03,1.4,,,,,
1980-07-07,1.41,,,,,
1980-07-08,1.4,,,,,
1980-07-09,1.39,,,,,
1980-07-10,1.36,,,,,
1980-07-11,1.37,,,,,
1980-07-14,1.49,,,,,
1980-07-15,1.58,,,,,
1980-07-16,1.61,,,,,
1980-07-17,1.63,,,,,
1980-07-18,1.59,,,,,
1980-07-21,1.64,,,,,
1980-07-22,1.65,,,,,
1980-07-23,1.67,,,,,
1980-07-24,1.68,,,,,
1980-07-25,1.67,,,,,
1980-07-28,1.67,,,,,
1980-07-29,1.78,,,,,
1980-07-30,1.89,,,,,
1980-07-31,1.84,,,,,
1980-08-01,1.88,,,,,
1980-08-04,1.83,,,,,
1980-08-05,1.8,,,,,
1980-08-06,1.83,,,,,
1980-08-07,1.9,,,,,
1980-08-08,1.94,,,,,
1980-08-11,1.97,,,,,
1980-08-12,1.91,,,,,
1980-08-13,1.91,,,,,
1980-08-14,1.9,,,,,
1980-08-15,1.86,,,,,
1980-08-18,1.83,,,,,
1980-08-19,1.79,,,,,
1980-08-20,1.81,,,,,
1980-08-21,1.91,,,,,
1980-08-22,1.99,,,,,
1980-08-25,1.97,,,,,
1980-08-26,1.94,,,,,
1980-08-27,1.94,,,,,
1980-08-28,1.9,,,,,
1980-08-29,1.91,,,,,
