date,close price,OXY_SHE,OXY_TA,OXY_TL,market cap,PB Ratio
1989-09-19,14.37,,,,,
1989-09-20,14.25,,,,,
1989-09-21,14.31,,,,,
1989-09-22,14.13,,,,,
1989-09-25,14.13,,,,,
1989-09-26,14.13,,,,,
1989-09-27,14.19,,,,,
1989-09-28,14.31,,,,,
1989-09-29,14.25,,,,,
1989-10-02,14.37,,,,,
1989-10-03,14.31,,,,,
1989-10-04,14.19,,,,,
1989-10-05,14.07,,,,,
1989-10-06,14.13,,,,,
1989-10-09,14.25,,,,,
1989-10-10,14.13,,,,,
1989-10-11,14.31,,,,,
1989-10-12,14.19,,,,,
1989-10-13,12.93,,,,,
1989-10-16,13.77,,,,,
1989-10-17,13.59,,,,,
1989-10-18,13.71,,,,,
1989-10-19,13.71,,,,,
1989-10-20,13.89,,,,,
1989-10-23,13.65,,,,,
1989-10-24,13.47,,,,,
1989-10-25,13.41,,,,,
1989-10-26,13.29,,,,,
1989-10-27,13.29,,,,,
1989-10-30,13.41,,,,,
1989-10-31,13.41,,,,,
1989-11-01,13.35,,,,,
1989-11-02,13.35,,,,,
1989-11-03,13.35,,,,,
1989-11-06,13.17,,,,,
1989-11-07,13.17,,,,,
1989-11-08,13.35,,,,,
1989-11-09,13.41,,,,,
1989-11-10,14.85,,,,,
1989-11-13,13.89,,,,,
1989-11-14,13.71,,,,,
1989-11-15,14.43,,,,,
1989-11-16,14.37,,,,,
1989-11-17,14.37,,,,,
1989-11-20,14.31,,,,,
1989-11-21,14.25,,,,,
1989-11-22,14.31,,,,,
1989-11-24,14.37,,,,,
1989-11-27,14.31,,,,,
1989-11-28,14.37,,,,,
1989-11-29,14.31,,,,,
1989-11-30,14.61,,,,,
1989-12-01,14.49,,,,,
1989-12-04,14.55,,,,,
1989-12-05,14.07,,,,,
1989-12-06,14.13,,,,,
1989-12-07,14.13,,,,,
1989-12-08,14.13,,,,,
1989-12-11,14.19,,,,,
1989-12-12,14.55,,,,,
1989-12-13,14.37,,,,,
1989-12-14,14.19,,,,,
1989-12-15,14.31,,,,,
1989-12-18,13.95,,,,,
1989-12-19,13.95,,,,,
1989-12-20,13.89,,,,,
1989-12-21,14.01,,,,,
1989-12-22,13.95,,,,,
1989-12-26,13.95,,,,,
1989-12-27,13.95,,,,,
1989-12-28,14.01,,,,,
1989-12-29,14.19,,,,,
1990-01-02,14.31,,,,,
1990-01-03,14.31,,,,,
