date,close price,TXT_SHE,TXT_TA,TXT_TL,market cap,PB Ratio
1989-09-19,6.72,,,,,
1989-09-20,6.78,,,,,
1989-09-21,6.94,,,,,
1989-09-22,7.0,,,,,
1989-09-25,6.91,,,,,
1989-09-26,6.91,,,,,
1989-09-27,6.84,,,,,
1989-09-28,6.72,,,,,
1989-09-29,6.75,,,,,
1989-10-02,6.84,,,,,
1989-10-03,6.94,,,,,
1989-10-04,6.88,,,,,
1989-10-05,6.91,,,,,
1989-10-06,6.78,,,,,
1989-10-09,6.97,,,,,
1989-10-10,6.91,,,,,
1989-10-11,6.97,,,,,
1989-10-12,6.97,,,,,
1989-10-13,6.13,,,,,
1989-10-16,6.66,,,,,
1989-10-17,6.56,,,,,
1989-10-18,6.56,,,,,
1989-10-19,6.59,,,,,
1989-10-20,6.47,,,,,
1989-10-23,6.47,,,,,
1989-10-24,6.22,,,,,
1989-10-25,6.38,,,,,
1989-10-26,6.28,,,,,
1989-10-27,6.16,,,,,
1989-10-30,6.13,,,,,
1989-10-31,6.28,,,,,
1989-11-01,6.25,,,,,
1989-11-02,6.13,,,,,
1989-11-03,6.13,,,,,
1989-11-06,6.03,,,,,
1989-11-07,6.0,,,,,
1989-11-08,5.94,,,,,
1989-11-09,6.0,,,,,
1989-11-10,6.13,,,,,
1989-11-13,6.13,,,,,
1989-11-14,6.16,,,,,
1989-11-15,6.09,,,,,
1989-11-16,6.06,,,,,
1989-11-17,6.09,,,,,
1989-11-20,5.84,,,,,
1989-11-21,5.75,,,,,
1989-11-22,5.91,,,,,
1989-11-24,6.03,,,,,
1989-11-27,6.06,,,,,
1989-11-28,6.13,,,,,
1989-11-29,6.16,,,,,
1989-11-30,6.25,,,,,
1989-12-01,6.25,,,,,
1989-12-04,6.16,,,,,
1989-12-05,6.03,,,,,
1989-12-06,6.06,,,,,
1989-12-07,5.94,,,,,
1989-12-08,5.94,,,,,
1989-12-11,5.91,,,,,
1989-12-12,5.97,,,,,
1989-12-13,6.0,,,,,
1989-12-14,6.06,,,,,
1989-12-15,6.13,,,,,
1989-12-18,6.09,,,,,
1989-12-19,5.91,,,,,
1989-12-20,6.0,,,,,
1989-12-21,6.03,,,,,
1989-12-22,5.94,,,,,
1989-12-26,5.94,,,,,
1989-12-27,6.03,,,,,
1989-12-28,6.03,,,,,
1989-12-29,6.16,,,,,
1990-01-02,6.25,,,,,
1990-01-03,6.06,,,,,
1990-01-04,6.09,,,,,
1990-01-05,6.22,,,,,
1990-01-08,6.03,,,,,
1990-01-09,5.94,,,,,
1990-01-10,5.91,,,,,
1990-01-11,5.94,,,,,
1990-01-12,5.69,,,,,
1990-01-15,5.72,,,,,
1990-01-16,5.75,,,,,
1990-01-17,5.81,,,,,
