date,close price,VFC_SHE,VFC_TA,VFC_TL,market cap,PB Ratio
1989-09-19,4.16,,,,,
1989-09-20,4.16,,,,,
1989-09-21,4.18,,,,,
1989-09-22,4.19,,,,,
1989-09-25,4.18,,,,,
1989-09-26,4.19,,,,,
1989-09-27,4.19,,,,,
1989-09-28,4.21,,,,,
1989-09-29,4.18,,,,,
1989-10-02,4.24,,,,,
1989-10-03,4.3,,,,,
1989-10-04,4.24,,,,,
1989-10-05,4.24,,,,,
1989-10-06,4.25,,,,,
1989-10-09,4.27,,,,,
1989-10-10,4.3,,,,,
1989-10-11,4.3,,,,,
1989-10-12,4.28,,,,,
1989-10-13,4.12,,,,,
1989-10-16,4.03,,,,,
1989-10-17,4.0,,,,,
1989-10-18,4.0,,,,,
1989-10-19,4.0,,,,,
1989-10-20,3.96,,,,,
1989-10-23,3.97,,,,,
1989-10-24,3.99,,,,,
1989-10-25,3.94,,,,,
1989-10-26,3.84,,,,,
1989-10-27,3.84,,,,,
1989-10-30,3.84,,,,,
1989-10-31,3.88,,,,,
1989-11-01,3.94,,,,,
1989-11-02,3.84,,,,,
1989-11-03,3.8,,,,,
1989-11-06,3.69,,,,,
1989-11-07,3.72,,,,,
1989-11-08,3.81,,,,,
1989-11-09,3.69,,,,,
1989-11-10,3.74,,,,,
1989-11-13,3.9,,,,,
1989-11-14,3.83,,,,,
1989-11-15,3.8,,,,,
1989-11-16,3.77,,,,,
1989-11-17,3.75,,,,,
1989-11-20,3.78,,,,,
1989-11-21,3.91,,,,,
1989-11-22,3.91,,,,,
1989-11-24,3.91,,,,,
1989-11-27,3.91,,,,,
1989-11-28,3.88,,,,,
1989-11-29,3.77,,,,,
1989-11-30,3.88,,,,,
1989-12-01,3.88,,,,,
1989-12-04,3.87,,,,,
1989-12-05,3.94,,,,,
1989-12-06,3.91,,,,,
1989-12-07,3.88,,,,,
1989-12-08,3.81,,,,,
1989-12-11,3.78,,,,,
1989-12-12,3.81,,,,,
1989-12-13,3.78,,,,,
1989-12-14,3.78,,,,,
1989-12-15,3.81,,,,,
1989-12-18,3.75,,,,,
1989-12-19,3.71,,,,,
1989-12-20,3.58,,,,,
1989-12-21,3.65,,,,,
1989-12-22,3.6,,,,,
1989-12-26,3.56,,,,,
1989-12-27,3.63,,,,,
1989-12-28,3.77,,,,,
1989-12-29,3.75,,,,,
1990-01-02,4.02,,,,,
1990-01-03,3.97,,,,,
1990-01-04,3.97,,,,,
1990-01-05,4.0,,,,,
1990-01-08,3.93,,,,,
1990-01-09,3.75,,,,,
1990-01-10,3.81,,,,,
1990-01-11,3.87,,,,,
1990-01-12,3.71,,,,,
1990-01-15,3.74,,,,,
1990-01-16,3.77,,,,,
1990-01-17,3.65,,,,,
1990-01-18,3.71,,,,,
1990-01-19,3.63,,,,,
1990-01-22,3.47,,,,,
1990-01-23,3.53,,,,,
