date,close price,ALLE_SHE,ALLE_TA,ALLE_TL,market cap,PB Ratio
2013-11-18,48.48,,,,,
2013-11-19,45.8,,,,,
2013-11-20,44.65,,,,,
2013-11-21,43.79,,,,,
2013-11-22,43.99,,,,,
2013-11-25,44.18,,,,,
2013-11-26,43.2,,,,,
2013-11-27,43.24,,,,,
2013-11-29,43.24,,,,,
2013-12-02,43.14,,,,,
2013-12-03,42.9,,,,,
2013-12-04,41.83,,,,,
2013-12-05,41.05,,,,,
2013-12-06,40.7,,,,,
2013-12-09,41.18,,,,,
2013-12-10,42.56,,,,,
2013-12-11,42.46,,,,,
2013-12-12,42.97,,,,,
2013-12-13,43.25,,,,,
2013-12-16,43.69,,,,,
2013-12-17,43.75,,,,,
2013-12-18,44.27,,,,,
2013-12-19,44.45,,,,,
2013-12-20,44.26,,,,,
2013-12-23,44.65,,,,,
2013-12-24,44.58,,,,,
2013-12-26,44.7,,,,,
2013-12-27,44.64,,,,,
2013-12-30,44.12,,,,,
2013-12-31,44.19,,,,,
2014-01-02,43.65,,,,,
2014-01-03,43.96,,,,,
2014-01-06,43.68,,,,,
2014-01-07,43.87,,,,,
2014-01-08,43.88,,,,,
2014-01-09,44.13,,,,,
2014-01-10,45.73,,,,,
2014-01-13,47.04,,,,,
2014-01-14,47.8,,,,,
2014-01-15,47.5,,,,,
2014-01-16,47.4,,,,,
2014-01-17,48.0,,,,,
2014-01-21,48.17,,,,,
2014-01-22,48.51,,,,,
2014-01-23,47.72,,,,,
2014-01-24,46.84,,,,,
2014-01-27,46.6,,,,,
2014-01-28,47.73,,,,,
2014-01-29,47.78,,,,,
2014-01-30,49.42,,,,,
2014-01-31,49.35,,,,,
2014-02-03,47.44,,,,,
2014-02-04,48.05,,,,,
2014-02-05,47.6,,,,,
2014-02-06,49.24,,,,,
2014-02-07,49.94,,,,,
2014-02-10,49.84,,,,,
2014-02-11,49.89,,,,,
2014-02-12,50.0,,,,,
2014-02-13,50.12,,,,,
2014-02-14,49.63,,,,,
2014-02-18,50.11,,,,,
2014-02-19,49.16,,,,,
2014-02-20,51.52,,,,,
2014-02-21,52.37,,,,,
2014-02-24,52.86,,,,,
2014-02-25,54.56,,,,,
2014-02-26,54.66,,,,,
2014-02-27,55.35,,,,,
2014-02-28,54.35,,,,,
2014-03-03,53.49,,,,,
2014-03-04,54.0,,,,,
2014-03-05,53.95,,,,,
2014-03-06,53.19,,,,,
2014-03-07,53.39,,,,,
2014-03-10,53.29,-86000000.0,1979000000.0,2035000000.0,,
2014-03-11,54.5,-86000000.0,1979000000.0,2035000000.0,,
2014-03-12,54.28,-86000000.0,1979000000.0,2035000000.0,,
2014-03-13,53.6,-86000000.0,1979000000.0,2035000000.0,,
2014-03-14,53.3,-86000000.0,1979000000.0,2035000000.0,,
2014-03-17,52.96,-86000000.0,1979000000.0,2035000000.0,,
2014-03-18,53.28,-86000000.0,1979000000.0,2035000000.0,,
2014-03-19,53.28,-86000000.0,1979000000.0,2035000000.0,,
2014-03-20,54.17,-86000000.0,1979000000.0,2035000000.0,,
2014-03-21,53.81,-86000000.0,1979000000.0,2035000000.0,,
2014-03-24,53.47,-86000000.0,1979000000.0,2035000000.0,,
2014-03-25,53.21,-86000000.0,1979000000.0,2035000000.0,,
2014-03-26,52.04,-86000000.0,1979000000.0,2035000000.0,,
2014-03-27,51.45,-86000000.0,1979000000.0,2035000000.0,,
2014-03-28,52.16,-86000000.0,1979000000.0,2035000000.0,,
2014-03-31,52.17,-86000000.0,1979000000.0,2035000000.0,5081358000.0,-59.08555813953488
