date,close price,EFX_SHE,EFX_TA,EFX_TL,market cap,PB Ratio
1980-03-17,0.77,,,,,
1980-03-18,0.75,,,,,
1980-03-19,0.75,,,,,
1980-03-20,0.76,,,,,
1980-03-21,0.74,,,,,
1980-03-24,0.74,,,,,
1980-03-25,0.73,,,,,
1980-03-26,0.73,,,,,
1980-03-27,0.73,,,,,
1980-03-28,0.72,,,,,
1980-03-31,0.72,,,,,
1980-04-01,0.73,,,,,
1980-04-02,0.73,,,,,
1980-04-03,0.73,,,,,
1980-04-07,0.71,,,,,
1980-04-08,0.72,,,,,
1980-04-09,0.72,,,,,
1980-04-10,0.72,,,,,
1980-04-11,0.72,,,,,
1980-04-14,0.72,,,,,
1980-04-15,0.73,,,,,
1980-04-16,0.74,,,,,
1980-04-17,0.73,,,,,
1980-04-18,0.72,,,,,
1980-04-21,0.72,,,,,
1980-04-22,0.72,,,,,
1980-04-23,0.76,,,,,
1980-04-24,0.77,,,,,
1980-04-25,0.77,,,,,
1980-04-28,0.81,,,,,
1980-04-29,0.8,,,,,
1980-04-30,0.83,,,,,
1980-05-01,0.89,,,,,
1980-05-02,0.92,,,,,
1980-05-05,0.91,,,,,
1980-05-06,0.89,,,,,
1980-05-07,0.9,,,,,
1980-05-08,0.91,,,,,
1980-05-09,0.9,,,,,
1980-05-12,0.9,,,,,
1980-05-13,0.89,,,,,
1980-05-14,0.9,,,,,
1980-05-15,0.91,,,,,
1980-05-16,0.91,,,,,
1980-05-19,0.88,,,,,
1980-05-20,0.88,,,,,
1980-05-21,0.87,,,,,
1980-05-22,0.88,,,,,
1980-05-23,0.88,,,,,
1980-05-27,0.88,,,,,
1980-05-28,0.88,,,,,
1980-05-29,0.89,,,,,
1980-05-30,0.89,,,,,
1980-06-02,0.88,,,,,
1980-06-03,0.89,,,,,
1980-06-04,0.9,,,,,
1980-06-05,0.9,,,,,
1980-06-06,0.9,,,,,
1980-06-09,0.91,,,,,
1980-06-10,0.91,,,,,
1980-06-11,0.9,,,,,
1980-06-12,0.9,,,,,
1980-06-13,0.91,,,,,
1980-06-16,0.91,,,,,
1980-06-17,0.95,,,,,
