date,close price,COTY_SHE,COTY_TA,COTY_TL,market cap,PB Ratio
2013-06-13,17.36,,,,,
2013-06-14,17.52,,,,,
2013-06-17,17.39,,,,,
2013-06-18,17.3,,,,,
2013-06-19,17.19,,,,,
2013-06-20,16.75,,,,,
2013-06-21,16.99,,,,,
2013-06-24,16.61,,,,,
2013-06-25,16.75,,,,,
2013-06-26,17.02,,,,,
2013-06-27,17.24,,,,,
2013-06-28,17.18,,,,,
2013-07-01,17.18,,,,,
2013-07-02,17.26,,,,,
2013-07-03,17.25,,,,,
2013-07-05,17.26,,,,,
2013-07-08,17.27,,,,,
2013-07-09,17.38,,,,,
2013-07-10,17.39,,,,,
2013-07-11,17.45,,,,,
2013-07-12,17.5,,,,,
2013-07-15,17.18,,,,,
2013-07-16,17.32,,,,,
2013-07-17,17.3,,,,,
2013-07-18,17.15,,,,,
2013-07-19,17.08,,,,,
2013-07-22,16.95,,,,,
2013-07-23,17.06,,,,,
2013-07-24,17.13,,,,,
2013-07-25,17.35,,,,,
2013-07-26,17.11,,,,,
2013-07-29,17.22,,,,,
2013-07-30,17.13,,,,,
2013-07-31,17.19,,,,,
2013-08-01,17.27,,,,,
2013-08-02,17.26,,,,,
2013-08-05,17.48,,,,,
2013-08-06,17.51,,,,,
2013-08-07,17.28,,,,,
2013-08-08,16.81,,,,,
2013-08-09,16.94,,,,,
2013-08-12,16.96,,,,,
2013-08-13,16.59,,,,,
2013-08-14,16.76,,,,,
2013-08-15,16.99,,,,,
2013-08-16,16.89,,,,,
2013-08-19,16.99,,,,,
2013-08-20,16.99,,,,,
2013-08-21,16.84,,,,,
2013-08-22,16.78,,,,,
2013-08-23,16.58,,,,,
2013-08-26,16.53,,,,,
2013-08-27,15.91,,,,,
2013-08-28,15.63,,,,,
2013-08-29,16.01,,,,,
2013-08-30,16.3,,,,,
2013-09-03,16.14,,,,,
2013-09-04,16.21,,,,,
2013-09-05,16.01,,,,,
2013-09-06,15.8,,,,,
2013-09-09,15.56,,,,,
2013-09-10,15.44,,,,,
2013-09-11,15.43,,,,,
2013-09-12,15.41,,,,,
2013-09-13,15.87,,,,,
2013-09-16,16.25,,,,,
2013-09-17,15.64,1494000000.0,6470000000.0,4854000000.0,,
2013-09-18,15.56,1494000000.0,6470000000.0,4854000000.0,,
2013-09-19,15.74,1494000000.0,6470000000.0,4854000000.0,,
2013-09-20,15.85,1494000000.0,6470000000.0,4854000000.0,,
2013-09-23,15.73,1494000000.0,6470000000.0,4854000000.0,,
