date,close price,HSY_SHE,HSY_TA,HSY_TL,market cap,PB Ratio
1980-03-17,0.84,,,,,
1980-03-18,0.85,,,,,
1980-03-19,0.86,,,,,
1980-03-20,0.86,,,,,
1980-03-21,0.85,,,,,
1980-03-24,0.84,,,,,
1980-03-25,0.84,,,,,
1980-03-26,0.84,,,,,
1980-03-27,0.85,,,,,
1980-03-28,0.84,,,,,
1980-03-31,0.88,,,,,
1980-04-01,0.89,,,,,
1980-04-02,0.87,,,,,
1980-04-03,0.85,,,,,
1980-04-07,0.85,,,,,
1980-04-08,0.84,,,,,
1980-04-09,0.85,,,,,
1980-04-10,0.85,,,,,
1980-04-11,0.85,,,,,
1980-04-14,0.86,,,,,
1980-04-15,0.85,,,,,
1980-04-16,0.85,,,,,
1980-04-17,0.85,,,,,
1980-04-18,0.85,,,,,
1980-04-21,0.86,,,,,
1980-04-22,0.84,,,,,
1980-04-23,0.85,,,,,
1980-04-24,0.86,,,,,
1980-04-25,0.87,,,,,
1980-04-28,0.9,,,,,
1980-04-29,0.91,,,,,
1980-04-30,0.9,,,,,
1980-05-01,0.9,,,,,
1980-05-02,0.9,,,,,
1980-05-05,0.92,,,,,
1980-05-06,0.92,,,,,
1980-05-07,0.92,,,,,
1980-05-08,0.92,,,,,
1980-05-09,0.92,,,,,
1980-05-12,0.92,,,,,
1980-05-13,0.93,,,,,
1980-05-14,0.93,,,,,
1980-05-15,0.95,,,,,
1980-05-16,0.94,,,,,
1980-05-19,0.93,,,,,
1980-05-20,0.93,,,,,
1980-05-21,0.95,,,,,
1980-05-22,0.97,,,,,
1980-05-23,0.96,,,,,
1980-05-27,0.94,,,,,
1980-05-28,0.93,,,,,
1980-05-29,0.96,,,,,
1980-05-30,0.96,,,,,
1980-06-02,0.97,,,,,
1980-06-03,0.97,,,,,
1980-06-04,0.96,,,,,
1980-06-05,0.96,,,,,
1980-06-06,0.99,,,,,
1980-06-09,1.02,,,,,
1980-06-10,1.03,,,,,
1980-06-11,1.02,,,,,
1980-06-12,1.0,,,,,
1980-06-13,0.98,,,,,
1980-06-16,0.98,,,,,
1980-06-17,0.97,,,,,
1980-06-18,0.96,,,,,
1980-06-19,0.95,,,,,
1980-06-20,0.93,,,,,
1980-06-23,0.93,,,,,
1980-06-24,0.96,,,,,
1980-06-25,0.96,,,,,
1980-06-26,0.98,,,,,
1980-06-27,0.97,,,,,
1980-06-30,1.0,,,,,
1980-07-01,0.99,,,,,
1980-07-02,0.98,,,,,
1980-07-03,0.98,,,,,
1980-07-07,1.01,,,,,
1980-07-08,1.03,,,,,
1980-07-09,1.08,,,,,
1980-07-10,1.05,,,,,
1980-07-11,1.02,,,,,
1980-07-14,1.04,,,,,
1980-07-15,1.03,,,,,
1980-07-16,1.02,,,,,
1980-07-17,1.01,,,,,
1980-07-18,1.02,,,,,
1980-07-21,1.04,,,,,
1980-07-22,1.04,,,,,
1980-07-23,1.06,,,,,
1980-07-24,1.05,,,,,
1980-07-25,1.05,,,,,
1980-07-28,1.05,,,,,
1980-07-29,1.05,,,,,
1980-07-30,1.04,,,,,
1980-07-31,1.03,,,,,
1980-08-01,1.03,,,,,
1980-08-04,1.04,,,,,
1980-08-05,1.05,,,,,
1980-08-06,1.06,,,,,
1980-08-07,1.07,,,,,
1980-08-08,1.05,,,,,
1980-08-11,1.06,,,,,
1980-08-12,1.07,,,,,
1980-08-13,1.07,,,,,
1980-08-14,1.06,,,,,
1980-08-15,1.07,,,,,
1980-08-18,1.06,,,,,
1980-08-19,1.06,,,,,
1980-08-20,1.06,,,,,
1980-08-21,1.05,,,,,
1980-08-22,1.06,,,,,
1980-08-25,1.06,,,,,
1980-08-26,1.06,,,,,
1980-08-27,1.03,,,,,
1980-08-28,1.04,,,,,
1980-08-29,1.05,,,,,
1980-09-02,1.05,,,,,
1980-09-03,1.05,,,,,
1980-09-04,1.05,,,,,
1980-09-05,1.06,,,,,
1980-09-08,1.06,,,,,
1980-09-09,1.06,,,,,
1980-09-10,1.06,,,,,
1980-09-11,1.06,,,,,
1980-09-12,1.07,,,,,
1980-09-15,1.08,,,,,
1980-09-16,1.07,,,,,
1980-09-17,1.06,,,,,
1980-09-18,1.06,,,,,
1980-09-19,1.06,,,,,
1980-09-22,1.05,,,,,
1980-09-23,1.05,,,,,
1980-09-24,1.04,,,,,
1980-09-25,1.05,,,,,
1980-09-26,1.05,,,,,
1980-09-29,1.03,,,,,
1980-09-30,1.05,,,,,
1980-10-01,1.03,,,,,
1980-10-02,1.04,,,,,
1980-10-03,1.03,,,,,
1980-10-06,1.04,,,,,
1980-10-07,1.05,,,,,
1980-10-08,1.04,,,,,
1980-10-09,1.03,,,,,
1980-10-10,1.03,,,,,
1980-10-13,1.04,,,,,
1980-10-14,1.04,,,,,
1980-10-15,1.04,,,,,
1980-10-16,1.04,,,,,
1980-10-17,1.04,,,,,
1980-10-20,1.04,,,,,
1980-10-21,1.03,,,,,
1980-10-22,1.03,,,,,
1980-10-23,1.02,,,,,
1980-10-24,1.01,,,,,
1980-10-27,1.01,,,,,
1980-10-28,1.0,,,,,
1980-10-29,1.0,,,,,
1980-10-30,1.01,,,,,
1980-10-31,1.02,,,,,
1980-11-03,1.02,,,,,
1980-11-05,1.01,,,,,
1980-11-06,0.97,,,,,
1980-11-07,0.96,,,,,
1980-11-10,0.96,,,,,
1980-11-11,0.98,,,,,
1980-11-12,1.0,,,,,
1980-11-13,1.02,,,,,
1980-11-14,1.01,,,,,
1980-11-17,1.01,,,,,
1980-11-18,0.98,,,,,
1980-11-19,0.97,,,,,
1980-11-20,0.97,,,,,
1980-11-21,0.98,,,,,
1980-11-24,0.98,,,,,
1980-11-25,0.98,,,,,
1980-11-26,0.96,,,,,
1980-11-28,0.95,,,,,
1980-12-01,0.95,,,,,
1980-12-02,0.95,,,,,
1980-12-03,0.94,,,,,
1980-12-04,0.97,,,,,
1980-12-05,0.97,,,,,
1980-12-08,0.93,,,,,
1980-12-09,0.94,,,,,
1980-12-10,0.93,,,,,
1980-12-11,0.93,,,,,
1980-12-12,0.93,,,,,
1980-12-15,0.94,,,,,
1980-12-16,0.93,,,,,
1980-12-17,0.93,,,,,
1980-12-18,0.93,,,,,
1980-12-19,0.92,,,,,
1980-12-22,0.93,,,,,
1980-12-23,0.92,,,,,
1980-12-24,0.93,,,,,
1980-12-26,0.93,,,,,
1980-12-29,0.92,,,,,
1980-12-30,0.93,,,,,
1980-12-31,0.98,,,,,
1981-01-02,1.03,,,,,
1981-01-05,1.02,,,,,
1981-01-06,0.99,,,,,
1981-01-07,0.98,,,,,
1981-01-08,0.98,,,,,
1981-01-09,0.98,,,,,
1981-01-12,1.02,,,,,
1981-01-13,1.02,,,,,
1981-01-14,1.02,,,,,
1981-01-15,1.03,,,,,
1981-01-16,1.01,,,,,
1981-01-19,1.02,,,,,
1981-01-20,0.99,,,,,
1981-01-21,0.97,,,,,
1981-01-22,0.97,,,,,
1981-01-23,0.98,,,,,
1981-01-26,0.99,,,,,
1981-01-27,1.0,,,,,
1981-01-28,0.98,,,,,
1981-01-29,0.99,,,,,
1981-01-30,0.99,,,,,
1981-02-02,0.98,,,,,
1981-02-03,0.98,,,,,
1981-02-04,0.99,,,,,
1981-02-05,0.99,,,,,
1981-02-06,0.98,,,,,
1981-02-09,0.98,,,,,
1981-02-10,0.98,,,,,
1981-02-11,0.98,,,,,
1981-02-12,0.98,,,,,
1981-02-13,0.98,,,,,
1981-02-17,1.01,,,,,
1981-02-18,1.03,,,,,
1981-02-19,1.02,,,,,
1981-02-20,1.03,,,,,
1981-02-23,1.04,,,,,
1981-02-24,1.06,,,,,
1981-02-25,1.07,,,,,
1981-02-26,1.16,,,,,
1981-02-27,1.19,,,,,
1981-03-02,1.15,,,,,
1981-03-03,1.17,,,,,
1981-03-04,1.17,,,,,
1981-03-05,1.2,,,,,
1981-03-06,1.21,,,,,
1981-03-09,1.27,,,,,
1981-03-10,1.27,,,,,
1981-03-11,1.26,,,,,
1981-03-12,1.29,,,,,
1981-03-13,1.32,,,,,
1981-03-16,1.33,,,,,
1981-03-17,1.35,,,,,
1981-03-18,1.36,,,,,
1981-03-19,1.38,,,,,
1981-03-20,1.38,,,,,
1981-03-23,1.36,,,,,
1981-03-24,1.35,,,,,
1981-03-25,1.35,,,,,
1981-03-26,1.33,,,,,
1981-03-27,1.35,,,,,
1981-03-30,1.37,,,,,
1981-03-31,1.35,,,,,
1981-04-01,1.37,,,,,
1981-04-02,1.43,,,,,
1981-04-03,1.45,,,,,
1981-04-06,1.45,,,,,
1981-04-07,1.4,,,,,
1981-04-08,1.39,,,,,
1981-04-09,1.35,,,,,
1981-04-10,1.41,,,,,
1981-04-13,1.41,,,,,
1981-04-14,1.45,,,,,
1981-04-15,1.48,,,,,
1981-04-16,1.49,,,,,
1981-04-20,1.47,,,,,
1981-04-21,1.45,,,,,
1981-04-22,1.44,,,,,
1981-04-23,1.42,,,,,
1981-04-24,1.45,,,,,
1981-04-27,1.49,,,,,
1981-04-28,1.48,,,,,
1981-04-29,1.46,,,,,
