date,close price,CTL_SHE,CTL_TA,CTL_TL,market cap,PB Ratio
1989-09-19,9.41,,,,,
1989-09-20,9.37,,,,,
1989-09-21,9.41,,,,,
1989-09-22,9.44,,,,,
1989-09-25,9.22,,,,,
1989-09-26,9.11,,,,,
1989-09-27,9.11,,,,,
1989-09-28,9.48,,,,,
1989-09-29,9.7,,,,,
1989-10-02,9.67,,,,,
1989-10-03,9.93,,,,,
1989-10-04,9.89,,,,,
1989-10-05,9.96,,,,,
1989-10-06,10.3,,,,,
1989-10-09,10.26,,,,,
1989-10-10,10.22,,,,,
1989-10-11,10.19,,,,,
1989-10-12,10.11,,,,,
1989-10-13,9.67,,,,,
1989-10-16,9.48,,,,,
1989-10-17,9.41,,,,,
1989-10-18,9.67,,,,,
1989-10-19,9.85,,,,,
1989-10-20,10.15,,,,,
1989-10-23,10.0,,,,,
1989-10-24,9.85,,,,,
1989-10-25,9.74,,,,,
1989-10-26,9.7,,,,,
1989-10-27,9.41,,,,,
1989-10-30,9.11,,,,,
1989-10-31,9.15,,,,,
1989-11-01,9.33,,,,,
1989-11-02,9.26,,,,,
1989-11-03,9.19,,,,,
1989-11-06,8.89,,,,,
1989-11-07,8.89,,,,,
1989-11-08,8.96,,,,,
1989-11-09,9.15,,,,,
1989-11-10,9.15,,,,,
1989-11-13,9.26,,,,,
1989-11-14,9.22,,,,,
1989-11-15,9.3,,,,,
1989-11-16,9.11,,,,,
1989-11-17,9.26,,,,,
1989-11-20,9.15,,,,,
1989-11-21,8.93,,,,,
1989-11-22,9.0,,,,,
1989-11-24,8.96,,,,,
1989-11-27,8.96,,,,,
1989-11-28,8.96,,,,,
1989-11-29,9.0,,,,,
1989-11-30,9.59,,,,,
1989-12-01,9.74,,,,,
1989-12-04,9.96,,,,,
1989-12-05,9.96,,,,,
1989-12-06,9.85,,,,,
1989-12-07,9.96,,,,,
1989-12-08,10.04,,,,,
1989-12-11,10.0,,,,,
1989-12-12,9.89,,,,,
1989-12-13,9.96,,,,,
1989-12-14,9.78,,,,,
1989-12-15,9.85,,,,,
1989-12-18,9.78,,,,,
1989-12-19,9.78,,,,,
1989-12-20,9.78,,,,,
1989-12-21,9.78,,,,,
1989-12-22,9.89,,,,,
1989-12-26,10.07,,,,,
1989-12-27,10.26,,,,,
1989-12-28,10.26,,,,,
1989-12-29,10.67,,,,,
1990-01-02,10.56,,,,,
1990-01-03,10.59,,,,,
1990-01-04,10.3,,,,,
1990-01-05,10.26,,,,,
1990-01-08,10.37,,,,,
1990-01-09,10.37,,,,,
1990-01-10,10.07,,,,,
1990-01-11,9.85,,,,,
1990-01-12,9.63,,,,,
1990-01-15,9.22,,,,,
1990-01-16,9.0,,,,,
1990-01-17,8.96,,,,,
1990-01-18,8.81,,,,,
1990-01-19,8.81,,,,,
1990-01-22,8.44,,,,,
1990-01-23,8.07,,,,,
1990-01-24,8.3,,,,,
1990-01-25,8.04,,,,,
1990-01-26,7.59,,,,,
1990-01-29,7.7,,,,,
1990-01-30,7.78,,,,,
1990-01-31,8.19,,,,,
1990-02-01,8.15,,,,,
1990-02-02,8.52,,,,,
1990-02-05,8.63,,,,,
1990-02-06,8.56,,,,,
1990-02-07,8.56,,,,,
1990-02-08,8.52,,,,,
1990-02-09,8.56,,,,,
1990-02-12,8.37,,,,,
1990-02-13,8.37,,,,,
1990-02-14,8.3,,,,,
1990-02-15,8.15,,,,,
1990-02-16,8.07,,,,,
1990-02-20,7.81,,,,,
1990-02-21,7.74,,,,,
1990-02-22,7.59,,,,,
1990-02-23,7.37,,,,,
1990-02-26,7.15,,,,,
1990-02-27,7.52,,,,,
1990-02-28,7.67,,,,,
1990-03-01,8.04,,,,,
1990-03-02,8.19,,,,,
1990-03-05,7.93,,,,,
1990-03-06,8.11,,,,,
1990-03-07,8.22,,,,,
1990-03-08,8.33,,,,,
1990-03-09,8.33,,,,,
1990-03-12,8.3,,,,,
1990-03-13,8.19,,,,,
1990-03-14,8.26,,,,,
1990-03-15,8.19,,,,,
1990-03-16,8.0,,,,,
1990-03-19,7.93,,,,,
1990-03-20,7.59,,,,,
1990-03-21,7.56,,,,,
1990-03-22,7.44,,,,,
1990-03-23,7.44,,,,,
1990-03-26,7.63,,,,,
1990-03-27,7.52,,,,,
1990-03-28,7.52,,,,,
1990-03-29,7.48,,,,,
1990-03-30,7.67,,,,,
1990-04-02,7.7,,,,,
1990-04-03,7.78,,,,,
1990-04-04,7.56,,,,,
1990-04-05,7.7,,,,,
1990-04-06,7.59,,,,,
1990-04-09,7.48,,,,,
1990-04-10,7.37,,,,,
1990-04-11,7.33,,,,,
1990-04-12,7.44,,,,,
1990-04-16,7.48,,,,,
1990-04-17,7.41,,,,,
1990-04-18,7.41,,,,,
1990-04-19,7.33,,,,,
1990-04-20,7.19,,,,,
1990-04-23,7.04,,,,,
1990-04-24,6.89,,,,,
1990-04-25,6.89,,,,,
1990-04-26,6.89,,,,,
1990-04-27,6.81,,,,,
1990-04-30,6.89,,,,,
1990-05-01,7.11,,,,,
1990-05-02,7.26,,,,,
1990-05-03,7.19,,,,,
1990-05-04,7.33,,,,,
1990-05-07,7.52,,,,,
1990-05-08,7.67,,,,,
1990-05-09,7.67,,,,,
1990-05-10,7.56,,,,,
1990-05-11,7.85,,,,,
1990-05-14,8.15,,,,,
1990-05-15,8.11,,,,,
1990-05-16,8.04,,,,,
1990-05-17,7.96,,,,,
1990-05-18,7.85,,,,,
1990-05-21,8.37,,,,,
1990-05-22,8.3,,,,,
