date,close price,QCOM_SHE,QCOM_TA,QCOM_TL,market cap,PB Ratio
1991-12-13,0.56,,,,,
1991-12-16,0.55,,,,,
1991-12-17,0.55,,,,,
1991-12-18,0.57,,,,,
1991-12-19,0.55,,,,,
1991-12-20,0.56,,,,,
1991-12-23,0.56,,,,,
1991-12-24,0.6,,,,,
1991-12-26,0.69,,,,,
1991-12-27,0.66,,,,,
1991-12-30,0.68,,,,,
1991-12-31,0.77,,,,,
1992-01-02,0.86,,,,,
1992-01-03,0.88,,,,,
1992-01-06,0.82,,,,,
1992-01-07,0.8,,,,,
1992-01-08,0.7,,,,,
1992-01-09,0.77,,,,,
1992-01-10,0.75,,,,,
1992-01-13,0.81,,,,,
1992-01-14,0.82,,,,,
1992-01-15,0.83,,,,,
1992-01-16,0.8,,,,,
1992-01-17,0.79,,,,,
1992-01-20,0.78,,,,,
1992-01-21,0.75,,,,,
1992-01-22,0.78,,,,,
1992-01-23,0.73,,,,,
1992-01-24,0.74,,,,,
1992-01-27,0.73,,,,,
1992-01-28,0.7,,,,,
1992-01-29,0.72,,,,,
1992-01-30,0.74,,,,,
1992-01-31,0.75,,,,,
1992-02-03,0.77,,,,,
1992-02-04,0.78,,,,,
1992-02-05,0.77,,,,,
1992-02-06,0.76,,,,,
1992-02-07,0.73,,,,,
1992-02-10,0.7,,,,,
1992-02-11,0.71,,,,,
1992-02-12,0.75,,,,,
1992-02-13,0.71,,,,,
1992-02-14,0.73,,,,,
1992-02-18,0.71,,,,,
1992-02-19,0.69,,,,,
1992-02-20,0.73,,,,,
1992-02-21,0.66,,,,,
1992-02-24,0.61,,,,,
1992-02-25,0.63,,,,,
1992-02-26,0.65,,,,,
1992-02-27,0.63,,,,,
1992-02-28,0.64,,,,,
1992-03-02,0.64,,,,,
1992-03-03,0.62,,,,,
1992-03-04,0.61,,,,,
1992-03-05,0.59,,,,,
1992-03-06,0.58,,,,,
1992-03-09,0.58,,,,,
1992-03-10,0.62,,,,,
1992-03-11,0.58,,,,,
1992-03-12,0.6,,,,,
1992-03-13,0.6,,,,,
1992-03-16,0.58,,,,,
1992-03-17,0.59,,,,,
1992-03-18,0.64,,,,,
1992-03-19,0.68,,,,,
1992-03-20,0.7,,,,,
1992-03-23,0.67,,,,,
1992-03-24,0.67,,,,,
1992-03-25,0.69,,,,,
1992-03-26,0.7,,,,,
1992-03-27,0.67,,,,,
1992-03-30,0.67,,,,,
1992-03-31,0.72,,,,,
1992-04-01,0.68,,,,,
1992-04-02,0.65,,,,,
1992-04-03,0.65,,,,,
1992-04-06,0.66,,,,,
1992-04-07,0.66,,,,,
1992-04-08,0.66,,,,,
1992-04-09,0.66,,,,,
1992-04-10,0.67,,,,,
1992-04-13,0.69,,,,,
1992-04-14,0.7,,,,,
1992-04-15,0.73,,,,,
1992-04-16,0.71,,,,,
1992-04-20,0.72,,,,,
1992-04-21,0.73,,,,,
1992-04-22,0.75,,,,,
1992-04-23,0.73,,,,,
1992-04-24,0.71,,,,,
1992-04-27,0.7,,,,,
1992-04-28,0.66,,,,,
1992-04-29,0.68,,,,,
1992-04-30,0.66,,,,,
1992-05-01,0.66,,,,,
1992-05-04,0.66,,,,,
1992-05-05,0.67,,,,,
1992-05-06,0.67,,,,,
1992-05-07,0.66,,,,,
1992-05-08,0.66,,,,,
1992-05-11,0.66,,,,,
1992-05-12,0.63,,,,,
1992-05-13,0.6,,,,,
1992-05-14,0.6,,,,,
1992-05-15,0.59,,,,,
1992-05-18,0.58,,,,,
1992-05-19,0.58,,,,,
1992-05-20,0.55,,,,,
1992-05-21,0.56,,,,,
1992-05-22,0.57,,,,,
1992-05-26,0.59,,,,,
1992-05-27,0.57,,,,,
1992-05-28,0.56,,,,,
1992-05-29,0.57,,,,,
1992-06-01,0.59,,,,,
1992-06-02,0.58,,,,,
1992-06-03,0.61,,,,,
1992-06-04,0.63,,,,,
1992-06-05,0.63,,,,,
1992-06-08,0.59,,,,,
1992-06-09,0.57,,,,,
1992-06-10,0.55,,,,,
1992-06-11,0.59,,,,,
1992-06-12,0.64,,,,,
1992-06-15,0.64,,,,,
1992-06-16,0.61,,,,,
1992-06-17,0.57,,,,,
1992-06-18,0.56,,,,,
1992-06-19,0.56,,,,,
1992-06-22,0.55,,,,,
1992-06-23,0.56,,,,,
1992-06-24,0.55,,,,,
1992-06-25,0.56,,,,,
1992-06-26,0.56,,,,,
1992-06-29,0.59,,,,,
1992-06-30,0.61,,,,,
1992-07-01,0.61,,,,,
1992-07-02,0.6,,,,,
1992-07-06,0.59,,,,,
1992-07-07,0.59,,,,,
1992-07-08,0.6,,,,,
1992-07-09,0.59,,,,,
1992-07-10,0.59,,,,,
1992-07-13,0.59,,,,,
1992-07-14,0.6,,,,,
1992-07-15,0.56,,,,,
1992-07-16,0.56,,,,,
1992-07-17,0.56,,,,,
1992-07-20,0.54,,,,,
1992-07-21,0.5,,,,,
1992-07-22,0.47,,,,,
1992-07-23,0.51,,,,,
1992-07-24,0.48,,,,,
1992-07-27,0.49,,,,,
1992-07-28,0.54,,,,,
1992-07-29,0.54,,,,,
1992-07-30,0.55,,,,,
1992-07-31,0.55,,,,,
1992-08-03,0.55,,,,,
1992-08-04,0.55,,,,,
1992-08-05,0.52,,,,,
1992-08-06,0.48,,,,,
1992-08-07,0.51,,,,,
1992-08-10,0.49,,,,,
1992-08-11,0.49,,,,,
1992-08-12,0.51,,,,,
1992-08-13,0.51,,,,,
1992-08-14,0.51,,,,,
1992-08-17,0.5,,,,,
1992-08-18,0.5,,,,,
1992-08-19,0.48,,,,,
1992-08-20,0.48,,,,,
1992-08-21,0.48,,,,,
1992-08-24,0.48,,,,,
1992-08-25,0.48,,,,,
1992-08-26,0.48,,,,,
1992-08-27,0.48,,,,,
1992-08-28,0.5,,,,,
1992-08-31,0.48,,,,,
1992-09-01,0.48,,,,,
1992-09-02,0.51,,,,,
1992-09-03,0.5,,,,,
1992-09-04,0.49,,,,,
1992-09-08,0.48,,,,,
1992-09-09,0.48,,,,,
1992-09-10,0.48,,,,,
1992-09-11,0.45,,,,,
1992-09-14,0.46,,,,,
1992-09-15,0.44,,,,,
1992-09-16,0.42,,,,,
1992-09-17,0.43,,,,,
1992-09-18,0.45,,,,,
1992-09-21,0.42,,,,,
1992-09-22,0.41,,,,,
1992-09-23,0.41,,,,,
1992-09-24,0.45,,,,,
1992-09-25,0.43,,,,,
1992-09-28,0.43,,,,,
1992-09-29,0.43,,,,,
1992-09-30,0.56,,,,,
1992-10-01,0.54,,,,,
1992-10-02,0.53,,,,,
1992-10-05,0.54,,,,,
1992-10-06,0.6,,,,,
1992-10-07,0.63,,,,,
1992-10-08,0.64,,,,,
1992-10-09,0.62,,,,,
1992-10-12,0.64,,,,,
1992-10-13,0.63,,,,,
1992-10-14,0.62,,,,,
1992-10-15,0.64,,,,,
1992-10-16,0.73,,,,,
1992-10-19,0.71,,,,,
1992-10-20,0.74,,,,,
1992-10-21,0.77,,,,,
1992-10-22,0.78,,,,,
1992-10-23,0.77,,,,,
1992-10-26,0.78,,,,,
1992-10-27,0.71,,,,,
1992-10-28,0.77,,,,,
1992-10-29,0.77,,,,,
1992-10-30,0.77,,,,,
1992-11-02,0.77,,,,,
1992-11-03,0.77,,,,,
1992-11-04,0.79,,,,,
1992-11-05,0.83,,,,,
1992-11-06,0.78,,,,,
1992-11-09,0.79,,,,,
1992-11-10,0.83,,,,,
1992-11-11,0.84,,,,,
1992-11-12,0.83,,,,,
1992-11-13,0.84,,,,,
1992-11-16,0.84,,,,,
1992-11-17,0.84,,,,,
1992-11-18,0.88,,,,,
1992-11-19,0.88,,,,,
1992-11-20,0.88,,,,,
1992-11-23,0.89,,,,,
1992-11-24,0.88,,,,,
1992-11-25,0.88,,,,,
1992-11-27,0.89,,,,,
1992-11-30,0.89,,,,,
1992-12-01,0.87,,,,,
1992-12-02,0.87,,,,,
1992-12-03,0.83,,,,,
1992-12-04,0.8,,,,,
1992-12-07,0.82,,,,,
1992-12-08,0.8,,,,,
1992-12-09,0.78,,,,,
1992-12-10,0.77,,,,,
1992-12-11,0.78,,,,,
1992-12-14,0.78,,,,,
1992-12-15,0.8,,,,,
1992-12-16,0.78,,,,,
1992-12-17,0.75,,,,,
1992-12-18,0.75,,,,,
1992-12-21,0.77,,,,,
1992-12-22,0.84,,,,,
1992-12-23,0.85,,,,,
1992-12-24,0.84,,,,,
1992-12-28,0.85,,,,,
1992-12-29,0.84,,,,,
1992-12-30,0.79,,,,,
1992-12-31,0.76,,,,,
1993-01-04,0.76,,,,,
1993-01-05,0.79,,,,,
1993-01-06,0.81,,,,,
1993-01-07,0.73,,,,,
1993-01-08,0.79,,,,,
1993-01-11,0.79,,,,,
1993-01-12,0.78,,,,,
1993-01-13,0.91,,,,,
1993-01-14,0.99,,,,,
1993-01-15,1.05,,,,,
1993-01-18,1.05,,,,,
1993-01-19,1.04,,,,,
1993-01-20,1.02,,,,,
1993-01-21,0.98,,,,,
1993-01-22,0.92,,,,,
1993-01-25,0.98,,,,,
1993-01-26,1.0,,,,,
1993-01-27,0.98,,,,,
1993-01-28,0.98,,,,,
1993-01-29,0.92,,,,,
1993-02-01,0.95,,,,,
1993-02-02,0.97,,,,,
1993-02-03,1.02,,,,,
1993-02-04,1.09,,,,,
1993-02-05,1.05,,,,,
1993-02-08,1.13,,,,,
1993-02-09,1.09,,,,,
1993-02-10,1.04,,,,,
1993-02-11,1.03,,,,,
1993-02-12,1.04,,,,,
1993-02-16,0.94,,,,,
1993-02-17,0.95,,,,,
1993-02-18,0.97,,,,,
1993-02-19,0.99,,,,,
1993-02-22,1.02,,,,,
1993-02-23,1.01,,,,,
1993-02-24,0.99,,,,,
1993-02-25,0.98,,,,,
1993-02-26,0.98,,,,,
1993-03-01,0.98,,,,,
1993-03-02,1.02,,,,,
1993-03-03,1.12,,,,,
1993-03-04,1.18,,,,,
1993-03-05,1.15,,,,,
1993-03-08,1.18,,,,,
1993-03-09,1.27,,,,,
1993-03-10,1.29,,,,,
1993-03-11,1.22,,,,,
1993-03-12,1.22,,,,,
1993-03-15,1.27,,,,,
1993-03-16,1.23,,,,,
1993-03-17,1.26,,,,,
1993-03-18,1.37,,,,,
1993-03-19,1.35,,,,,
1993-03-22,1.44,,,,,
1993-03-23,1.39,,,,,
1993-03-24,1.38,,,,,
1993-03-25,1.37,,,,,
1993-03-26,1.42,,,,,
1993-03-29,1.48,,,,,
1993-03-30,1.51,,,,,
1993-03-31,1.53,,,,,
