date,close price,PG_SHE,PG_TA,PG_TL,market cap,PB Ratio
1989-09-19,7.67,,,,,
1989-09-20,7.7,,,,,
1989-09-21,7.62,,,,,
1989-09-22,7.49,,,,,
1989-09-25,7.42,,,,,
1989-09-26,7.4,,,,,
1989-09-27,7.3,,,,,
1989-09-28,7.55,,,,,
1989-09-29,7.5,,,,,
1989-10-02,7.59,,,,,
1989-10-03,7.79,,,,,
1989-10-04,7.86,,,,,
1989-10-05,7.92,,,,,
1989-10-06,8.06,,,,,
1989-10-09,8.23,,,,,
1989-10-10,8.18,,,,,
1989-10-11,8.21,,,,,
1989-10-12,8.09,,,,,
1989-10-13,7.55,,,,,
1989-10-16,7.73,,,,,
1989-10-17,7.94,,,,,
1989-10-18,7.95,,,,,
1989-10-19,8.0,,,,,
1989-10-20,8.12,,,,,
1989-10-23,8.16,,,,,
1989-10-24,8.34,,,,,
1989-10-25,8.13,,,,,
1989-10-26,7.92,,,,,
1989-10-27,7.84,,,,,
1989-10-30,7.98,,,,,
1989-10-31,8.07,,,,,
1989-11-01,7.97,,,,,
1989-11-02,7.91,,,,,
1989-11-03,7.88,,,,,
1989-11-06,7.84,,,,,
1989-11-07,7.91,,,,,
1989-11-08,8.07,,,,,
1989-11-09,7.91,,,,,
1989-11-10,7.96,,,,,
1989-11-13,7.99,,,,,
1989-11-14,7.95,,,,,
1989-11-15,8.09,,,,,
1989-11-16,8.09,,,,,
1989-11-17,8.09,,,,,
1989-11-20,8.09,,,,,
1989-11-21,8.13,,,,,
1989-11-22,8.23,,,,,
1989-11-24,8.28,,,,,
1989-11-27,8.19,,,,,
1989-11-28,8.08,,,,,
1989-11-29,8.08,,,,,
1989-11-30,8.09,,,,,
1989-12-01,8.23,,,,,
1989-12-04,8.31,,,,,
1989-12-05,8.19,,,,,
1989-12-06,8.11,,,,,
1989-12-07,8.08,,,,,
1989-12-08,8.14,,,,,
1989-12-11,8.16,,,,,
1989-12-12,8.53,,,,,
1989-12-13,8.56,,,,,
1989-12-14,8.55,,,,,
1989-12-15,8.52,,,,,
1989-12-18,8.36,,,,,
1989-12-19,8.44,,,,,
1989-12-20,8.45,,,,,
1989-12-21,8.41,,,,,
1989-12-22,8.53,,,,,
1989-12-26,8.48,,,,,
1989-12-27,8.5,,,,,
1989-12-28,8.67,,,,,
1989-12-29,8.78,,,,,
1990-01-02,8.81,,,,,
1990-01-03,8.8,,,,,
1990-01-04,8.63,,,,,
1990-01-05,8.47,,,,,
1990-01-08,8.63,,,,,
1990-01-09,8.63,,,,,
1990-01-10,8.67,,,,,
1990-01-11,8.8,,,,,
1990-01-12,8.47,,,,,
1990-01-15,8.5,,,,,
1990-01-16,8.61,,,,,
1990-01-17,8.56,,,,,
1990-01-18,8.69,,,,,
1990-01-19,8.63,,,,,
1990-01-22,8.42,,,,,
1990-01-23,8.27,,,,,
1990-01-24,8.28,,,,,
1990-01-25,7.84,,,,,
1990-01-26,7.89,,,,,
1990-01-29,7.83,,,,,
1990-01-30,7.84,,,,,
1990-01-31,8.0,,,,,
1990-02-01,8.08,,,,,
1990-02-02,8.14,,,,,
1990-02-05,8.2,,,,,
1990-02-06,8.14,,,,,
1990-02-07,8.23,,,,,
1990-02-08,8.19,,,,,
1990-02-09,8.28,,,,,
1990-02-12,8.14,,,,,
1990-02-13,8.14,,,,,
1990-02-14,8.2,,,,,
1990-02-15,8.33,,,,,
1990-02-16,8.36,,,,,
1990-02-20,8.16,,,,,
1990-02-21,8.08,,,,,
1990-02-22,7.89,,,,,
1990-02-23,7.81,,,,,
1990-02-26,7.89,,,,,
1990-02-27,7.89,,,,,
1990-02-28,7.98,,,,,
1990-03-01,7.92,,,,,
1990-03-02,7.92,,,,,
1990-03-05,7.92,,,,,
1990-03-06,7.92,,,,,
1990-03-07,7.92,,,,,
1990-03-08,8.13,,,,,
1990-03-09,8.11,,,,,
1990-03-12,8.02,,,,,
1990-03-13,8.02,,,,,
1990-03-14,8.14,,,,,
1990-03-15,8.08,,,,,
1990-03-16,8.28,,,,,
1990-03-19,8.44,,,,,
1990-03-20,8.52,,,,,
1990-03-21,8.5,,,,,
1990-03-22,8.34,,,,,
1990-03-23,8.41,,,,,
1990-03-26,8.52,,,,,
1990-03-27,8.63,,,,,
1990-03-28,8.61,,,,,
1990-03-29,8.53,,,,,
1990-03-30,8.47,,,,,
1990-04-02,8.45,,,,,
1990-04-03,8.66,,,,,
1990-04-04,8.53,,,,,
1990-04-05,8.59,,,,,
1990-04-06,8.58,,,,,
1990-04-09,8.72,,,,,
1990-04-10,8.86,,,,,
1990-04-11,8.84,,,,,
1990-04-12,8.91,,,,,
1990-04-16,8.91,,,,,
1990-04-17,8.92,,,,,
1990-04-18,8.78,,,,,
1990-04-19,8.66,,,,,
1990-04-20,8.58,,,,,
1990-04-23,8.5,,,,,
1990-04-24,8.55,,,,,
1990-04-25,8.69,,,,,
1990-04-26,8.84,,,,,
1990-04-27,8.73,,,,,
1990-04-30,8.83,,,,,
