date,close price,LHX_SHE,LHX_TA,LHX_TL,market cap,PB Ratio
2000-05-25,13.91,,,,,
2000-05-26,13.63,,,,,
2000-05-30,14.08,,,,,
2000-05-31,14.44,,,,,
2000-06-01,15.09,,,,,
2000-06-02,15.53,,,,,
2000-06-05,14.88,,,,,
2000-06-06,15.09,,,,,
2000-06-07,14.97,,,,,
2000-06-08,14.94,,,,,
2000-06-09,15.06,,,,,
2000-06-12,14.44,,,,,
2000-06-13,14.45,,,,,
2000-06-14,14.22,,,,,
2000-06-15,14.35,,,,,
2000-06-16,14.41,,,,,
2000-06-19,14.26,,,,,
2000-06-20,14.5,,,,,
2000-06-21,14.94,,,,,
2000-06-22,14.94,,,,,
2000-06-23,15.29,,,,,
2000-06-26,14.85,,,,,
2000-06-27,15.09,,,,,
2000-06-28,15.83,,,,,
2000-06-29,15.47,,,,,
2000-06-30,15.47,,,,,
2000-07-03,15.83,,,,,
2000-07-05,15.35,,,,,
2000-07-06,15.68,,,,,
2000-07-07,16.21,,,,,
2000-07-10,16.5,,,,,
2000-07-11,16.12,,,,,
2000-07-12,16.8,,,,,
2000-07-13,17.48,,,,,
2000-07-14,17.66,,,,,
2000-07-17,17.39,,,,,
2000-07-18,16.89,,,,,
2000-07-19,16.5,,,,,
2000-07-20,16.47,,,,,
2000-07-21,16.18,,,,,
2000-07-24,16.06,,,,,
2000-07-25,15.85,,,,,
2000-07-26,15.71,,,,,
2000-07-27,15.8,,,,,
2000-07-28,16.27,,,,,
2000-07-31,16.18,,,,,
2000-08-01,15.83,,,,,
2000-08-02,15.0,,,,,
2000-08-03,14.64,,,,,
2000-08-04,14.91,,,,,
2000-08-07,15.03,,,,,
2000-08-08,14.08,,,,,
2000-08-09,14.02,,,,,
2000-08-10,14.02,,,,,
2000-08-11,14.08,,,,,
2000-08-14,14.05,,,,,
2000-08-15,14.14,,,,,
2000-08-16,14.11,,,,,
2000-08-17,14.17,,,,,
2000-08-18,14.41,,,,,
2000-08-21,14.17,,,,,
2000-08-22,14.17,,,,,
2000-08-23,13.91,,,,,
2000-08-24,13.7,,,,,
2000-08-25,13.76,,,,,
2000-08-28,14.05,,,,,
2000-08-29,14.32,,,,,
2000-08-30,14.14,1374000000.0,2227000000.0,0.0,,
2000-08-31,14.2,1374000000.0,2227000000.0,0.0,,
2000-09-01,14.41,1374000000.0,2227000000.0,0.0,,
2000-09-05,14.26,1374000000.0,2227000000.0,0.0,,
2000-09-06,14.23,1374000000.0,2227000000.0,0.0,,
2000-09-07,14.26,1374000000.0,2227000000.0,0.0,,
2000-09-08,13.67,1374000000.0,2227000000.0,0.0,,
2000-09-11,14.29,1374000000.0,2227000000.0,0.0,,
2000-09-12,13.7,1374000000.0,2227000000.0,0.0,,
2000-09-13,13.43,1374000000.0,2227000000.0,0.0,,
2000-09-14,13.76,1374000000.0,2227000000.0,0.0,,
2000-09-15,13.52,1374000000.0,2227000000.0,0.0,,
2000-09-18,12.75,1374000000.0,2227000000.0,0.0,,
2000-09-19,12.9,1374000000.0,2227000000.0,0.0,,
2000-09-20,12.99,1374000000.0,2227000000.0,0.0,,
2000-09-21,12.4,1374000000.0,2227000000.0,0.0,,
2000-09-22,12.28,1374000000.0,2227000000.0,0.0,,
2000-09-25,12.49,1374000000.0,2227000000.0,0.0,,
2000-09-26,12.9,1374000000.0,2227000000.0,0.0,,
2000-09-27,13.2,1374000000.0,2227000000.0,0.0,,
2000-09-28,13.46,1374000000.0,2227000000.0,0.0,,
2000-09-29,13.43,1374000000.0,2227000000.0,0.0,,
2000-10-02,13.46,1374000000.0,2227000000.0,0.0,,
2000-10-03,13.29,1374000000.0,2227000000.0,0.0,,
2000-10-04,12.87,1374000000.0,2227000000.0,0.0,,
2000-10-05,12.67,1374000000.0,2227000000.0,0.0,,
2000-10-06,11.96,1374000000.0,2227000000.0,0.0,,
2000-10-09,12.16,1374000000.0,2227000000.0,0.0,,
2000-10-10,11.63,1374000000.0,2227000000.0,0.0,,
2000-10-11,10.87,1374000000.0,2227000000.0,0.0,,
2000-10-12,10.72,1374000000.0,2227000000.0,0.0,,
2000-10-13,10.84,1374000000.0,2227000000.0,0.0,,
2000-10-16,10.87,1374000000.0,2227000000.0,0.0,,
2000-10-17,10.51,1374000000.0,2227000000.0,0.0,,
2000-10-18,10.16,1374000000.0,2227000000.0,0.0,,
2000-10-19,10.84,1374000000.0,2227000000.0,0.0,,
2000-10-20,11.28,1374000000.0,2227000000.0,0.0,,
