date,close price,ABC_SHE,ABC_TA,ABC_TL,market cap,PB Ratio
,,3857252000.0,40789703000.0,36932451000.0,,
1995-04-04,2.95,3857252000.0,40789703000.0,36932451000.0,,
1995-04-05,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-04-06,2.89,3857252000.0,40789703000.0,36932451000.0,,
1995-04-07,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-04-10,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-04-11,2.86,3857252000.0,40789703000.0,36932451000.0,,
1995-04-12,2.86,3857252000.0,40789703000.0,36932451000.0,,
1995-04-13,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-04-17,2.95,3857252000.0,40789703000.0,36932451000.0,,
1995-04-18,2.94,3857252000.0,40789703000.0,36932451000.0,,
1995-04-19,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-04-20,2.73,3857252000.0,40789703000.0,36932451000.0,,
1995-04-21,2.8,3857252000.0,40789703000.0,36932451000.0,,
1995-04-24,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-04-25,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-04-26,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-04-27,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-04-28,2.77,3857252000.0,40789703000.0,36932451000.0,,
1995-05-01,2.77,3857252000.0,40789703000.0,36932451000.0,,
1995-05-02,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-05-03,2.86,3857252000.0,40789703000.0,36932451000.0,,
1995-05-04,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-05-05,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-05-08,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-05-09,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-05-10,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-05-11,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-05-12,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-05-15,2.7,3857252000.0,40789703000.0,36932451000.0,,
1995-05-16,2.72,3857252000.0,40789703000.0,36932451000.0,,
1995-05-17,2.71,3857252000.0,40789703000.0,36932451000.0,,
1995-05-18,2.64,3857252000.0,40789703000.0,36932451000.0,,
1995-05-19,2.61,3857252000.0,40789703000.0,36932451000.0,,
1995-05-22,2.66,3857252000.0,40789703000.0,36932451000.0,,
1995-05-23,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-05-24,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-05-25,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-05-26,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-05-30,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-05-31,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-06-01,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-06-02,3.0,3857252000.0,40789703000.0,36932451000.0,,
1995-06-05,3.02,3857252000.0,40789703000.0,36932451000.0,,
1995-06-06,3.0,3857252000.0,40789703000.0,36932451000.0,,
1995-06-07,3.03,3857252000.0,40789703000.0,36932451000.0,,
1995-06-08,2.94,3857252000.0,40789703000.0,36932451000.0,,
1995-06-09,2.97,3857252000.0,40789703000.0,36932451000.0,,
1995-06-12,3.0,3857252000.0,40789703000.0,36932451000.0,,
1995-06-13,2.94,3857252000.0,40789703000.0,36932451000.0,,
1995-06-14,2.94,3857252000.0,40789703000.0,36932451000.0,,
1995-06-15,2.89,3857252000.0,40789703000.0,36932451000.0,,
1995-06-16,2.91,3857252000.0,40789703000.0,36932451000.0,,
1995-06-19,3.0,3857252000.0,40789703000.0,36932451000.0,,
1995-06-20,2.94,3857252000.0,40789703000.0,36932451000.0,,
1995-06-21,3.0,3857252000.0,40789703000.0,36932451000.0,,
1995-06-22,2.98,3857252000.0,40789703000.0,36932451000.0,,
1995-06-23,3.03,3857252000.0,40789703000.0,36932451000.0,,
1995-06-26,2.98,3857252000.0,40789703000.0,36932451000.0,,
1995-06-27,2.97,3857252000.0,40789703000.0,36932451000.0,,
1995-06-28,2.94,3857252000.0,40789703000.0,36932451000.0,,
1995-06-29,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-06-30,2.85,3857252000.0,40789703000.0,36932451000.0,,
1995-07-03,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-07-05,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-07-06,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-07-07,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-07-10,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-07-11,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-07-12,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-07-13,2.86,3857252000.0,40789703000.0,36932451000.0,,
1995-07-14,2.8,3857252000.0,40789703000.0,36932451000.0,,
1995-07-17,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-07-18,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-07-19,2.72,3857252000.0,40789703000.0,36932451000.0,,
1995-07-20,2.69,3857252000.0,40789703000.0,36932451000.0,,
1995-07-21,2.67,3857252000.0,40789703000.0,36932451000.0,,
1995-07-24,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-07-25,2.83,3857252000.0,40789703000.0,36932451000.0,,
1995-07-26,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-07-27,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-07-28,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-07-31,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-08-01,2.78,3857252000.0,40789703000.0,36932451000.0,,
1995-08-02,2.63,3857252000.0,40789703000.0,36932451000.0,,
1995-08-03,2.66,3857252000.0,40789703000.0,36932451000.0,,
1995-08-04,2.66,3857252000.0,40789703000.0,36932451000.0,,
1995-08-07,2.61,3857252000.0,40789703000.0,36932451000.0,,
1995-08-08,2.53,3857252000.0,40789703000.0,36932451000.0,,
1995-08-09,2.56,3857252000.0,40789703000.0,36932451000.0,,
1995-08-10,2.5,3857252000.0,40789703000.0,36932451000.0,,
1995-08-11,2.52,3857252000.0,40789703000.0,36932451000.0,,
1995-08-14,2.56,3857252000.0,40789703000.0,36932451000.0,,
1995-08-15,2.56,3857252000.0,40789703000.0,36932451000.0,,
1995-08-16,2.72,3857252000.0,40789703000.0,36932451000.0,,
1995-08-17,2.86,3857252000.0,40789703000.0,36932451000.0,,
1995-08-18,2.91,3857252000.0,40789703000.0,36932451000.0,,
1995-08-21,2.88,3857252000.0,40789703000.0,36932451000.0,,
1995-08-22,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-08-23,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-08-24,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-08-25,2.81,3857252000.0,40789703000.0,36932451000.0,,
1995-08-28,2.75,3857252000.0,40789703000.0,36932451000.0,,
1995-08-29,2.8,3857252000.0,40789703000.0,36932451000.0,,
1995-08-30,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-08-31,2.84,3857252000.0,40789703000.0,36932451000.0,,
1995-09-01,2.83,3857252000.0,40789703000.0,36932451000.0,,
