date,close price,ESS_SHE,ESS_TA,ESS_TL,market cap,PB Ratio
1994-06-07,19.38,,,,,
1994-06-08,19.25,,,,,
1994-06-09,19.25,,,,,
1994-06-10,19.13,,,,,
1994-06-13,19.13,,,,,
1994-06-14,19.25,,,,,
1994-06-15,19.25,,,,,
1994-06-16,19.13,,,,,
1994-06-17,19.0,,,,,
1994-06-20,19.13,,,,,
1994-06-21,19.0,,,,,
1994-06-22,19.0,,,,,
1994-06-23,18.75,,,,,
1994-06-24,18.38,,,,,
1994-06-27,17.88,,,,,
1994-06-28,17.63,,,,,
1994-06-29,17.88,,,,,
1994-06-30,17.63,,,,,
1994-07-01,17.75,,,,,
1994-07-05,17.88,,,,,
1994-07-06,17.63,,,,,
1994-07-07,17.63,,,,,
1994-07-08,17.63,,,,,
1994-07-11,17.75,,,,,
1994-07-12,17.75,,,,,
1994-07-13,17.75,,,,,
1994-07-14,17.88,,,,,
1994-07-15,18.0,,,,,
1994-07-18,18.0,,,,,
1994-07-19,18.5,,,,,
1994-07-20,18.25,,,,,
1994-07-21,18.25,,,,,
1994-07-22,18.38,,,,,
1994-07-25,18.5,,,,,
1994-07-26,18.5,,,,,
1994-07-27,18.25,,,,,
1994-07-28,17.88,,,,,
1994-07-29,17.75,,,,,
1994-08-01,17.63,,,,,
1994-08-02,18.13,,,,,
1994-08-03,18.38,,,,,
1994-08-04,18.0,,,,,
1994-08-05,18.0,,,,,
1994-08-08,18.0,,,,,
1994-08-09,17.75,,,,,
1994-08-10,18.13,,,,,
1994-08-11,17.88,,,,,
1994-08-12,18.0,,,,,
1994-08-15,17.88,,,,,
1994-08-16,18.13,,,,,
1994-08-17,18.13,,,,,
1994-08-18,18.0,,,,,
1994-08-19,18.0,,,,,
1994-08-22,18.13,,,,,
1994-08-23,18.13,,,,,
1994-08-24,18.13,,,,,
1994-08-25,17.75,,,,,
1994-08-26,18.0,,,,,
1994-08-29,18.13,,,,,
1994-08-30,18.25,,,,,
1994-08-31,18.38,,,,,
1994-09-01,18.5,,,,,
1994-09-02,19.0,,,,,
1994-09-06,18.75,,,,,
1994-09-07,18.75,,,,,
1994-09-08,18.63,,,,,
1994-09-09,18.63,,,,,
1994-09-12,18.75,,,,,
1994-09-13,18.5,,,,,
1994-09-14,18.38,,,,,
1994-09-15,18.63,,,,,
1994-09-16,18.25,,,,,
1994-09-19,18.5,,,,,
1994-09-20,18.63,,,,,
1994-09-21,18.38,,,,,
1994-09-22,18.0,,,,,
1994-09-23,17.88,,,,,
1994-09-26,18.0,,,,,
1994-09-27,18.0,,,,,
1994-09-28,17.38,,,,,
1994-09-29,17.88,,,,,
1994-09-30,18.0,,,,,
1994-10-03,17.75,,,,,
1994-10-04,17.75,,,,,
1994-10-05,17.0,,,,,
1994-10-06,16.75,,,,,
1994-10-07,17.0,,,,,
1994-10-10,17.0,,,,,
1994-10-11,16.75,,,,,
1994-10-12,17.0,,,,,
1994-10-13,16.75,,,,,
1994-10-14,16.63,,,,,
1994-10-17,16.88,,,,,
1994-10-18,16.88,,,,,
