date,close price,DOV_SHE,DOV_TA,DOV_TL,market cap,PB Ratio
1989-09-19,5.87,,,,,
1989-09-20,5.84,,,,,
1989-09-21,5.82,,,,,
1989-09-22,5.8,,,,,
1989-09-25,5.64,,,,,
1989-09-26,5.64,,,,,
1989-09-27,5.7,,,,,
1989-09-28,5.8,,,,,
1989-09-29,5.78,,,,,
1989-10-02,5.82,,,,,
1989-10-03,5.89,,,,,
1989-10-04,5.93,,,,,
1989-10-05,5.97,,,,,
1989-10-06,6.01,,,,,
1989-10-09,5.97,,,,,
1989-10-10,6.07,,,,,
1989-10-11,6.07,,,,,
1989-10-12,6.01,,,,,
1989-10-13,5.66,,,,,
1989-10-16,5.61,,,,,
1989-10-17,5.55,,,,,
1989-10-18,5.55,,,,,
1989-10-19,5.55,,,,,
1989-10-20,5.53,,,,,
1989-10-23,5.49,,,,,
1989-10-24,5.55,,,,,
1989-10-25,5.55,,,,,
1989-10-26,5.45,,,,,
1989-10-27,5.43,,,,,
1989-10-30,5.45,,,,,
1989-10-31,5.47,,,,,
1989-11-01,5.49,,,,,
1989-11-02,5.47,,,,,
1989-11-03,5.45,,,,,
1989-11-06,5.4,,,,,
1989-11-07,5.47,,,,,
1989-11-08,5.55,,,,,
1989-11-09,5.51,,,,,
1989-11-10,5.49,,,,,
1989-11-13,5.53,,,,,
1989-11-14,5.43,,,,,
1989-11-15,5.32,,,,,
1989-11-16,5.43,,,,,
1989-11-17,5.36,,,,,
1989-11-20,5.3,,,,,
1989-11-21,5.32,,,,,
1989-11-22,5.38,,,,,
1989-11-24,5.4,,,,,
1989-11-27,5.36,,,,,
1989-11-28,5.45,,,,,
1989-11-29,5.4,,,,,
1989-11-30,5.51,,,,,
1989-12-01,5.66,,,,,
1989-12-04,5.57,,,,,
1989-12-05,5.66,,,,,
1989-12-06,5.72,,,,,
1989-12-07,5.72,,,,,
1989-12-08,5.72,,,,,
1989-12-11,5.7,,,,,
1989-12-12,5.74,,,,,
1989-12-13,5.76,,,,,
1989-12-14,5.82,,,,,
1989-12-15,5.89,,,,,
1989-12-18,5.82,,,,,
1989-12-19,5.74,,,,,
1989-12-20,5.64,,,,,
1989-12-21,5.64,,,,,
1989-12-22,5.72,,,,,
1989-12-26,5.72,,,,,
1989-12-27,5.74,,,,,
1989-12-28,5.95,,,,,
1989-12-29,6.03,,,,,
1990-01-02,6.1,,,,,
1990-01-03,5.99,,,,,
1990-01-04,6.01,,,,,
1990-01-05,5.99,,,,,
1990-01-08,6.03,,,,,
1990-01-09,5.97,,,,,
1990-01-10,6.07,,,,,
1990-01-11,6.03,,,,,
1990-01-12,5.82,,,,,
1990-01-15,5.7,,,,,
1990-01-16,5.7,,,,,
1990-01-17,5.66,,,,,
1990-01-18,5.72,,,,,
1990-01-19,5.61,,,,,
1990-01-22,5.51,,,,,
1990-01-23,5.51,,,,,
1990-01-24,5.64,,,,,
1990-01-25,5.53,,,,,
1990-01-26,5.7,,,,,
1990-01-29,5.7,,,,,
1990-01-30,5.72,,,,,
1990-01-31,5.97,,,,,
1990-02-01,5.91,,,,,
1990-02-02,6.03,,,,,
1990-02-05,5.99,,,,,
1990-02-06,6.01,,,,,
1990-02-07,6.05,,,,,
1990-02-08,5.99,,,,,
1990-02-09,6.1,,,,,
1990-02-12,6.12,,,,,
1990-02-13,6.24,,,,,
1990-02-14,6.18,,,,,
1990-02-15,6.18,,,,,
1990-02-16,6.14,,,,,
1990-02-20,6.12,,,,,
1990-02-21,6.12,,,,,
1990-02-22,6.12,,,,,
1990-02-23,6.07,,,,,
1990-02-26,6.14,,,,,
1990-02-27,6.26,,,,,
1990-02-28,6.24,,,,,
1990-03-01,6.22,,,,,
1990-03-02,6.2,,,,,
1990-03-05,6.12,,,,,
1990-03-06,6.18,,,,,
1990-03-07,6.12,,,,,
1990-03-08,6.2,,,,,
1990-03-09,6.14,,,,,
1990-03-12,6.12,,,,,
1990-03-13,6.16,,,,,
1990-03-14,6.16,,,,,
1990-03-15,6.18,,,,,
1990-03-16,6.2,,,,,
1990-03-19,6.49,,,,,
1990-03-20,6.47,,,,,
1990-03-21,6.43,,,,,
1990-03-22,6.41,,,,,
1990-03-23,6.47,,,,,
1990-03-26,6.49,,,,,
1990-03-27,6.6,,,,,
1990-03-28,6.47,,,,,
1990-03-29,6.47,,,,,
1990-03-30,6.43,,,,,
1990-04-02,6.39,,,,,
1990-04-03,6.45,,,,,
1990-04-04,6.39,,,,,
1990-04-05,6.39,,,,,
1990-04-06,6.24,,,,,
1990-04-09,6.28,,,,,
1990-04-10,6.28,,,,,
1990-04-11,6.37,,,,,
1990-04-12,6.47,,,,,
1990-04-16,6.39,,,,,
1990-04-17,6.45,,,,,
1990-04-18,6.37,,,,,
1990-04-19,6.33,,,,,
1990-04-20,6.16,,,,,
1990-04-23,6.12,,,,,
1990-04-24,6.26,,,,,
1990-04-25,6.26,,,,,
1990-04-26,6.28,,,,,
1990-04-27,6.28,,,,,
1990-04-30,6.31,,,,,
1990-05-01,6.33,,,,,
1990-05-02,6.33,,,,,
1990-05-03,6.31,,,,,
1990-05-04,6.31,,,,,
1990-05-07,6.41,,,,,
1990-05-08,6.51,,,,,
1990-05-09,6.66,,,,,
1990-05-10,6.68,,,,,
1990-05-11,6.85,,,,,
1990-05-14,6.83,,,,,
1990-05-15,6.75,,,,,
1990-05-16,6.72,,,,,
1990-05-17,6.7,,,,,
1990-05-18,6.7,,,,,
1990-05-21,6.81,,,,,
1990-05-22,6.81,,,,,
1990-05-23,6.75,,,,,
1990-05-24,6.75,,,,,
1990-05-25,6.72,,,,,
1990-05-29,6.85,,,,,
1990-05-30,6.91,,,,,
1990-05-31,6.79,,,,,
1990-06-01,6.72,,,,,
1990-06-04,6.75,,,,,
1990-06-05,6.77,,,,,
1990-06-06,6.75,,,,,
1990-06-07,6.72,,,,,
1990-06-08,6.77,,,,,
1990-06-11,6.79,,,,,
1990-06-12,6.77,,,,,
1990-06-13,6.68,,,,,
1990-06-14,6.7,,,,,
1990-06-15,6.6,,,,,
1990-06-18,6.58,,,,,
1990-06-19,6.66,,,,,
1990-06-20,6.66,,,,,
1990-06-21,6.7,,,,,
1990-06-22,6.66,,,,,
1990-06-25,6.56,,,,,
1990-06-26,6.54,,,,,
1990-06-27,6.58,,,,,
1990-06-28,6.51,,,,,
1990-06-29,6.54,,,,,
1990-07-02,6.54,,,,,
1990-07-03,6.51,,,,,
1990-07-05,6.37,,,,,
1990-07-06,6.49,,,,,
1990-07-09,6.49,,,,,
1990-07-10,6.45,,,,,
1990-07-11,6.49,,,,,
1990-07-12,6.54,,,,,
1990-07-13,6.49,,,,,
1990-07-16,6.51,,,,,
1990-07-17,6.58,,,,,
1990-07-18,6.6,,,,,
1990-07-19,6.54,,,,,
1990-07-20,6.43,,,,,
1990-07-23,6.31,,,,,
1990-07-24,6.31,,,,,
1990-07-25,6.31,,,,,
1990-07-26,6.33,,,,,
1990-07-27,6.2,,,,,
1990-07-30,6.22,,,,,
1990-07-31,6.22,,,,,
1990-08-01,6.07,,,,,
1990-08-02,6.1,,,,,
1990-08-03,5.97,,,,,
1990-08-06,5.84,,,,,
1990-08-07,5.72,,,,,
1990-08-08,5.93,,,,,
1990-08-09,5.95,,,,,
1990-08-10,6.01,,,,,
1990-08-13,5.97,,,,,
1990-08-14,5.97,,,,,
