date,CTVA,CTVA_SHE,PB Ratio
2019-05-24,21741300000.0,,
2019-05-28,21561372000.0,,
2019-05-29,21366450000.0,,
2019-05-30,21591360000.0,,
2019-05-31,20219409000.0,69600000000.0,0.29050875
2019-06-03,18600057000.0,69600000000.0,0.26724219827586204
2019-06-04,20804175000.0,69600000000.0,0.2989105603448276
2019-06-05,20999097000.0,69600000000.0,0.3017111637931034
2019-06-06,20166930000.0,69600000000.0,0.28975474137931034
2019-06-07,19724607000.0,69600000000.0,0.28339952586206896
2019-06-10,18974907000.0,69600000000.0,0.27262797413793105
2019-06-11,18705015000.0,69600000000.0,0.2687502155172414
2019-06-12,18794979000.0,69600000000.0,0.2700428017241379
2019-06-13,18720009000.0,69600000000.0,0.2689656465517241
2019-06-14,18884943000.0,69600000000.0,0.27133538793103446
2019-06-17,19454715000.0,69600000000.0,0.27952176724137934
2019-06-18,20466810000.0,69600000000.0,0.2940633620689655
2019-06-19,20354355000.0,69600000000.0,0.29244762931034485
2019-06-20,20361852000.0,69600000000.0,0.2925553448275862
2019-06-21,20399337000.0,69600000000.0,0.2930939224137931
2019-06-24,20999097000.0,69600000000.0,0.3017111637931034
2019-06-25,20744199000.0,69600000000.0,0.29804883620689654
2019-06-26,21936222000.0,69600000000.0,0.3151756034482759
2019-06-27,22168629000.0,69600000000.0,0.3185147844827586
2019-06-28,22168629000.0,69600000000.0,0.3185147844827586
2019-07-01,22242192000.0,69600000000.0,0.31957172413793106
2019-07-02,21725106000.0,69600000000.0,0.3121423275862069
2019-07-03,21582720000.0,69600000000.0,0.3100965517241379
2019-07-05,21462816000.0,69600000000.0,0.30837379310344826
2019-07-08,20810838000.0,69600000000.0,0.2990062931034483
2019-07-09,20226306000.0,69600000000.0,0.2906078448275862
2019-07-10,19859100000.0,69600000000.0,0.28533189655172414
2019-07-11,19806642000.0,69600000000.0,0.2845781896551724
2019-07-12,20683440000.0,69600000000.0,0.2971758620689655
2019-07-15,21043152000.0,69600000000.0,0.3023441379310345
2019-07-16,20878284000.0,69600000000.0,0.2999753448275862
2019-07-17,20143872000.0,69600000000.0,0.2894234482758621
2019-07-18,19971510000.0,69600000000.0,0.2869469827586207
2019-07-19,20526066000.0,69600000000.0,0.29491474137931034
2019-07-22,20803344000.0,69600000000.0,0.29889862068965517
2019-07-23,21073128000.0,69600000000.0,0.3027748275862069
2019-07-24,21223008000.0,69600000000.0,0.30492827586206894
2019-07-25,20998188000.0,69600000000.0,0.30169810344827586
2019-07-26,21342912000.0,69600000000.0,0.3066510344827586
