date,close price,AVB_SHE,AVB_TA,AVB_TL,market cap,PB Ratio
,,-11000000.0,165000000.0,177000000.0,,
1994-03-11,20.88,-11000000.0,165000000.0,177000000.0,240120000.0,-21.829090909090908
1994-03-14,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-03-15,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-03-16,21.38,-11000000.0,165000000.0,177000000.0,245870000.0,-22.35181818181818
1994-03-17,21.13,-11000000.0,165000000.0,177000000.0,242995000.0,-22.090454545454545
1994-03-18,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-03-21,20.88,-11000000.0,165000000.0,177000000.0,240120000.0,-21.829090909090908
1994-03-22,20.75,-11000000.0,165000000.0,177000000.0,238625000.0,-21.693181818181817
1994-03-23,21.25,-11000000.0,165000000.0,177000000.0,244375000.0,-22.21590909090909
1994-03-24,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-03-25,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-03-28,21.13,-11000000.0,165000000.0,177000000.0,242995000.0,-22.090454545454545
1994-03-29,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-03-30,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-03-31,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-04-04,20.13,-11000000.0,165000000.0,177000000.0,231495000.0,-21.045
1994-04-05,20.75,-11000000.0,165000000.0,177000000.0,238625000.0,-21.693181818181817
1994-04-06,20.88,-11000000.0,165000000.0,177000000.0,240120000.0,-21.829090909090908
1994-04-07,20.75,-11000000.0,165000000.0,177000000.0,238625000.0,-21.693181818181817
1994-04-08,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-04-11,20.38,-11000000.0,165000000.0,177000000.0,234370000.0,-21.306363636363635
1994-04-12,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-04-13,20.38,-11000000.0,165000000.0,177000000.0,234370000.0,-21.306363636363635
1994-04-14,20.38,-11000000.0,165000000.0,177000000.0,234370000.0,-21.306363636363635
1994-04-15,20.13,-11000000.0,165000000.0,177000000.0,231495000.0,-21.045
1994-04-18,20.13,-11000000.0,165000000.0,177000000.0,231495000.0,-21.045
1994-04-19,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-04-20,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-04-21,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-04-22,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-04-25,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-04-26,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-04-28,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-04-29,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-05-02,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-05-03,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-05-04,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-05,20.38,-11000000.0,165000000.0,177000000.0,234370000.0,-21.306363636363635
1994-05-06,20.13,-11000000.0,165000000.0,177000000.0,231495000.0,-21.045
1994-05-09,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-10,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-11,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-12,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-13,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-16,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-05-17,20.13,-11000000.0,165000000.0,177000000.0,231495000.0,-21.045
1994-05-18,20.38,-11000000.0,165000000.0,177000000.0,234370000.0,-21.306363636363635
1994-05-19,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-05-20,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-05-23,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-05-24,21.38,-11000000.0,165000000.0,177000000.0,245870000.0,-22.35181818181818
1994-05-25,21.75,-11000000.0,165000000.0,177000000.0,250125000.0,-22.738636363636363
1994-05-26,21.5,-11000000.0,165000000.0,177000000.0,247250000.0,-22.477272727272727
1994-05-27,21.38,-11000000.0,165000000.0,177000000.0,245870000.0,-22.35181818181818
1994-05-31,21.5,-11000000.0,165000000.0,177000000.0,247250000.0,-22.477272727272727
1994-06-01,21.75,-11000000.0,165000000.0,177000000.0,250125000.0,-22.738636363636363
1994-06-02,21.75,-11000000.0,165000000.0,177000000.0,250125000.0,-22.738636363636363
1994-06-03,21.75,-11000000.0,165000000.0,177000000.0,250125000.0,-22.738636363636363
1994-06-06,22.63,-11000000.0,165000000.0,177000000.0,260245000.0,-23.658636363636365
1994-06-07,21.88,-11000000.0,165000000.0,177000000.0,251620000.0,-22.874545454545455
1994-06-08,21.88,-11000000.0,165000000.0,177000000.0,251620000.0,-22.874545454545455
1994-06-09,22.0,-11000000.0,165000000.0,177000000.0,253000000.0,-23.0
1994-06-10,22.0,-11000000.0,165000000.0,177000000.0,253000000.0,-23.0
1994-06-13,22.0,-11000000.0,165000000.0,177000000.0,253000000.0,-23.0
1994-06-14,22.13,-11000000.0,165000000.0,177000000.0,254495000.0,-23.13590909090909
1994-06-15,22.0,-11000000.0,165000000.0,177000000.0,253000000.0,-23.0
1994-06-16,21.88,-11000000.0,165000000.0,177000000.0,251620000.0,-22.874545454545455
1994-06-17,21.38,-11000000.0,165000000.0,177000000.0,245870000.0,-22.35181818181818
1994-06-20,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-06-21,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-06-22,21.25,-11000000.0,165000000.0,177000000.0,244375000.0,-22.21590909090909
1994-06-23,20.75,-11000000.0,165000000.0,177000000.0,238625000.0,-21.693181818181817
1994-06-24,21.38,-11000000.0,165000000.0,177000000.0,245870000.0,-22.35181818181818
1994-06-27,20.75,-11000000.0,165000000.0,177000000.0,238625000.0,-21.693181818181817
1994-06-28,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-06-29,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-06-30,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-07-01,21.25,-11000000.0,165000000.0,177000000.0,244375000.0,-22.21590909090909
1994-07-05,21.63,-11000000.0,165000000.0,177000000.0,248745000.0,-22.61318181818182
1994-07-06,21.75,-11000000.0,165000000.0,177000000.0,250125000.0,-22.738636363636363
1994-07-07,21.5,-11000000.0,165000000.0,177000000.0,247250000.0,-22.477272727272727
1994-07-08,21.63,-11000000.0,165000000.0,177000000.0,248745000.0,-22.61318181818182
1994-07-11,21.75,-11000000.0,165000000.0,177000000.0,250125000.0,-22.738636363636363
1994-07-12,21.25,-11000000.0,165000000.0,177000000.0,244375000.0,-22.21590909090909
1994-07-13,21.38,-11000000.0,165000000.0,177000000.0,245870000.0,-22.35181818181818
1994-07-14,21.63,-11000000.0,165000000.0,177000000.0,248745000.0,-22.61318181818182
1994-07-15,21.63,-11000000.0,165000000.0,177000000.0,248745000.0,-22.61318181818182
1994-07-18,21.5,-11000000.0,165000000.0,177000000.0,247250000.0,-22.477272727272727
1994-07-19,21.25,-11000000.0,165000000.0,177000000.0,244375000.0,-22.21590909090909
1994-07-20,21.63,-11000000.0,165000000.0,177000000.0,248745000.0,-22.61318181818182
1994-07-21,21.88,-11000000.0,165000000.0,177000000.0,251620000.0,-22.874545454545455
1994-07-22,21.13,-11000000.0,165000000.0,177000000.0,242995000.0,-22.090454545454545
1994-07-25,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-07-26,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-07-27,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-07-28,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-07-29,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-08-01,20.75,-11000000.0,165000000.0,177000000.0,238625000.0,-21.693181818181817
1994-08-02,21.5,-11000000.0,165000000.0,177000000.0,247250000.0,-22.477272727272727
1994-08-03,21.88,-11000000.0,165000000.0,177000000.0,251620000.0,-22.874545454545455
1994-08-04,21.5,-11000000.0,165000000.0,177000000.0,247250000.0,-22.477272727272727
1994-08-05,21.13,-11000000.0,165000000.0,177000000.0,242995000.0,-22.090454545454545
1994-08-08,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-08-09,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-08-10,21.13,-11000000.0,165000000.0,177000000.0,242995000.0,-22.090454545454545
1994-08-11,21.13,-11000000.0,165000000.0,177000000.0,242995000.0,-22.090454545454545
1994-08-12,21.25,-11000000.0,165000000.0,177000000.0,244375000.0,-22.21590909090909
1994-08-15,21.0,-11000000.0,165000000.0,177000000.0,241500000.0,-21.954545454545453
1994-08-16,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-08-17,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
1994-08-18,20.25,-11000000.0,165000000.0,177000000.0,232875000.0,-21.170454545454547
1994-08-19,20.63,-11000000.0,165000000.0,177000000.0,237245000.0,-21.56772727272727
1994-08-22,20.5,-11000000.0,165000000.0,177000000.0,235750000.0,-21.431818181818183
