date,close price,SRE_SHE,SRE_TA,SRE_TL,market cap,PB Ratio
1998-06-29,28.56,,,,,
1998-06-30,27.81,,,,,
1998-07-01,27.88,,,,,
1998-07-02,27.69,,,,,
1998-07-06,27.19,,,,,
1998-07-07,27.06,,,,,
1998-07-08,27.25,,,,,
1998-07-09,27.0,,,,,
1998-07-10,27.0,,,,,
1998-07-13,26.88,,,,,
1998-07-14,27.0,,,,,
1998-07-15,26.94,,,,,
1998-07-16,26.63,,,,,
1998-07-17,26.5,,,,,
1998-07-20,26.31,,,,,
1998-07-21,26.0,,,,,
1998-07-22,26.06,,,,,
1998-07-23,26.31,,,,,
1998-07-24,26.13,,,,,
1998-07-27,26.19,,,,,
1998-07-28,25.75,,,,,
1998-07-29,25.5,,,,,
1998-07-30,25.75,,,,,
1998-07-31,25.19,,,,,
1998-08-03,24.88,,,,,
1998-08-04,24.06,,,,,
1998-08-05,25.13,,,,,
1998-08-06,24.75,,,,,
1998-08-07,24.44,,,,,
1998-08-10,24.75,,,,,
1998-08-11,24.19,,,,,
1998-08-12,25.13,,,,,
1998-08-13,24.94,,,,,
1998-08-14,24.75,,,,,
1998-08-17,25.25,,,,,
1998-08-18,25.0,,,,,
1998-08-19,24.88,,,,,
1998-08-20,25.06,,,,,
1998-08-21,25.25,,,,,
1998-08-24,25.38,,,,,
1998-08-25,25.75,,,,,
1998-08-26,25.63,,,,,
1998-08-27,25.56,,,,,
1998-08-28,25.63,,,,,
1998-08-31,25.44,,,,,
1998-09-01,25.31,,,,,
1998-09-02,25.06,,,,,
1998-09-03,25.0,,,,,
1998-09-04,25.13,,,,,
1998-09-08,25.31,,,,,
1998-09-09,25.25,,,,,
1998-09-10,25.31,,,,,
1998-09-11,25.38,,,,,
1998-09-14,25.75,,,,,
1998-09-15,26.31,,,,,
1998-09-16,26.44,,,,,
1998-09-17,25.94,,,,,
1998-09-18,26.31,,,,,
1998-09-21,26.31,,,,,
1998-09-22,26.06,,,,,
1998-09-23,26.69,,,,,
1998-09-24,26.25,,,,,
1998-09-25,26.38,,,,,
1998-09-28,26.5,,,,,
1998-09-29,26.75,,,,,
1998-09-30,26.06,,,,,
1998-10-01,26.69,,,,,
1998-10-02,27.81,,,,,
1998-10-05,28.69,,,,,
1998-10-06,28.81,,,,,
1998-10-07,29.19,,,,,
1998-10-08,28.88,,,,,
1998-10-09,28.0,,,,,
1998-10-12,26.19,,,,,
1998-10-13,27.13,,,,,
1998-10-14,27.69,,,,,
1998-10-15,27.13,,,,,
1998-10-16,26.75,,,,,
1998-10-19,26.5,,,,,
1998-10-20,25.31,,,,,
1998-10-21,25.38,,,,,
1998-10-22,26.0,,,,,
1998-10-23,25.81,,,,,
1998-10-26,25.56,,,,,
1998-10-27,25.31,,,,,
1998-10-28,25.81,,,,,
1998-10-29,25.63,,,,,
1998-10-30,26.0,,,,,
1998-11-02,26.56,,,,,
1998-11-03,27.31,,,,,
1998-11-04,26.88,,,,,
1998-11-05,26.63,,,,,
1998-11-06,26.56,,,,,
1998-11-09,26.56,,,,,
1998-11-10,26.63,,,,,
1998-11-11,26.31,,,,,
1998-11-12,26.5,,,,,
1998-11-13,26.5,,,,,
1998-11-16,26.31,,,,,
1998-11-17,26.44,,,,,
1998-11-18,26.0,,,,,
1998-11-19,25.81,,,,,
1998-11-20,25.88,,,,,
1998-11-23,26.06,,,,,
1998-11-24,26.13,,,,,
1998-11-25,26.0,,,,,
1998-11-27,25.63,,,,,
1998-11-30,24.88,,,,,
1998-12-01,25.25,,,,,
1998-12-02,25.38,,,,,
1998-12-03,25.25,,,,,
1998-12-04,25.63,,,,,
1998-12-07,25.81,,,,,
1998-12-08,25.81,,,,,
1998-12-09,25.88,,,,,
1998-12-10,25.56,,,,,
1998-12-11,25.5,,,,,
1998-12-14,25.25,,,,,
1998-12-15,25.19,,,,,
1998-12-16,25.13,,,,,
1998-12-17,24.63,,,,,
1998-12-18,25.0,,,,,
1998-12-21,25.44,,,,,
1998-12-22,25.25,,,,,
1998-12-23,25.44,,,,,
1998-12-24,25.5,,,,,
1998-12-28,25.19,,,,,
1998-12-29,25.44,,,,,
1998-12-30,25.31,,,,,
1998-12-31,25.38,,,,,
1999-01-04,25.56,,,,,
1999-01-05,26.0,,,,,
1999-01-06,25.69,,,,,
1999-01-07,25.69,,,,,
1999-01-08,25.31,,,,,
1999-01-11,24.75,,,,,
