date,close price,ATO_SHE,ATO_TA,ATO_TL,market cap,PB Ratio
,,6461471000.0,14870982000.0,8409511000.0,,
1983-12-28,5.58,6461471000.0,14870982000.0,8409511000.0,,
1983-12-29,5.54,6461471000.0,14870982000.0,8409511000.0,,
1983-12-30,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-01-03,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-04,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-01-05,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-01-06,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-09,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-01-10,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-01-11,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-12,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-13,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-16,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-01-17,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-18,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-19,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-20,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-23,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-24,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-25,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-26,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-01-27,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-01-30,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-01-31,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-02-01,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-02-02,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-02-03,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-02-06,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-07,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-08,6.0,6461471000.0,14870982000.0,8409511000.0,,
1984-02-09,6.0,6461471000.0,14870982000.0,8409511000.0,,
1984-02-10,6.04,6461471000.0,14870982000.0,8409511000.0,,
1984-02-13,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-14,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-15,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-16,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-17,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-02-21,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-02-22,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-02-23,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-02-24,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-02-27,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-02-28,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-02-29,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-03-01,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-03-02,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-03-05,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-03-06,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-03-07,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-03-08,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-03-09,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-03-12,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-13,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-14,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-15,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-16,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-19,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-20,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-21,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-22,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-23,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-03-26,5.83,6461471000.0,14870982000.0,8409511000.0,,
1984-03-27,5.83,6461471000.0,14870982000.0,8409511000.0,,
1984-03-28,5.83,6461471000.0,14870982000.0,8409511000.0,,
1984-03-29,5.83,6461471000.0,14870982000.0,8409511000.0,,
1984-03-30,5.83,6461471000.0,14870982000.0,8409511000.0,,
1984-04-02,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-04-03,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-04-04,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-04-05,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-04-06,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-04-09,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-04-10,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-04-11,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-04-12,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-04-13,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-04-16,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-04-17,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-04-18,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-04-19,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-04-23,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-04-24,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-04-25,5.29,6461471000.0,14870982000.0,8409511000.0,,
1984-04-26,5.29,6461471000.0,14870982000.0,8409511000.0,,
1984-04-27,5.29,6461471000.0,14870982000.0,8409511000.0,,
1984-04-30,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-05-01,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-05-02,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-05-03,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-05-04,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-05-07,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-05-08,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-09,6.0,6461471000.0,14870982000.0,8409511000.0,,
1984-05-10,6.0,6461471000.0,14870982000.0,8409511000.0,,
1984-05-11,6.0,6461471000.0,14870982000.0,8409511000.0,,
1984-05-14,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-15,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-16,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-17,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-18,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-21,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-05-22,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-05-23,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-05-24,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-05-25,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-05-29,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-05-30,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-05-31,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-06-01,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-06-04,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-05,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-06,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-07,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-08,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-11,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-12,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-13,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-14,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-15,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-06-18,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-19,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-20,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-21,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-22,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-25,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-06-26,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-06-27,5.92,6461471000.0,14870982000.0,8409511000.0,,
1984-06-28,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-06-29,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-07-02,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-03,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-05,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-06,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-09,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-10,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-11,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-07-12,5.79,6461471000.0,14870982000.0,8409511000.0,,
1984-07-13,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-16,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-17,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-18,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-19,5.75,6461471000.0,14870982000.0,8409511000.0,,
1984-07-20,5.67,6461471000.0,14870982000.0,8409511000.0,,
1984-07-23,5.54,6461471000.0,14870982000.0,8409511000.0,,
1984-07-24,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-07-25,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-07-26,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-07-27,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-07-30,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-07-31,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-08-01,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-08-02,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-08-03,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-08-06,5.5,6461471000.0,14870982000.0,8409511000.0,,
1984-08-07,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-08-08,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-08-09,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-08-10,5.42,6461471000.0,14870982000.0,8409511000.0,,
1984-08-13,5.29,6461471000.0,14870982000.0,8409511000.0,,
