date,close price,WHR_SHE,WHR_TA,WHR_TL,market cap,PB Ratio
1973-02-21,16.0,,,,,
1973-02-22,15.81,,,,,
1973-02-23,15.25,,,,,
1973-02-26,15.25,,,,,
1973-02-27,14.88,,,,,
1973-02-28,15.13,,,,,
1973-03-01,15.19,,,,,
1973-03-02,15.19,,,,,
1973-03-05,15.25,,,,,
1973-03-06,15.88,,,,,
1973-03-07,16.19,,,,,
1973-03-08,16.31,,,,,
1973-03-09,16.19,,,,,
1973-03-12,16.31,,,,,
1973-03-13,16.69,,,,,
1973-03-14,17.0,,,,,
1973-03-15,16.81,,,,,
1973-03-16,16.38,,,,,
1973-03-19,15.63,,,,,
1973-03-20,15.5,,,,,
1973-03-21,15.25,,,,,
1973-03-22,15.13,,,,,
1973-03-23,15.06,,,,,
1973-03-26,15.19,,,,,
1973-03-27,16.13,,,,,
1973-03-28,16.5,,,,,
1973-03-29,16.31,,,,,
1973-03-30,15.81,,,,,
1973-04-02,15.44,,,,,
1973-04-03,15.06,,,,,
1973-04-04,15.0,,,,,
1973-04-05,15.0,,,,,
1973-04-06,15.0,,,,,
1973-04-09,14.88,,,,,
1973-04-10,15.25,,,,,
1973-04-11,15.75,,,,,
1973-04-12,16.13,,,,,
1973-04-13,16.56,,,,,
1973-04-16,16.13,,,,,
1973-04-17,16.5,,,,,
1973-04-18,16.38,,,,,
1973-04-19,16.5,,,,,
1973-04-23,15.88,,,,,
1973-04-24,15.75,,,,,
1973-04-25,15.0,,,,,
1973-04-26,14.81,,,,,
1973-04-27,14.25,,,,,
1973-04-30,13.75,,,,,
1973-05-01,13.0,,,,,
1973-05-02,13.38,,,,,
1973-05-03,13.5,,,,,
1973-05-04,14.19,,,,,
1973-05-07,14.38,,,,,
1973-05-08,14.13,,,,,
1973-05-09,13.88,,,,,
1973-05-10,13.75,,,,,
1973-05-11,13.0,,,,,
1973-05-14,12.56,,,,,
1973-05-15,12.81,,,,,
1973-05-16,13.13,,,,,
1973-05-17,13.06,,,,,
1973-05-18,13.0,,,,,
1973-05-21,12.75,,,,,
