date,close price,IEX_SHE,IEX_TA,IEX_TL,market cap,PB Ratio
1989-06-02,2.89,,,,,
1989-06-05,2.86,,,,,
1989-06-06,2.86,,,,,
1989-06-07,2.89,,,,,
1989-06-08,2.89,,,,,
1989-06-09,2.91,,,,,
1989-06-12,2.89,,,,,
1989-06-13,2.84,,,,,
1989-06-14,2.81,,,,,
1989-06-15,2.79,,,,,
1989-06-16,2.81,,,,,
1989-06-19,2.86,,,,,
1989-06-20,2.86,,,,,
1989-06-21,2.89,,,,,
1989-06-22,2.89,,,,,
1989-06-23,2.86,,,,,
1989-06-26,2.86,,,,,
1989-06-27,2.89,,,,,
1989-06-28,2.84,,,,,
1989-06-29,2.84,,,,,
1989-06-30,2.81,,,,,
1989-07-03,2.84,,,,,
1989-07-05,2.86,,,,,
1989-07-06,2.79,,,,,
1989-07-07,2.84,,,,,
1989-07-10,2.91,,,,,
1989-07-11,2.89,,,,,
1989-07-12,2.89,,,,,
1989-07-13,2.89,,,,,
1989-07-14,2.89,,,,,
1989-07-17,2.91,,,,,
1989-07-18,2.91,,,,,
1989-07-19,2.96,,,,,
1989-07-20,2.96,,,,,
1989-07-21,2.96,,,,,
1989-07-24,3.11,,,,,
1989-07-25,3.06,,,,,
1989-07-26,3.11,,,,,
1989-07-27,3.14,,,,,
1989-07-28,3.14,,,,,
1989-07-31,3.19,,,,,
1989-08-01,3.21,,,,,
1989-08-02,3.21,,,,,
1989-08-03,3.21,,,,,
1989-08-04,3.16,,,,,
1989-08-07,3.21,,,,,
1989-08-08,3.19,,,,,
1989-08-09,3.16,,,,,
1989-08-10,3.16,,,,,
1989-08-11,3.14,,,,,
1989-08-14,3.11,,,,,
1989-08-15,3.14,,,,,
1989-08-16,3.16,,,,,
1989-08-17,3.16,,,,,
1989-08-18,3.11,,,,,
1989-08-21,3.09,,,,,
1989-08-22,3.09,,,,,
1989-08-23,3.11,,,,,
1989-08-24,3.11,,,,,
1989-08-25,3.11,,,,,
1989-08-28,3.09,,,,,
1989-08-29,3.04,,,,,
1989-08-30,3.04,,,,,
1989-08-31,3.04,,,,,
1989-09-01,3.06,,,,,
1989-09-05,3.09,,,,,
1989-09-06,3.09,,,,,
1989-09-07,3.14,,,,,
1989-09-08,3.14,,,,,
1989-09-11,3.16,,,,,
1989-09-12,3.16,,,,,
1989-09-13,3.14,,,,,
1989-09-14,3.14,,,,,
1989-09-15,3.16,,,,,
1989-09-18,3.16,,,,,
1989-09-19,3.14,,,,,
1989-09-20,3.14,,,,,
1989-09-21,3.14,,,,,
1989-09-22,3.14,,,,,
1989-09-25,3.09,,,,,
1989-09-26,3.06,,,,,
1989-09-27,3.14,,,,,
1989-09-28,3.09,,,,,
1989-09-29,3.09,,,,,
1989-10-02,3.11,,,,,
1989-10-03,3.14,,,,,
1989-10-04,3.21,,,,,
1989-10-05,3.14,,,,,
1989-10-06,3.16,,,,,
1989-10-09,3.23,,,,,
1989-10-10,3.23,,,,,
1989-10-11,3.26,,,,,
1989-10-12,3.21,,,,,
1989-10-13,3.06,,,,,
1989-10-16,2.99,,,,,
1989-10-17,2.96,,,,,
1989-10-18,2.96,,,,,
1989-10-19,2.96,,,,,
1989-10-20,3.06,,,,,
1989-10-23,3.04,,,,,
1989-10-24,2.99,,,,,
1989-10-25,3.01,,,,,
1989-10-26,2.96,,,,,
1989-10-27,2.96,,,,,
1989-10-30,2.94,,,,,
1989-10-31,2.94,,,,,
1989-11-01,3.01,,,,,
1989-11-02,2.94,,,,,
1989-11-03,2.94,,,,,
1989-11-06,2.91,,,,,
1989-11-07,2.91,,,,,
1989-11-08,2.96,,,,,
1989-11-09,2.96,,,,,
1989-11-10,2.99,,,,,
1989-11-13,2.96,,,,,
1989-11-14,2.96,,,,,
1989-11-15,3.01,,,,,
1989-11-16,2.96,,,,,
1989-11-17,2.96,,,,,
1989-11-20,2.99,,,,,
1989-11-21,2.96,,,,,
1989-11-22,3.06,,,,,
1989-11-24,3.06,,,,,
1989-11-27,3.06,,,,,
1989-11-28,3.14,,,,,
1989-11-29,3.14,,,,,
1989-11-30,3.11,,,,,
1989-12-01,3.04,,,,,
1989-12-04,3.09,,,,,
1989-12-05,3.04,,,,,
1989-12-06,2.99,,,,,
1989-12-07,2.99,,,,,
1989-12-08,3.06,,,,,
1989-12-11,2.99,,,,,
