date,close price,MHK_SHE,MHK_TA,MHK_TL,market cap,PB Ratio
1992-04-01,6.83,,,,,
1992-04-02,6.78,,,,,
1992-04-03,6.78,,,,,
1992-04-06,6.78,,,,,
1992-04-07,6.78,,,,,
1992-04-08,6.44,,,,,
1992-04-09,6.78,,,,,
1992-04-10,6.78,,,,,
1992-04-13,6.72,,,,,
1992-04-14,6.89,,,,,
1992-04-15,7.0,,,,,
1992-04-16,7.0,,,,,
1992-04-20,7.0,,,,,
1992-04-21,7.22,,,,,
1992-04-22,7.44,,,,,
1992-04-23,7.22,,,,,
1992-04-24,7.17,,,,,
1992-04-27,7.11,,,,,
1992-04-28,7.11,,,,,
1992-04-29,7.11,,,,,
1992-04-30,7.11,,,,,
1992-05-01,7.11,,,,,
1992-05-04,7.39,,,,,
1992-05-05,7.11,,,,,
1992-05-06,7.11,,,,,
1992-05-07,7.17,,,,,
1992-05-08,7.11,,,,,
1992-05-11,7.39,,,,,
1992-05-12,7.33,,,,,
1992-05-13,7.33,,,,,
1992-05-14,7.22,,,,,
1992-05-15,7.22,,,,,
1992-05-18,7.22,,,,,
1992-05-19,7.33,,,,,
1992-05-20,7.22,,,,,
1992-05-21,7.33,,,,,
1992-05-22,7.33,,,,,
1992-05-26,7.11,,,,,
1992-05-27,7.17,,,,,
1992-05-28,7.11,,,,,
1992-05-29,7.11,,,,,
1992-06-01,6.89,,,,,
1992-06-02,6.78,,,,,
1992-06-03,6.94,,,,,
1992-06-04,6.94,,,,,
1992-06-05,6.94,,,,,
1992-06-08,6.94,,,,,
1992-06-09,6.56,,,,,
1992-06-10,6.56,,,,,
1992-06-11,6.44,,,,,
1992-06-12,6.44,,,,,
1992-06-15,6.44,,,,,
1992-06-16,6.44,,,,,
1992-06-17,6.44,,,,,
1992-06-18,6.11,,,,,
1992-06-19,5.83,,,,,
1992-06-22,5.22,,,,,
1992-06-23,5.44,,,,,
1992-06-24,5.89,,,,,
1992-06-25,5.89,,,,,
1992-06-26,5.67,,,,,
1992-06-29,5.11,,,,,
1992-06-30,5.11,,,,,
1992-07-01,5.28,,,,,
1992-07-02,5.78,,,,,
1992-07-06,5.78,,,,,
1992-07-07,5.67,,,,,
1992-07-08,5.67,,,,,
1992-07-09,5.44,,,,,
1992-07-10,5.44,,,,,
1992-07-13,5.67,,,,,
1992-07-14,5.67,,,,,
1992-07-15,5.44,,,,,
1992-07-16,5.67,,,,,
1992-07-17,5.67,,,,,
1992-07-20,5.33,,,,,
1992-07-21,5.67,,,,,
1992-07-22,6.0,,,,,
1992-07-23,6.33,,,,,
1992-07-24,6.33,,,,,
1992-07-27,6.56,,,,,
1992-07-28,6.56,,,,,
1992-07-29,6.44,,,,,
1992-07-30,6.22,,,,,
1992-07-31,5.89,,,,,
1992-08-03,5.67,,,,,
1992-08-04,5.78,,,,,
1992-08-05,5.78,,,,,
1992-08-06,5.78,,,,,
1992-08-07,5.67,,,,,
1992-08-10,6.0,,,,,
1992-08-11,6.0,,,,,
1992-08-12,5.78,,,,,
1992-08-13,5.56,,,,,
1992-08-14,5.56,,,,,
1992-08-17,5.61,,,,,
1992-08-18,5.67,,,,,
1992-08-19,5.78,,,,,
1992-08-20,5.44,,,,,
1992-08-21,5.78,,,,,
1992-08-24,5.72,,,,,
1992-08-25,5.44,,,,,
1992-08-26,5.78,,,,,
1992-08-27,5.89,,,,,
1992-08-28,6.17,,,,,
1992-08-31,6.22,,,,,
1992-09-01,6.39,,,,,
1992-09-02,6.67,,,,,
1992-09-03,6.56,,,,,
1992-09-04,6.33,,,,,
1992-09-08,6.28,,,,,
1992-09-09,6.11,,,,,
1992-09-10,6.11,,,,,
1992-09-11,6.11,,,,,
1992-09-14,6.44,,,,,
1992-09-15,6.22,,,,,
1992-09-16,6.0,,,,,
1992-09-17,6.44,,,,,
