date,close price,MTB_SHE,MTB_TA,MTB_TL,market cap,PB Ratio
,,394000000.0,5977000000.0,5583000000.0,,
1980-03-17,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-03-18,0.53,394000000.0,5977000000.0,5583000000.0,,
1980-03-19,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-03-20,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-03-21,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-03-24,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-03-25,0.53,394000000.0,5977000000.0,5583000000.0,,
1980-03-26,0.53,394000000.0,5977000000.0,5583000000.0,,
1980-03-27,0.48,394000000.0,5977000000.0,5583000000.0,,
1980-03-28,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-03-31,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-01,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-02,0.5,394000000.0,5977000000.0,5583000000.0,,
1980-04-03,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-07,0.48,394000000.0,5977000000.0,5583000000.0,,
1980-04-08,0.48,394000000.0,5977000000.0,5583000000.0,,
1980-04-09,0.48,394000000.0,5977000000.0,5583000000.0,,
1980-04-10,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-11,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-14,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-15,0.47,394000000.0,5977000000.0,5583000000.0,,
1980-04-16,0.48,394000000.0,5977000000.0,5583000000.0,,
1980-04-17,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-18,0.5,394000000.0,5977000000.0,5583000000.0,,
1980-04-21,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-22,0.49,394000000.0,5977000000.0,5583000000.0,,
1980-04-23,0.51,394000000.0,5977000000.0,5583000000.0,,
1980-04-24,0.52,394000000.0,5977000000.0,5583000000.0,,
1980-04-25,0.52,394000000.0,5977000000.0,5583000000.0,,
1980-04-28,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-04-29,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-04-30,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-05-01,0.54,394000000.0,5977000000.0,5583000000.0,,
1980-05-02,0.55,394000000.0,5977000000.0,5583000000.0,,
1980-05-05,0.6,394000000.0,5977000000.0,5583000000.0,,
1980-05-06,0.59,394000000.0,5977000000.0,5583000000.0,,
1980-05-07,0.6,394000000.0,5977000000.0,5583000000.0,,
1980-05-08,0.6,394000000.0,5977000000.0,5583000000.0,,
1980-05-09,0.6,394000000.0,5977000000.0,5583000000.0,,
1980-05-12,0.61,394000000.0,5977000000.0,5583000000.0,,
1980-05-13,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-14,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-15,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-16,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-19,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-20,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-21,0.63,394000000.0,5977000000.0,5583000000.0,,
1980-05-22,0.63,394000000.0,5977000000.0,5583000000.0,,
1980-05-23,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-27,0.64,394000000.0,5977000000.0,5583000000.0,,
1980-05-28,0.63,394000000.0,5977000000.0,5583000000.0,,
1980-05-29,0.61,394000000.0,5977000000.0,5583000000.0,,
1980-05-30,0.62,394000000.0,5977000000.0,5583000000.0,,
1980-06-02,0.62,394000000.0,5977000000.0,5583000000.0,,
1980-06-03,0.61,394000000.0,5977000000.0,5583000000.0,,
1980-06-04,0.61,394000000.0,5977000000.0,5583000000.0,,
1980-06-05,0.62,394000000.0,5977000000.0,5583000000.0,,
1980-06-06,0.62,394000000.0,5977000000.0,5583000000.0,,
1980-06-09,0.61,394000000.0,5977000000.0,5583000000.0,,
