date,close price,LYB_SHE,LYB_TA,LYB_TL,market cap,PB Ratio
2010-04-28,22.0,,,,,
2010-04-29,23.0,,,,,
2010-04-30,22.3,,,,,
2010-05-03,22.8,,,,,
2010-05-04,21.5,,,,,
2010-05-05,20.59,,,,,
2010-05-06,19.45,,,,,
2010-05-07,18.6,,,,,
2010-05-10,19.01,,,,,
2010-05-11,18.9,,,,,
2010-05-12,19.8,,,,,
2010-05-13,19.65,,,,,
2010-05-14,18.75,,,,,
2010-05-17,18.85,,,,,
2010-05-18,18.79,,,,,
2010-05-19,17.7,,,,,
2010-05-20,16.9,,,,,
2010-05-21,16.55,,,,,
2010-05-24,16.9,,,,,
2010-05-25,16.57,,,,,
2010-05-26,17.15,,,,,
2010-05-27,17.9,,,,,
2010-05-28,17.77,,,,,
2010-06-01,17.5,,,,,
2010-06-02,17.33,,,,,
2010-06-03,17.33,,,,,
2010-06-04,17.05,,,,,
2010-06-07,16.89,,,,,
2010-06-08,16.75,,,,,
2010-06-09,16.79,,,,,
2010-06-10,16.97,,,,,
2010-06-11,17.14,,,,,
2010-06-14,17.49,,,,,
2010-06-15,17.97,,,,,
2010-06-16,17.64,,,,,
2010-06-17,17.3,,,,,
2010-06-18,17.21,,,,,
2010-06-21,17.1,,,,,
2010-06-22,16.84,,,,,
2010-06-23,16.65,,,,,
2010-06-24,16.8,,,,,
2010-06-25,16.82,,,,,
2010-06-28,16.87,,,,,
2010-06-29,16.25,,,,,
2010-06-30,16.15,,,,,
2010-07-01,15.55,,,,,
2010-07-02,15.48,,,,,
2010-07-06,15.06,,,,,
2010-07-07,15.0,,,,,
2010-07-08,15.05,,,,,
2010-07-09,15.8,,,,,
2010-07-12,15.82,,,,,
2010-07-13,16.4,,,,,
2010-07-14,16.4,,,,,
2010-07-15,16.37,,,,,
2010-07-16,16.2,,,,,
2010-07-19,16.45,,,,,
2010-07-20,16.19,,,,,
2010-07-21,16.24,,,,,
2010-07-22,16.55,,,,,
2010-07-23,16.78,,,,,
2010-07-26,17.65,,,,,
2010-07-27,18.23,,,,,
2010-07-28,17.93,,,,,
2010-07-29,17.94,,,,,
2010-07-30,18.0,,,,,
2010-08-02,18.06,,,,,
2010-08-03,17.9,,,,,
2010-08-04,18.3,,,,,
2010-08-05,18.24,,,,,
2010-08-06,18.0,,,,,
2010-08-09,18.05,,,,,
2010-08-10,17.99,,,,,
2010-08-11,17.61,,,,,
2010-08-12,17.5,,,,,
2010-08-13,18.02,,,,,
2010-08-16,18.7,,,,,
2010-08-17,19.07,,,,,
2010-08-18,19.8,,,,,
2010-08-19,19.8,,,,,
2010-08-20,19.89,,,,,
2010-08-23,20.06,,,,,
2010-08-24,19.99,,,,,
2010-08-25,19.93,,,,,
2010-08-26,20.0,,,,,
2010-08-27,20.44,,,,,
2010-08-30,20.22,,,,,
2010-08-31,20.5,,,,,
2010-09-01,21.02,,,,,
2010-09-02,20.95,,,,,
2010-09-03,21.13,,,,,
2010-09-07,20.96,,,,,
2010-09-08,20.99,,,,,
2010-09-09,20.7,,,,,
2010-09-10,20.79,,,,,
2010-09-13,21.38,,,,,
2010-09-14,21.51,,,,,
2010-09-15,21.56,,,,,
2010-09-16,21.85,,,,,
2010-09-17,22.25,,,,,
2010-09-20,22.2,,,,,
2010-09-21,22.21,,,,,
2010-09-22,21.94,,,,,
2010-09-23,21.85,,,,,
2010-09-24,22.46,,,,,
2010-09-27,23.1,,,,,
2010-09-28,23.45,,,,,
2010-09-29,23.62,,,,,
2010-09-30,23.9,,,,,
2010-10-01,23.87,,,,,
2010-10-04,24.09,,,,,
2010-10-05,24.79,,,,,
2010-10-06,24.22,,,,,
2010-10-07,24.45,,,,,
2010-10-08,25.25,,,,,
2010-10-11,26.16,,,,,
2010-10-12,26.3,,,,,
2010-10-13,26.97,,,,,
2010-10-14,27.02,,,,,
2010-10-15,26.5,,,,,
2010-10-18,26.75,,,,,
2010-10-19,26.52,,,,,
2010-10-20,27.13,,,,,
2010-10-21,27.56,,,,,
2010-10-22,27.55,,,,,
2010-10-25,27.96,,,,,
2010-10-26,27.72,,,,,
2010-10-27,27.21,,,,,
2010-10-28,27.51,,,,,
2010-10-29,26.86,,,,,
2010-11-01,26.0,,,,,
2010-11-02,26.63,,,,,
2010-11-03,26.95,,,,,
2010-11-04,27.41,,,,,
2010-11-05,28.35,,,,,
2010-11-08,28.85,,,,,
2010-11-09,28.44,,,,,
2010-11-10,28.34,10882000000.0,26030000000.0,26030000000.0,,
2010-11-11,28.29,10882000000.0,26030000000.0,26030000000.0,,
2010-11-12,27.4,10882000000.0,26030000000.0,26030000000.0,,
2010-11-15,27.66,10882000000.0,26030000000.0,26030000000.0,,
2010-11-16,26.7,10882000000.0,26030000000.0,26030000000.0,,
2010-11-17,27.23,10882000000.0,26030000000.0,26030000000.0,,
2010-11-18,27.69,10882000000.0,26030000000.0,26030000000.0,,
2010-11-19,28.75,10882000000.0,26030000000.0,26030000000.0,,
2010-11-22,29.68,10882000000.0,26030000000.0,26030000000.0,,
2010-11-23,28.95,10882000000.0,26030000000.0,26030000000.0,,
2010-11-24,29.5,10882000000.0,26030000000.0,26030000000.0,,
2010-11-26,29.38,10882000000.0,26030000000.0,26030000000.0,,
2010-11-29,29.75,10882000000.0,26030000000.0,26030000000.0,,
2010-11-30,29.21,10882000000.0,26030000000.0,26030000000.0,,
2010-12-01,29.88,10882000000.0,26030000000.0,26030000000.0,,
2010-12-02,30.49,10882000000.0,26030000000.0,26030000000.0,,
2010-12-03,30.52,10882000000.0,26030000000.0,26030000000.0,,
2010-12-06,31.08,10882000000.0,26030000000.0,26030000000.0,,
2010-12-07,31.6,10882000000.0,26030000000.0,26030000000.0,,
2010-12-08,30.86,10882000000.0,26030000000.0,26030000000.0,,
2010-12-09,30.61,10882000000.0,26030000000.0,26030000000.0,,
2010-12-10,31.1,10882000000.0,26030000000.0,26030000000.0,,
2010-12-13,31.86,10882000000.0,26030000000.0,26030000000.0,,
2010-12-14,31.99,10882000000.0,26030000000.0,26030000000.0,,
2010-12-15,31.75,10882000000.0,26030000000.0,26030000000.0,,
2010-12-16,31.2,10882000000.0,26030000000.0,26030000000.0,,
2010-12-17,31.87,10882000000.0,26030000000.0,26030000000.0,,
2010-12-20,32.1,10882000000.0,26030000000.0,26030000000.0,,
2010-12-21,32.55,10882000000.0,26030000000.0,26030000000.0,,
2010-12-22,32.95,10882000000.0,26030000000.0,26030000000.0,,
2010-12-23,32.93,10882000000.0,26030000000.0,26030000000.0,,
2010-12-27,32.96,10882000000.0,26030000000.0,26030000000.0,,
2010-12-28,33.28,10882000000.0,26030000000.0,26030000000.0,,
2010-12-29,33.4,10882000000.0,26030000000.0,26030000000.0,,
2010-12-30,33.76,10882000000.0,26030000000.0,26030000000.0,,
2010-12-31,34.4,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-03,34.56,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-04,34.87,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-05,34.85,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-06,34.97,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-07,34.62,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-10,35.24,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-11,36.47,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-12,36.74,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-13,36.4,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-14,36.61,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-18,36.5,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-19,35.66,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
2011-01-20,35.42,10882000000.0,26030000000.0,26030000000.0,0.0,0.0
