date,close price,BEN_SHE,BEN_TA,BEN_TL,market cap,PB Ratio
,,197000000.0,372000000.0,175000000.0,,
1983-09-23,0.06,197000000.0,372000000.0,175000000.0,,
1983-09-26,0.06,197000000.0,372000000.0,175000000.0,,
1983-09-27,0.07,197000000.0,372000000.0,175000000.0,,
1983-09-28,0.07,197000000.0,372000000.0,175000000.0,,
1983-09-29,0.07,197000000.0,372000000.0,175000000.0,,
1983-09-30,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-03,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-04,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-05,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-06,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-07,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-10,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-11,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-12,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-13,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-14,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-17,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-18,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-19,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-20,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-21,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-24,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-25,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-26,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-27,0.07,197000000.0,372000000.0,175000000.0,,
1983-10-28,0.06,197000000.0,372000000.0,175000000.0,,
1983-10-31,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-01,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-02,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-03,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-04,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-07,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-08,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-09,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-10,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-11,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-14,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-15,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-16,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-17,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-18,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-21,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-22,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-23,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-25,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-28,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-29,0.06,197000000.0,372000000.0,175000000.0,,
1983-11-30,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-01,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-02,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-05,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-06,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-07,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-08,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-09,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-12,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-13,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-14,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-15,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-16,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-19,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-20,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-21,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-22,0.06,197000000.0,372000000.0,175000000.0,,
1983-12-23,0.07,197000000.0,372000000.0,175000000.0,,
1983-12-27,0.07,197000000.0,372000000.0,175000000.0,,
1983-12-28,0.07,197000000.0,372000000.0,175000000.0,,
1983-12-29,0.07,197000000.0,372000000.0,175000000.0,,
1983-12-30,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-03,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-04,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-05,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-06,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-09,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-10,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-11,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-12,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-13,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-16,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-17,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-18,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-19,0.07,197000000.0,372000000.0,175000000.0,,
1984-01-20,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-23,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-24,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-25,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-26,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-27,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-30,0.08,197000000.0,372000000.0,175000000.0,,
1984-01-31,0.08,197000000.0,372000000.0,175000000.0,,
1984-02-01,0.08,197000000.0,372000000.0,175000000.0,,
1984-02-02,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-03,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-06,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-07,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-08,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-09,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-10,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-13,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-14,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-15,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-16,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-17,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-21,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-22,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-23,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-24,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-27,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-28,0.07,197000000.0,372000000.0,175000000.0,,
1984-02-29,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-01,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-02,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-05,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-06,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-07,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-08,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-09,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-12,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-13,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-14,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-15,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-16,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-19,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-20,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-21,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-22,0.07,197000000.0,372000000.0,175000000.0,,
1984-03-23,0.08,197000000.0,372000000.0,175000000.0,,
1984-03-26,0.08,197000000.0,372000000.0,175000000.0,,
1984-03-27,0.08,197000000.0,372000000.0,175000000.0,,
1984-03-28,0.08,197000000.0,372000000.0,175000000.0,,
1984-03-29,0.08,197000000.0,372000000.0,175000000.0,,
1984-03-30,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-02,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-03,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-04,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-05,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-06,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-09,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-10,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-11,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-12,0.08,197000000.0,372000000.0,175000000.0,,
1984-04-13,0.1,197000000.0,372000000.0,175000000.0,,
