date,COP,dcf,Deviation
1981-12-31,5.15,,
1982-01-04,5.07,,
1982-01-05,4.88,,
1982-01-06,4.78,,
1982-01-07,4.73,,
1982-01-08,4.64,,
1982-01-11,4.45,,
1982-01-12,4.37,,
1982-01-13,4.35,,
1982-01-14,4.48,,
1982-01-15,4.92,,
1982-01-18,5.1,,
1982-01-19,4.96,,
1982-01-20,4.72,,
1982-01-21,4.81,,
1982-01-22,4.8,,
1982-01-25,4.97,,
1982-01-26,4.92,,
1982-01-27,4.96,,
1982-01-28,4.99,,
1982-01-29,4.96,,
1982-02-01,4.81,,
1982-02-02,4.7,,
1982-02-03,4.53,,
1982-02-04,4.69,,
1982-02-05,4.7,,
1982-02-08,4.46,,
1982-02-09,4.37,,
1982-02-10,4.42,,
1982-02-11,4.89,,
1982-02-12,4.69,,
1982-02-16,4.7,,
1982-02-17,4.48,,
1982-02-18,4.43,,
1982-02-19,4.26,,
1982-02-22,3.91,,
1982-02-23,4.22,,
1982-02-24,4.21,,
1982-02-25,4.07,,
1982-02-26,4.08,,
1982-03-01,4.0,,
1982-03-02,3.88,,
1982-03-03,3.76,,
1982-03-04,3.76,,
1982-03-05,3.7,,
1982-03-08,3.54,,
1982-03-09,3.59,,
1982-03-10,3.49,,
1982-03-11,3.51,,
1982-03-12,3.59,,
1982-03-15,3.81,,
1982-03-16,3.75,,
1982-03-17,3.62,,
1982-03-18,3.65,,
1982-03-19,3.68,,
1982-03-22,3.72,,
1982-03-23,3.67,,
1982-03-24,3.75,,
1982-03-25,3.68,,
1982-03-26,3.73,,
1982-03-29,3.84,,
1982-03-30,3.84,,
1982-03-31,3.92,,
1982-04-01,4.02,,
1982-04-02,4.15,,
1982-04-05,4.11,,
1982-04-06,4.1,,
1982-04-07,4.05,,
1982-04-08,4.13,,
1982-04-12,4.02,,
1982-04-13,3.91,,
1982-04-14,3.97,,
1982-04-15,4.07,,
1982-04-16,4.03,,
1982-04-19,3.88,,
1982-04-20,3.84,,
1982-04-21,3.91,,
1982-04-22,4.03,,
1982-04-23,4.13,,
1982-04-26,4.05,,
1982-04-27,4.07,,
1982-04-28,4.02,,
1982-04-29,3.95,,
1982-04-30,4.0,,
1982-05-03,3.91,,
1982-05-04,3.89,,
1982-05-05,3.97,,
1982-05-06,4.13,,
1982-05-07,4.22,,
1982-05-10,4.18,,
1982-05-11,4.26,,
1982-05-12,4.19,,
1982-05-13,4.15,,
1982-05-14,4.07,,
1982-05-17,4.03,,
1982-05-18,3.95,,
1982-05-19,3.95,,
1982-05-20,3.97,,
1982-05-21,3.91,,
1982-05-24,3.97,,
1982-05-25,4.03,,
1982-05-26,3.95,,
1982-05-27,3.89,,
1982-05-28,3.86,,
1982-06-01,3.94,,
1982-06-02,3.97,,
1982-06-03,4.0,,
1982-06-04,3.94,,
1982-06-07,4.02,,
1982-06-08,4.02,,
1982-06-09,4.0,,
1982-06-10,4.07,,
1982-06-11,4.07,,
1982-06-14,3.95,,
1982-06-15,3.88,,
1982-06-16,3.78,,
1982-06-17,3.68,,
1982-06-18,3.72,,
1982-06-21,3.75,,
1982-06-22,3.65,,
1982-06-23,3.72,,
1982-06-24,3.84,,
1982-06-25,3.94,,
1982-06-28,3.97,,
1982-06-29,4.0,,
1982-06-30,3.78,,
1982-07-01,3.83,,
1982-07-02,3.89,,
1982-07-06,3.84,,
1982-07-07,3.84,,
1982-07-08,3.8,,
1982-07-09,3.76,,
1982-07-12,3.59,,
1982-07-13,3.59,,
1982-07-14,3.76,,
1982-07-15,3.72,,
1982-07-16,3.67,,
1982-07-19,3.57,,
1982-07-20,3.53,,
1982-07-21,3.51,,
