date,CINF,dcf,Deviation
1980-03-17,1.33,,
1980-03-18,1.33,,
1980-03-19,1.33,,
1980-03-20,1.33,,
1980-03-21,1.33,,
1980-03-24,1.26,,
1980-03-25,1.23,,
1980-03-26,1.23,,
1980-03-27,1.19,,
1980-03-28,1.07,,
1980-03-31,1.07,,
1980-04-01,1.09,,
1980-04-02,1.1,,
1980-04-03,1.1,,
1980-04-07,1.1,,
1980-04-08,1.11,,
1980-04-09,1.11,,
1980-04-10,1.13,,
1980-04-11,1.13,,
1980-04-14,1.12,,
1980-04-15,1.12,,
1980-04-16,1.13,,
1980-04-17,1.13,,
1980-04-18,1.13,,
1980-04-21,1.13,,
1980-04-22,1.13,,
1980-04-23,1.13,,
1980-04-24,1.13,,
1980-04-25,1.13,,
1980-04-28,1.14,,
1980-04-29,1.13,,
1980-04-30,1.15,,
1980-05-01,1.17,,
1980-05-02,1.17,,
1980-05-05,1.2,,
1980-05-06,1.26,,
1980-05-07,1.26,,
1980-05-08,1.25,,
1980-05-09,1.23,,
1980-05-12,1.23,,
1980-05-13,1.21,,
1980-05-14,1.22,,
1980-05-15,1.23,,
1980-05-16,1.25,,
1980-05-19,1.23,,
1980-05-20,1.23,,
1980-05-21,1.23,,
1980-05-22,1.23,,
1980-05-23,1.23,,
1980-05-27,1.26,,
1980-05-28,1.26,,
1980-05-29,1.25,,
1980-05-30,1.25,,
1980-06-02,1.25,,
1980-06-03,1.25,,
1980-06-04,1.28,,
1980-06-05,1.28,,
1980-06-06,1.29,,
1980-06-09,1.29,,
1980-06-10,1.29,,
1980-06-11,1.41,,
1980-06-12,1.44,,
1980-06-13,1.5,,
1980-06-16,1.51,,
1980-06-17,1.5,,
1980-06-18,1.5,,
1980-06-19,1.5,,
1980-06-20,1.5,,
1980-06-23,1.51,,
1980-06-24,1.51,,
1980-06-25,1.53,,
1980-06-26,1.53,,
1980-06-27,1.53,,
1980-06-30,1.53,,
1980-07-01,1.53,,
1980-07-02,1.53,,
1980-07-03,1.54,,
1980-07-07,1.55,,
1980-07-08,1.55,,
1980-07-09,1.55,,
1980-07-10,1.55,,
1980-07-11,1.55,,
1980-07-14,1.55,,
1980-07-15,1.55,,
1980-07-16,1.55,,
1980-07-17,1.54,,
1980-07-18,1.54,,
1980-07-21,1.54,,
1980-07-22,1.53,,
1980-07-23,1.53,,
1980-07-24,1.52,,
1980-07-25,1.53,,
1980-07-28,1.53,,
1980-07-29,1.54,,
1980-07-30,1.53,,
1980-07-31,1.52,,
1980-08-01,1.51,,
1980-08-04,1.47,,
1980-08-05,1.45,,
1980-08-06,1.46,,
1980-08-07,1.46,,
1980-08-08,1.46,,
1980-08-11,1.46,,
1980-08-12,1.47,,
1980-08-13,1.47,,
1980-08-14,1.51,,
1980-08-15,1.52,,
1980-08-18,1.51,,
1980-08-19,1.51,,
1980-08-20,1.52,,
1980-08-21,1.57,,
1980-08-22,1.57,,
1980-08-25,1.6,,
1980-08-26,1.61,,
1980-08-27,1.61,,
1980-08-28,1.62,,
1980-08-29,1.62,,
1980-09-02,1.62,,
1980-09-03,1.62,,
1980-09-04,1.65,,
1980-09-05,1.67,,
1980-09-08,1.68,,
1980-09-09,1.68,,
1980-09-10,1.69,,
1980-09-11,1.7,,
1980-09-12,1.71,,
1980-09-15,1.77,,
1980-09-16,1.84,,
1980-09-17,1.84,,
1980-09-18,1.87,,
1980-09-19,1.87,,
1980-09-22,1.84,,
1980-09-23,1.76,,
1980-09-24,1.76,,
1980-09-25,1.74,,
1980-09-26,1.71,,
1980-09-29,1.69,,
1980-09-30,1.69,,
1980-10-01,1.73,,
1980-10-02,1.73,,
1980-10-03,1.73,,
1980-10-06,1.7,,
1980-10-07,1.71,,
