date,EW,dcf,Deviation
2000-03-27,4.13,,
2000-03-28,4.02,,
2000-03-29,4.0,,
2000-03-30,3.84,,
2000-03-31,3.39,,
2000-04-03,3.44,,
2000-04-04,3.5,,
2000-04-05,3.48,,
2000-04-06,3.58,,
2000-04-07,3.61,,
2000-04-10,3.64,,
2000-04-11,3.58,,
2000-04-12,3.58,,
2000-04-13,3.61,,
2000-04-14,3.61,,
2000-04-17,3.56,,
2000-04-18,3.52,,
2000-04-19,3.59,,
2000-04-20,3.66,,
2000-04-24,3.56,,
2000-04-25,3.77,,
2000-04-26,3.83,,
2000-04-27,3.7,,
2000-04-28,3.75,,
2000-05-01,3.69,,
2000-05-02,3.64,,
2000-05-03,3.56,,
2000-05-04,3.69,,
2000-05-05,3.78,,
2000-05-08,3.81,,
2000-05-09,3.75,,
2000-05-10,3.8,,
2000-05-11,3.73,,
2000-05-12,3.92,,
2000-05-15,4.09,,
2000-05-16,4.13,,
2000-05-17,4.0,,
2000-05-18,3.89,,
2000-05-19,3.83,,
2000-05-22,3.89,,
2000-05-23,3.91,,
2000-05-24,4.11,,
2000-05-25,4.33,,
2000-05-26,4.5,,
2000-05-30,4.94,,
2000-05-31,5.08,,
2000-06-01,4.97,,
2000-06-02,4.8,,
2000-06-05,4.53,,
2000-06-06,4.28,,
2000-06-07,4.63,,
2000-06-08,4.63,,
2000-06-09,4.63,,
2000-06-12,4.66,,
2000-06-13,4.59,,
2000-06-14,4.61,,
2000-06-15,4.58,,
2000-06-16,4.5,,
2000-06-19,4.53,,
2000-06-20,4.45,,
2000-06-21,4.75,,
2000-06-22,4.86,,
2000-06-23,4.97,,
2000-06-26,4.97,,
2000-06-27,4.78,,
2000-06-28,5.11,,
2000-06-29,5.06,,
2000-06-30,4.63,,
2000-07-03,5.14,,
2000-07-05,4.92,,
2000-07-06,5.06,,
2000-07-07,5.13,,
2000-07-10,5.31,,
2000-07-11,5.5,,
2000-07-12,5.53,,
2000-07-13,5.81,,
2000-07-14,5.73,,
2000-07-17,5.7,,
2000-07-18,5.97,,
2000-07-19,6.05,,
2000-07-20,6.02,,
2000-07-21,6.22,,
2000-07-24,6.19,,
2000-07-25,6.13,,
2000-07-26,5.98,,
2000-07-27,5.88,,
2000-07-28,5.77,,
2000-07-31,5.45,,
2000-08-01,5.66,,
2000-08-02,5.7,,
2000-08-03,5.78,,
2000-08-04,5.75,,
2000-08-07,5.66,,
2000-08-08,5.63,,
2000-08-09,5.53,,
2000-08-10,5.42,,
2000-08-11,5.61,,
2000-08-14,5.64,,
2000-08-15,5.7,,
2000-08-16,5.72,,
2000-08-17,5.69,,
2000-08-18,5.63,,
2000-08-21,5.8,,
2000-08-22,5.72,,
2000-08-23,5.72,,
2000-08-24,5.69,,
2000-08-25,5.67,,
2000-08-28,5.73,,
2000-08-29,5.98,,
2000-08-30,6.09,,
2000-08-31,6.56,,
2000-09-01,5.66,,
2000-09-05,5.66,,
2000-09-06,5.61,,
2000-09-07,5.66,,
2000-09-08,5.56,,
2000-09-11,5.58,,
2000-09-12,5.56,,
2000-09-13,5.25,,
2000-09-14,5.34,,
2000-09-15,5.22,,
2000-09-18,4.94,,
2000-09-19,4.97,,
2000-09-20,5.05,,
2000-09-21,4.97,,
2000-09-22,5.06,,
2000-09-25,5.11,,
2000-09-26,5.16,,
2000-09-27,5.13,,
2000-09-28,5.25,,
2000-09-29,5.45,,
2000-10-02,5.05,,
2000-10-03,5.03,,
2000-10-04,4.98,,
2000-10-05,5.14,,
2000-10-06,5.28,,
2000-10-09,5.17,,
2000-10-10,5.16,,
2000-10-11,5.2,,
2000-10-12,5.27,,
2000-10-13,5.59,,
