CERN,dcf,Deviation
0.27,,
0.27,,
0.25,,
0.25,,
0.24,,
0.24,,
0.23,,
0.24,,
0.24,,
0.24,,
0.24,,
0.24,,
0.23,,
0.23,,
0.23,,
0.23,,
0.23,,
0.24,,
0.24,,
0.25,,
0.26,,
0.28,,
0.28,,
0.3,,
0.31,,
0.31,,
0.31,,
0.31,,
0.31,,
0.3,,
0.3,,
0.3,,
0.3,,
0.3,,
0.3,,
0.3,,
0.3,,
0.31,,
0.3,,
0.3,,
0.31,,
0.34,,
0.36,,
0.36,,
0.36,,
0.36,,
0.36,,
0.34,,
0.34,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.35,,
0.36,,
0.39,,
0.39,,
0.39,,
0.39,,
0.38,,
0.39,,
0.38,,
0.38,,
0.39,,
0.41,,
0.4,,
0.39,,
0.39,,
0.4,,
0.4,,
0.39,,
0.4,,
0.38,,
0.38,,
0.38,,
0.38,,
0.38,,
0.36,,
0.36,,
0.36,,
0.37,,
0.36,,
0.36,,
0.35,,
0.36,,
0.36,,
0.35,,
0.36,,
0.35,,
0.35,,
0.34,,
0.33,,
0.32,,
0.34,,
0.35,,
0.34,,
0.34,,
0.35,,
0.36,,
0.35,,
0.36,,
0.37,,
0.36,,
0.38,,
0.39,,
0.38,,
0.39,,
0.38,,
0.38,,
0.38,,
0.38,,
0.38,,
0.37,,
0.37,,
0.37,,
0.38,,
0.37,,
0.37,,
0.37,,
0.37,,
0.36,,
0.37,,
0.35,,
0.36,,
0.36,,
0.36,,
0.35,,
0.36,,
0.35,,
0.36,,
0.35,,
0.35,,
0.36,,
0.35,,
0.35,,
0.35,,
0.36,,
0.37,,
0.37,,
0.37,,
0.37,,
0.37,,
0.37,,
0.36,,
0.36,,
0.37,,
0.36,,
0.38,,
0.36,,
0.37,,
0.37,,
0.37,,
0.36,,
0.36,,
0.37,,
0.37,,
0.37,,
0.37,,
0.37,,
0.37,,
0.37,,
0.36,,
0.37,,
0.37,,
0.37,,
0.36,,
0.36,,
0.37,,
0.38,,
0.39,,
0.41,,
0.39,,
0.41,,
0.41,,
0.41,,
0.4,,
0.39,,
0.39,,
0.39,,
0.41,,
0.38,,
0.4,,
0.38,,
0.38,,
0.38,,
0.37,,
0.37,,
0.39,,
0.39,,
0.37,,
0.39,,
0.39,,
0.38,,
0.37,,
0.39,,
0.39,,
0.36,,
0.36,,
0.36,,
0.36,,
0.38,,
0.37,,
0.36,,
0.34,,
0.36,,
0.34,,
0.35,,
0.36,,
0.33,,
0.33,,
0.34,,
0.34,,
0.33,,
0.32,,
0.29,,
0.29,,
0.25,,
0.27,,
0.25,,
0.25,,
0.21,,
0.23,,
0.23,,
0.21,,
0.21,,
0.21,,
0.21,,
0.22,,
0.23,,
0.23,,
0.21,,
0.21,,
0.21,,
0.21,,
0.21,,
0.21,,
0.22,,
0.21,,
0.2,,
0.2,,
0.2,,
0.19,,
0.18,,
0.18,,
0.17,,
0.17,,
0.16,,
0.14,,
0.13,,
0.14,,
0.17,,
0.15,,
0.18,,
0.18,,
0.19,,
0.18,,
0.18,,
0.19,,
0.21,,
0.21,,
0.21,,
0.2,,
0.21,,
0.21,,
0.21,,
0.23,,
0.23,,
0.23,,
0.22,,
0.22,,
0.22,,
0.21,,
0.22,,
0.22,,
0.22,,
0.22,,
0.22,,
0.21,,
0.22,,
0.22,,
0.21,,
0.21,,
0.21,,
0.21,,
0.22,,
0.22,,
0.22,,
0.22,,
0.22,,
0.21,,
0.22,,
0.22,,
0.23,,
0.23,,
0.23,,
0.23,,
0.23,,
0.23,,
0.23,,
0.23,,
0.23,,
0.25,,
0.25,,
0.26,,
0.26,,
0.26,,
0.26,,
0.27,,
0.27,,
0.27,,
0.27,,
0.26,,
0.27,,
0.26,,
0.26,,
0.26,,
0.26,,
0.26,,
0.27,,
0.27,,
0.28,,
0.29,,
0.28,,
0.29,,
0.28,,
0.27,,
0.28,,
0.28,,
0.28,,
0.27,,
0.29,,
0.29,,
0.3,,
0.3,,
0.3,,
0.29,,
0.3,,
0.3,,
0.3,,
0.3,,
0.3,,
0.31,,
0.31,,
0.32,,
0.33,,
0.32,,
0.33,,
0.32,,
0.32,,
0.33,,
0.34,,
0.33,,
0.33,,
0.32,,
0.34,,
0.34,,
0.33,,
0.33,,
0.34,,
0.34,,
0.33,,
0.32,,
0.34,,
0.34,,
0.34,,
0.34,,
0.34,,
0.33,,
0.34,,
0.35,,
0.34,,
0.34,,
0.36,,
0.36,,
0.39,,
0.38,,
0.38,,
0.39,,
0.4,,
0.39,,
0.39,,
0.39,,
0.39,,
0.38,,
0.39,,
0.39,,
0.39,,
0.39,,
0.39,,
0.38,,
0.38,,
0.38,,
0.38,,
0.38,,
0.38,,
0.38,,
0.37,,
0.36,,
0.36,,
0.36,,
0.34,,
0.32,,
0.34,,
0.34,,
0.34,,
0.33,,
0.34,,
0.35,,
0.36,,
0.35,,
0.35,,
0.35,,
0.34,,
0.34,,
