date,DVA,dcf,Deviation
1995-10-31,4.08,,
1995-11-01,3.9,,
1995-11-02,4.18,,
1995-11-03,4.0,,
1995-11-06,3.9,,
1995-11-07,3.8,,
1995-11-08,3.83,,
1995-11-09,4.05,,
1995-11-10,4.1,,
1995-11-13,4.15,,
1995-11-14,4.15,,
1995-11-15,4.1,,
1995-11-16,4.1,,
1995-11-17,4.15,,
1995-11-20,4.3,,
1995-11-21,4.3,,
1995-11-22,4.4,,
1995-11-24,4.53,,
1995-11-27,4.85,,
1995-11-28,5.33,,
1995-11-29,5.6,,
1995-11-30,5.38,,
1995-12-01,5.38,,
1995-12-04,5.25,,
1995-12-05,5.33,,
1995-12-06,5.68,,
1995-12-07,5.65,,
1995-12-08,5.7,,
1995-12-11,5.73,,
1995-12-12,5.93,,
1995-12-13,5.95,,
1995-12-14,5.95,,
1995-12-15,5.95,,
1995-12-18,5.73,,
1995-12-19,5.45,,
1995-12-20,5.28,,
1995-12-21,5.2,,
1995-12-22,5.2,,
1995-12-26,5.2,,
1995-12-27,5.6,,
1995-12-28,5.6,,
1995-12-29,6.0,,
1996-01-02,5.85,,
1996-01-03,5.9,,
1996-01-04,5.65,,
1996-01-05,5.63,,
1996-01-08,5.6,,
1996-01-09,5.5,,
1996-01-10,5.55,,
1996-01-11,5.55,,
1996-01-12,5.75,,
1996-01-15,5.85,,
1996-01-16,5.98,,
1996-01-17,5.95,,
1996-01-18,5.68,,
1996-01-19,5.68,,
1996-01-22,5.63,,
1996-01-23,5.6,,
1996-01-24,5.58,,
1996-01-25,5.6,,
1996-01-26,5.53,,
1996-01-29,5.48,,
1996-01-30,5.48,,
1996-01-31,5.55,,
1996-02-01,5.7,,
1996-02-02,5.88,,
1996-02-05,5.95,,
1996-02-06,6.25,,
1996-02-07,6.4,,
1996-02-08,6.15,,
1996-02-09,6.08,,
1996-02-12,6.23,,
1996-02-13,5.88,,
1996-02-14,5.88,,
1996-02-15,5.8,,
1996-02-16,5.88,,
1996-02-20,5.8,,
1996-02-21,5.83,,
1996-02-22,6.05,,
1996-02-23,6.0,,
1996-02-26,6.1,,
1996-02-27,6.13,,
1996-02-28,5.98,,
1996-02-29,5.9,,
1996-03-01,5.95,,
1996-03-04,5.98,,
1996-03-05,6.0,,
1996-03-06,5.93,,
1996-03-07,6.08,,
1996-03-08,6.0,,
1996-03-11,5.9,,
1996-03-12,5.88,,
1996-03-13,5.93,,
1996-03-14,5.95,,
1996-03-15,5.93,,
1996-03-18,5.95,,
1996-03-19,5.95,,
1996-03-20,5.93,,
1996-03-21,5.88,,
1996-03-22,5.83,,
1996-03-25,5.98,,
1996-03-26,6.13,,
1996-03-27,6.18,,
1996-03-28,6.2,,
1996-03-29,6.23,,
1996-04-01,6.58,,
1996-04-02,6.55,,
1996-04-03,6.63,,
1996-04-04,7.0,,
1996-04-08,7.05,,
1996-04-09,7.1,,
1996-04-10,7.25,,
1996-04-11,7.13,,
1996-04-12,7.08,,
1996-04-15,7.08,,
1996-04-16,7.15,,
