date,UPS,dcf,Deviation
1999-11-10,68.25,,
1999-11-11,75.0,,
1999-11-12,70.5,,
1999-11-15,69.0,,
1999-11-16,66.0,,
1999-11-17,67.69,,
1999-11-18,66.31,,
1999-11-19,65.0,,
1999-11-22,63.13,,
1999-11-23,66.19,,
1999-11-24,67.69,,
1999-11-26,69.13,,
1999-11-29,68.13,,
1999-11-30,66.06,,
1999-12-01,65.88,,
1999-12-02,67.06,,
1999-12-03,66.44,,
1999-12-06,66.25,,
1999-12-07,68.0,,
1999-12-08,68.38,,
1999-12-09,67.5,,
1999-12-10,66.13,,
1999-12-13,66.0,,
1999-12-14,65.0,,
1999-12-15,63.75,,
1999-12-16,64.0,,
1999-12-17,66.63,,
1999-12-20,68.5,,
1999-12-21,69.0,,
1999-12-22,67.0,,
1999-12-23,67.75,,
1999-12-27,69.69,,
1999-12-28,69.0,,
1999-12-29,68.0,,
1999-12-30,68.0,,
1999-12-31,69.0,,
2000-01-03,67.06,,
2000-01-04,64.94,,
2000-01-05,68.0,,
2000-01-06,68.0,,
2000-01-07,66.38,,
2000-01-10,67.06,,
2000-01-11,65.25,,
2000-01-12,67.38,,
2000-01-13,68.31,,
2000-01-14,69.06,,
2000-01-18,68.69,,
2000-01-19,68.25,,
2000-01-20,68.88,,
2000-01-21,67.25,,
2000-01-24,66.0,,
2000-01-25,65.88,,
2000-01-26,65.13,,
2000-01-27,65.13,,
2000-01-28,64.94,,
2000-01-31,60.0,,
2000-02-01,61.38,,
2000-02-02,58.25,,
2000-02-03,57.63,,
2000-02-04,56.38,,
2000-02-07,55.75,,
2000-02-08,59.38,,
2000-02-09,58.0,,
2000-02-10,57.06,,
2000-02-11,55.13,,
2000-02-14,54.38,,
2000-02-15,54.94,,
2000-02-16,56.0,,
2000-02-17,58.0,,
2000-02-18,56.94,,
2000-02-22,55.0,,
2000-02-23,54.94,,
2000-02-24,54.06,,
2000-02-25,55.5,,
2000-02-28,55.0,,
2000-02-29,54.63,,
2000-03-01,52.5,,
2000-03-02,53.31,,
2000-03-03,52.69,,
2000-03-06,52.75,,
2000-03-07,50.63,,
2000-03-08,54.31,,
2000-03-09,53.0,,
2000-03-10,53.44,,
2000-03-13,52.75,,
2000-03-14,52.56,,
2000-03-15,54.94,,
2000-03-16,56.25,,
2000-03-17,55.5,,
2000-03-20,56.56,,
2000-03-21,58.19,,
2000-03-22,56.88,,
2000-03-23,59.63,,
2000-03-24,63.75,,
2000-03-27,63.19,,
2000-03-28,60.25,,
2000-03-29,59.06,,
2000-03-30,58.56,,
2000-03-31,62.98,,
2000-04-03,59.38,,
2000-04-04,57.81,,
2000-04-05,58.19,,
2000-04-06,59.88,,
2000-04-07,60.88,,
2000-04-10,64.0,,
2000-04-11,63.19,,
2000-04-12,61.5,,
2000-04-13,60.25,,
2000-04-14,55.0,,
2000-04-17,58.0,,
2000-04-18,60.69,,
2000-04-19,59.06,,
2000-04-20,63.5,,
2000-04-24,62.63,,
2000-04-25,66.44,,
2000-04-26,66.19,,
2000-04-27,65.94,,
2000-04-28,66.5,,
2000-05-01,64.25,,
2000-05-02,63.81,,
2000-05-03,62.38,,
2000-05-04,60.94,,
2000-05-05,59.88,,
2000-05-08,61.06,,
2000-05-09,62.5,,
2000-05-10,60.81,,
2000-05-11,61.25,,
2000-05-12,61.56,,
2000-05-15,63.31,,
2000-05-16,62.0,,
2000-05-17,62.31,,
2000-05-18,62.13,,
2000-05-19,61.88,,
2000-05-22,61.44,,
2000-05-23,61.88,,
2000-05-24,59.63,,
2000-05-25,58.88,,
2000-05-26,57.19,,
2000-05-30,59.06,,
2000-05-31,59.88,,
2000-06-01,61.5,,
2000-06-02,61.0,,
2000-06-05,61.56,,
2000-06-06,61.75,,
2000-06-07,62.06,,
2000-06-08,60.25,,
2000-06-09,59.31,,
2000-06-12,59.34,,
2000-06-13,61.31,,
2000-06-14,61.25,,
2000-06-15,62.38,,
2000-06-16,61.75,,
2000-06-19,62.13,,
2000-06-20,61.44,,
2000-06-21,61.75,,
2000-06-22,62.94,,
2000-06-23,61.44,,
2000-06-26,60.75,,
2000-06-27,60.13,,
2000-06-28,59.63,,
2000-06-29,60.25,,
2000-06-30,58.91,,
2000-07-03,59.44,,
2000-07-05,61.0,,
2000-07-06,61.31,,
2000-07-07,60.69,,
2000-07-10,61.0,,
2000-07-11,60.81,,
2000-07-12,60.69,,
2000-07-13,60.31,,
2000-07-14,60.88,,
2000-07-17,60.44,,
2000-07-18,60.75,,
2000-07-19,61.25,,
2000-07-20,59.56,,
2000-07-21,59.5,,
2000-07-24,59.0,,
2000-07-25,58.69,,
2000-07-26,58.13,,
2000-07-27,58.13,,
2000-07-28,57.38,,
2000-07-31,58.75,,
2000-08-01,58.31,,
2000-08-02,58.19,,
2000-08-03,57.94,,
2000-08-04,57.69,,
2000-08-07,57.38,,
2000-08-08,56.88,,
2000-08-09,55.75,,
2000-08-10,58.5,,
2000-08-11,59.0,,
2000-08-14,58.63,,
2000-08-15,57.88,,
2000-08-16,57.31,,
2000-08-17,56.75,,
2000-08-18,56.19,,
2000-08-21,55.81,,
2000-08-22,56.25,,
2000-08-23,55.75,,
2000-08-24,56.44,,
2000-08-25,57.63,,
2000-08-28,56.75,,
2000-08-29,56.25,,
2000-08-30,55.13,,
2000-08-31,55.44,,
2000-09-01,55.88,,
2000-09-05,55.56,,
2000-09-06,55.81,,
2000-09-07,54.56,,
2000-09-08,53.31,,
2000-09-11,52.38,,
2000-09-12,53.56,,
2000-09-13,55.0,,
2000-09-14,55.44,,
2000-09-15,55.38,,
2000-09-18,53.0,,
2000-09-19,52.5,,
2000-09-20,54.0,,
2000-09-21,55.25,,
2000-09-22,56.0,,
2000-09-25,56.75,,
2000-09-26,56.94,,
2000-09-27,56.63,,
2000-09-28,57.31,,
2000-09-29,56.38,,
2000-10-02,56.69,,
2000-10-03,56.63,,
2000-10-04,58.75,,
2000-10-05,58.5,,
2000-10-06,58.06,,
2000-10-09,56.88,,
2000-10-10,58.88,,
2000-10-11,57.5,,
2000-10-12,54.75,,
2000-10-13,56.63,,
2000-10-16,55.94,,
2000-10-17,55.13,,
2000-10-18,53.06,,
2000-10-19,60.0,,
2000-10-20,62.0,,
2000-10-23,60.81,,
2000-10-24,59.75,,
2000-10-25,59.63,,
2000-10-26,59.75,,
2000-10-27,59.31,,
2000-10-30,61.13,,
2000-10-31,60.75,,
2000-11-01,59.63,,
2000-11-02,61.38,,
2000-11-03,60.56,,
2000-11-06,60.0,,
2000-11-07,59.94,,
2000-11-08,59.75,,
2000-11-09,58.63,,
2000-11-10,58.31,,
2000-11-13,59.0,,
2000-11-14,59.75,,
2000-11-15,59.0,,
2000-11-16,58.44,,
2000-11-17,59.25,,
2000-11-20,59.31,,
2000-11-21,60.31,,
2000-11-22,60.19,,
2000-11-24,60.88,,
2000-11-27,61.13,,
2000-11-28,61.06,,
2000-11-29,60.38,,
2000-11-30,60.69,,
2000-12-01,60.88,,
2000-12-04,60.31,,
2000-12-05,61.0,,
2000-12-06,62.31,,
2000-12-07,61.69,,
2000-12-08,63.69,,
2000-12-11,64.0,,
2000-12-12,63.56,,
2000-12-13,62.63,,
2000-12-14,58.69,,
2000-12-15,57.44,,
2000-12-18,56.88,,
2000-12-19,55.75,,
2000-12-20,54.44,,
2000-12-21,53.5,,
2000-12-22,56.5,,
2000-12-26,57.44,,
